pitch,r_tsv,h_tsv,dut_index
36.8,14.22,50.34,999
48.27,4.13,77.68,1000
51.71,2.62,89.05,1001
59.03,6.86,60.05,1002
54.49,2.01,82.52,1003
25.22,7.23,54.54,1004
44.75,12.0,50.6,1005
39.86,9.05,68.71,1006
36.47,5.96,88.41,1007
32.2,6.81,82.46,1008
25.81,8.62,93.63,1009
57.52,7.88,71.41,1010
50.55,10.96,85.93,1011
41.11,10.86,78.86,1012
11.51,2.66,77.9,1013
43.8,12.72,91.46,1014
50.18,9.07,86.96,1015
18.85,8.08,72.85,1016
55.87,14.9,76.39,1017
43.56,13.83,86.13,1018
45.99,11.94,66.83,1019
38.78,13.63,65.93,1020
57.23,6.14,61.07,1021
42.47,11.4,73.48,1022
47.56,14.52,61.57,1023
36.99,11.49,70.2,1024
45.0,14.04,57.2,1025
37.72,4.56,55.1,1026
28.35,2.95,58.31,1027
25.13,7.08,50.19,1028
31.18,12.82,77.42,1029
56.83,14.48,70.94,1030
40.97,9.42,90.25,1031
45.6,13.54,78.35,1032
33.63,4.54,62.57,1033
51.63,13.52,90.07,1034
27.75,6.79,61.52,1035
44.56,11.08,89.52,1036
19.85,2.76,87.15,1037
36.17,2.32,58.94,1038
55.35,14.66,56.48,1039
51.52,4.78,51.75,1040
44.91,10.66,96.1,1041
16.82,2.44,66.36,1042
28.53,3.51,80.33,1043
56.26,13.23,51.07,1044
59.64,3.83,97.22,1045
53.83,13.59,66.93,1046
41.75,10.06,59.94,1047
56.73,5.15,74.83,1048
24.68,8.25,86.09,1049
28.04,8.07,77.95,1050
29.1,12.48,56.63,1051
39.0,2.59,62.32,1052
41.47,10.89,98.0,1053
34.55,7.33,83.71,1054
51.12,13.34,94.22,1055
47.69,10.74,80.4,1056
41.82,7.45,76.94,1057
52.88,5.77,84.93,1058
20.46,8.63,54.09,1059
57.03,11.0,52.58,1060
54.51,5.66,76.86,1061
41.08,11.63,65.31,1062
54.09,2.94,79.97,1063
27.65,11.99,88.31,1064
34.67,7.11,96.41,1065
45.65,11.95,73.38,1066
52.16,4.78,69.25,1067
32.05,13.01,81.41,1068
51.9,4.75,77.61,1069
32.34,11.24,80.2,1070
17.33,6.53,69.64,1071
15.47,6.68,69.46,1072
37.75,12.48,77.02,1073
27.31,9.28,92.42,1074
58.6,3.87,52.01,1075
49.39,9.67,67.99,1076
37.78,13.96,50.98,1077
22.97,10.3,60.24,1078
58.3,12.06,65.7,1079
48.18,3.48,55.7,1080
40.52,11.46,82.73,1081
55.65,13.42,97.43,1082
36.43,3.59,62.04,1083
13.4,6.09,91.52,1084
32.78,13.67,68.68,1085
22.81,6.01,94.44,1086
44.14,14.24,98.65,1087
35.45,10.43,94.39,1088
45.19,6.61,54.29,1089
37.57,8.38,64.83,1090
46.92,2.76,83.46,1091
33.86,12.39,74.27,1092
48.85,14.15,62.93,1093
22.85,4.12,75.26,1094
37.26,12.5,83.21,1095
33.04,8.12,57.53,1096
21.31,6.33,52.94,1097
15.84,3.8,93.96,1098
47.38,9.06,62.27,1099
37.93,9.82,93.13,1100
57.5,11.12,51.96,1101
42.63,13.48,70.78,1102
24.79,9.27,87.56,1103
42.38,5.73,59.71,1104
17.17,7.17,64.64,1105
36.94,8.81,64.29,1106
38.76,4.92,95.16,1107
43.78,14.59,55.28,1108
45.04,3.74,97.86,1109
27.31,4.07,74.57,1110
6.45,2.39,87.34,1111
23.26,3.38,81.87,1112
58.88,12.26,87.07,1113
52.44,9.66,71.75,1114
34.83,11.46,54.7,1115
51.02,4.61,66.62,1116
50.12,14.48,80.58,1117
29.98,7.21,58.68,1118
46.06,11.41,54.36,1119
22.36,10.12,84.04,1120
14.83,5.49,82.93,1121
30.41,5.7,50.65,1122
21.27,7.37,56.17,1123
29.55,9.51,56.54,1124
12.35,3.39,95.66,1125
57.64,7.51,71.68,1126
31.76,11.82,80.14,1127
40.58,5.3,55.96,1128
26.15,7.78,50.31,1129
34.86,7.92,67.54,1130
46.41,11.97,74.51,1131
48.64,3.25,86.81,1132
20.66,3.7,99.89,1133
51.9,9.94,95.12,1134
48.71,5.9,69.22,1135
52.22,10.91,62.24,1136
36.07,4.94,63.61,1137
58.54,10.5,93.12,1138
38.77,10.09,75.96,1139
35.45,8.35,56.74,1140
18.64,8.03,67.18,1141
17.64,8.3,80.5,1142
48.53,10.85,57.29,1143
41.35,9.48,91.94,1144
41.52,9.22,99.06,1145
59.94,11.14,52.17,1146
28.65,4.72,56.43,1147
23.07,7.68,90.0,1148
55.23,13.53,86.27,1149
24.98,8.61,82.28,1150
43.16,8.75,96.2,1151
29.73,6.62,50.71,1152
45.79,13.16,66.73,1153
22.02,4.95,62.98,1154
27.13,6.41,54.14,1155
34.23,13.26,97.04,1156
52.39,8.11,97.63,1157
46.57,11.86,55.62,1158
45.53,5.95,66.52,1159
32.36,7.06,79.85,1160
22.0,4.3,72.0,1161
55.94,6.87,57.17,1162
35.74,10.7,95.86,1163
49.22,3.93,54.6,1164
15.45,2.54,53.8,1165
21.1,7.79,51.14,1166
9.23,2.35,58.38,1167
38.23,11.77,66.81,1168
46.37,12.4,93.06,1169
54.05,12.87,94.74,1170
37.12,5.02,97.54,1171
53.12,2.11,92.48,1172
35.47,3.46,79.2,1173
50.22,12.34,74.18,1174
52.41,6.66,92.97,1175
9.18,2.51,78.22,1176
38.96,9.98,65.22,1177
31.28,12.97,93.54,1178
51.53,11.66,88.64,1179
55.38,10.03,73.51,1180
41.36,13.08,88.49,1181
23.23,6.83,73.82,1182
48.72,9.01,55.24,1183
11.25,4.8,91.64,1184
38.5,13.02,99.81,1185
28.27,10.72,67.21,1186
38.95,12.95,64.55,1187
50.51,9.2,80.12,1188
50.69,14.18,69.53,1189
55.7,7.33,51.02,1190
25.1,5.36,73.7,1191
50.93,6.99,56.09,1192
34.11,5.13,55.56,1193
32.64,10.53,71.52,1194
52.73,14.85,89.09,1195
37.41,4.45,55.66,1196
24.37,2.53,92.12,1197
38.66,11.8,74.95,1198
25.52,7.54,76.44,1199
53.07,8.14,99.35,1200
59.38,3.64,53.42,1201
48.64,4.69,85.31,1202
41.66,9.23,50.16,1203
29.39,10.13,69.05,1204
40.74,8.48,80.95,1205
49.89,12.17,98.94,1206
33.02,6.94,57.4,1207
36.56,14.61,52.99,1208
24.09,7.47,53.05,1209
42.24,8.21,63.18,1210
46.89,14.12,51.83,1211
34.11,10.31,80.72,1212
22.55,10.22,60.93,1213
25.02,3.61,65.75,1214
14.02,3.67,75.03,1215
33.27,13.78,50.07,1216
49.15,2.14,51.66,1217
51.87,14.92,71.58,1218
49.12,8.39,76.26,1219
40.67,3.01,62.45,1220
22.93,4.02,69.11,1221
53.17,6.5,76.21,1222
19.5,6.68,65.97,1223
32.85,4.01,58.57,1224
33.74,8.56,76.17,1225
33.22,13.86,97.7,1226
45.32,5.93,60.83,1227
42.99,2.29,68.95,1228
44.96,8.52,51.23,1229
33.16,5.72,53.91,1230
12.22,3.44,55.14,1231
33.39,13.06,96.26,1232
35.47,14.95,86.83,1233
13.54,4.09,79.06,1234
32.07,12.69,93.59,1235
51.29,8.98,64.73,1236
41.46,13.31,82.07,1237
22.77,2.24,53.58,1238
47.37,12.28,79.67,1239
30.48,10.64,66.67,1240
54.73,9.38,56.81,1241
29.53,13.5,58.53,1242
59.33,2.99,83.04,1243
36.72,7.04,73.64,1244
57.09,4.57,56.22,1245
29.87,5.19,83.99,1246
51.0,7.49,79.62,1247
26.8,9.34,86.72,1248
20.4,7.63,96.66,1249
53.15,14.02,66.48,1250
33.29,13.7,59.05,1251
57.49,12.44,72.94,1252
32.05,14.24,96.7,1253
19.61,4.48,72.22,1254
56.74,2.91,53.99,1255
38.32,5.75,72.54,1256
57.99,12.93,53.84,1257
17.01,7.4,78.91,1258
26.48,12.2,86.56,1259
20.98,8.36,52.09,1260
35.63,3.86,83.78,1261
21.27,9.98,61.92,1262
42.25,11.62,59.54,1263
26.74,3.56,88.04,1264
6.84,2.64,94.91,1265
22.49,5.35,90.81,1266
46.65,12.23,79.38,1267
49.99,12.59,60.14,1268
20.9,7.6,91.26,1269
37.86,5.58,85.0,1270
44.32,11.84,60.63,1271
53.79,12.84,61.74,1272
56.73,13.89,60.76,1273
21.92,3.61,63.34,1274
43.29,10.84,89.17,1275
30.46,4.38,76.53,1276
16.96,6.71,68.24,1277
25.09,10.51,84.44,1278
55.95,12.08,72.89,1279
49.62,13.32,50.88,1280
52.83,6.04,66.27,1281
56.13,12.36,95.54,1282
50.79,11.17,74.34,1283
16.25,5.1,92.36,1284
42.77,10.17,94.79,1285
31.51,13.29,64.33,1286
38.93,8.99,96.92,1287
27.75,12.8,64.98,1288
55.3,12.66,58.72,1289
28.47,2.09,68.05,1290
42.41,11.06,80.76,1291
59.85,14.98,55.02,1292
34.43,8.42,74.05,1293
43.15,14.45,90.36,1294
52.89,5.32,58.33,1295
49.23,7.67,50.78,1296
20.92,7.23,59.59,1297
38.19,2.04,86.05,1298
21.83,4.9,75.23,1299
48.66,6.21,75.14,1300
44.83,11.86,67.92,1301
51.37,4.88,67.47,1302
42.29,13.46,87.42,1303
27.04,10.1,87.92,1304
35.25,13.04,93.93,1305
55.24,11.38,60.32,1306
25.49,10.75,68.57,1307
25.24,9.89,92.64,1308
37.68,9.79,57.36,1309
38.28,11.1,79.29,1310
26.79,9.55,77.3,1311
57.55,11.81,85.35,1312
33.67,4.86,59.35,1313
21.6,3.18,90.7,1314
39.32,4.05,88.16,1315
21.34,3.66,67.36,1316
10.49,4.23,51.28,1317
55.05,14.65,84.84,1318
28.29,6.88,78.08,1319
12.23,5.48,60.74,1320
54.57,13.58,65.05,1321
40.48,13.26,52.73,1322
29.82,7.75,92.59,1323
36.6,14.57,53.1,1324
30.56,11.15,93.72,1325
18.06,7.13,52.63,1326
46.82,3.85,98.27,1327
56.62,7.54,54.24,1328
36.76,8.28,83.52,1329
33.58,3.17,91.69,1330
17.45,5.28,83.43,1331
22.4,4.63,50.86,1332
55.31,14.09,96.8,1333
48.1,12.69,73.6,1334
43.69,7.99,72.79,1335
28.33,10.63,71.71,1336
53.06,14.12,93.84,1337
41.49,2.21,71.37,1338
22.34,4.16,65.34,1339
52.0,6.43,73.25,1340
46.4,10.61,86.47,1341
28.47,10.36,55.78,1342
24.95,2.44,80.67,1343
45.75,13.33,88.0,1344
15.42,2.27,83.57,1345
31.64,9.78,89.3,1346
51.78,5.88,66.17,1347
50.0,15.0,79.37,1348
49.62,14.76,60.97,1349
22.85,7.31,76.01,1350
50.79,12.96,85.69,1351
24.39,3.36,76.65,1352
58.4,12.13,50.52,1353
55.4,12.46,75.72,1354
44.13,14.75,81.04,1355
33.82,3.98,89.75,1356
56.98,5.57,82.79,1357
45.09,8.51,80.3,1358
44.67,3.71,98.47,1359
42.59,7.29,92.01,1360
36.45,5.68,99.56,1361
47.55,12.03,66.11,1362
47.27,9.57,75.57,1363
28.58,12.62,69.89,1364
26.28,4.17,57.87,1365
54.49,7.89,84.61,1366
54.2,8.91,79.01,1367
42.68,14.29,64.91,1368
50.84,10.57,90.84,1369
55.32,11.33,78.26,1370
15.46,5.05,66.02,1371
46.06,3.82,98.23,1372
27.24,7.57,76.57,1373
55.28,12.99,81.36,1374
41.26,11.57,96.86,1375
59.23,14.61,81.71,1376
22.48,2.21,67.79,1377
12.76,2.11,96.48,1378
27.88,7.62,67.39,1379
51.96,14.42,75.33,1380
23.69,7.36,87.01,1381
19.01,2.86,64.38,1382
51.89,13.96,53.17,1383
25.2,9.84,94.95,1384
32.42,9.37,96.15,1385
46.62,12.9,88.75,1386
47.99,9.87,93.43,1387
49.24,6.7,74.12,1388
54.87,11.88,85.76,1389
36.58,13.36,94.18,1390
37.24,6.75,61.44,1391
25.34,3.05,94.52,1392
35.14,11.55,73.09,1393
58.49,13.39,55.89,1394
47.42,10.76,54.48,1395
30.43,7.19,53.69,1396
39.47,5.4,92.24,1397
46.3,7.84,95.57,1398
40.4,11.44,60.47,1399
25.3,7.01,81.78,1400
30.51,12.75,65.87,1401
54.78,3.89,85.2,1402
24.01,9.14,63.55,1403
21.98,5.42,73.22,1404
46.98,9.6,95.46,1405
53.07,10.78,74.8,1406
11.98,4.1,61.21,1407
56.01,6.25,75.86,1408
57.7,11.9,58.8,1409
9.2,2.89,80.04,1410
30.76,7.75,85.54,1411
45.88,11.01,70.34,1412
11.36,3.23,78.41,1413
36.05,10.32,78.66,1414
50.27,2.8,63.81,1415
37.97,11.69,54.92,1416
51.89,14.87,65.52,1417
32.43,6.94,57.75,1418
29.3,8.76,81.08,1419
39.01,11.3,88.35,1420
36.61,13.64,71.14,1421
50.59,8.89,92.93,1422
26.26,9.12,86.9,1423
20.43,9.53,57.0,1424
22.11,5.83,66.25,1425
34.59,6.53,84.26,1426
39.15,13.79,94.82,1427
42.88,6.8,73.18,1428
38.18,12.38,79.14,1429
46.37,10.88,67.69,1430
29.51,10.15,70.07,1431
40.18,3.32,89.37,1432
36.91,13.76,62.52,1433
45.69,11.1,52.28,1434
34.25,13.98,86.21,1435
27.47,5.82,63.21,1436
25.06,5.59,74.68,1437
56.71,11.27,82.98,1438
20.19,5.39,56.05,1439
41.48,7.49,81.92,1440
16.33,7.25,62.87,1441
51.45,2.68,92.31,1442
38.15,14.92,55.85,1443
35.77,12.24,65.17,1444
22.74,9.73,94.63,1445
37.68,2.48,87.69,1446
45.56,14.77,57.63,1447
36.87,2.79,51.4,1448
48.69,8.54,59.94,1449
49.36,11.65,50.01,1450
42.87,2.86,64.01,1451
26.67,7.72,91.39,1452
42.92,10.23,86.35,1453
38.84,11.22,73.92,1454
59.24,2.92,75.45,1455
35.81,9.32,73.99,1456
56.45,8.96,94.11,1457
11.73,4.04,84.76,1458
38.18,14.68,87.74,1459
44.81,4.21,87.84,1460
38.99,11.51,53.35,1461
31.12,4.67,99.49,1462
46.65,3.76,84.37,1463
52.32,14.88,89.84,1464
42.78,2.26,61.79,1465
51.33,5.98,72.32,1466
27.12,2.99,85.99,1467
32.33,9.09,93.8,1468
55.04,5.54,53.49,1469
56.7,6.4,82.36,1470
10.49,4.25,81.61,1471
59.18,5.54,58.84,1472
36.78,13.11,69.72,1473
56.21,13.69,98.59,1474
33.55,14.36,84.44,1475
55.43,10.93,77.36,1476
32.65,12.65,72.61,1477
12.19,2.07,95.88,1478
33.47,3.13,93.48,1479
56.8,10.18,83.88,1480
23.42,6.11,82.06,1481
39.58,4.46,77.22,1482
39.79,12.77,84.21,1483
25.19,10.03,60.07,1484
32.24,4.51,90.63,1485
19.03,8.72,68.89,1486
27.67,10.81,90.6,1487
32.34,14.32,50.49,1488
29.55,9.74,64.76,1489
41.87,5.3,57.1,1490
50.17,7.14,89.88,1491
31.85,12.18,74.39,1492
8.48,3.68,71.87,1493
52.39,9.62,95.75,1494
42.32,9.26,77.82,1495
53.76,9.49,88.78,1496
59.08,6.11,56.93,1497
7.84,3.25,95.24,1498
37.78,13.39,59.49,1499
