pitch,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
57.28,265.27,21.87,3.01,931
51.41,394.62,27.69,4.18,932
58.26,365.15,20.48,5.38,933
20.6,908.51,11.12,2.19,934
30.9,479.48,29.17,5.53,935
25.35,297.83,10.99,5.11,936
55.05,829.29,17.69,5.87,937
58.04,629.38,12.37,3.49,938
31.13,526.97,23.83,5.17,939
47.44,288.87,23.53,5.09,940
31.4,652.6,24.7,2.74,941
25.89,412.27,14.63,3.22,942
30.76,964.96,26.54,4.31,943
48.16,657.33,16.79,4.57,944
27.84,581.1,10.55,5.4,945
57.16,615.91,15.37,5.53,946
31.6,313.68,13.8,2.11,947
43.33,939.69,18.03,4.54,948
49.59,767.32,14.16,3.12,949
29.23,269.37,26.16,5.87,950
17.76,162.03,10.6,5.35,951
49.44,802.48,19.84,4.73,952
51.23,757.17,12.66,5.04,953
30.68,947.59,29.08,3.52,954
21.67,540.82,19.74,2.48,955
56.66,521.69,17.45,5.1,956
52.87,812.74,12.97,3.37,957
38.47,999.47,27.14,4.67,958
55.18,735.88,15.16,3.73,959
36.47,750.65,21.95,2.03,960
59.19,815.8,21.24,4.63,961
31.19,984.7,24.17,5.45,962
55.76,264.16,28.1,5.94,963
48.9,577.37,15.2,2.77,964
41.44,882.87,12.84,2.43,965
35.02,411.47,23.49,4.09,966
54.75,708.09,27.42,2.27,967
39.26,608.71,21.77,3.48,968
57.12,193.83,26.71,2.94,969
43.95,299.72,22.47,2.78,970
33.17,716.01,12.07,3.98,971
34.72,888.37,26.65,2.22,972
26.5,714.07,19.23,4.72,973
15.9,462.34,13.08,3.57,974
48.72,289.08,21.03,3.9,975
45.54,617.39,18.81,2.95,976
49.4,107.76,12.02,3.94,977
56.51,728.25,22.67,5.23,978
39.52,675.93,25.24,3.81,979
49.76,396.66,29.91,5.6,980
33.56,279.91,26.92,5.42,981
43.59,172.81,20.89,4.99,982
14.98,358.06,10.09,3.16,983
57.58,835.34,20.52,5.12,984
42.7,672.93,21.7,4.7,985
34.09,914.1,23.21,2.97,986
41.62,159.6,17.09,2.45,987
35.58,968.63,21.09,3.28,988
45.72,692.8,21.49,3.67,989
57.54,311.57,24.6,4.73,990
35.31,144.01,20.76,2.52,991
58.06,285.02,10.73,3.93,992
40.04,987.52,27.04,3.64,993
26.89,131.25,17.81,3.47,994
33.32,110.21,19.63,3.74,995
54.99,631.03,28.67,5.32,996
58.87,971.83,14.26,5.65,997
15.15,195.35,14.04,2.49,998
40.3,147.92,25.1,2.6,999
57.08,862.81,15.99,4.55,1000
53.93,507.14,24.31,3.44,1001
40.17,793.93,22.32,4.94,1002
40.21,661.46,23.0,5.85,1003
28.97,633.87,27.95,2.21,1004
31.79,682.06,13.74,2.4,1005
45.68,317.46,15.07,2.3,1006
49.43,938.92,13.03,4.02,1007
23.56,177.64,20.8,4.35,1008
30.47,357.55,24.93,3.95,1009
55.41,372.97,19.82,4.33,1010
59.77,527.5,25.69,3.31,1011
55.68,173.81,26.31,4.12,1012
29.77,752.93,11.89,4.75,1013
52.1,497.27,12.35,5.56,1014
45.5,689.01,15.28,4.57,1015
42.8,443.39,17.18,3.99,1016
50.48,261.08,24.12,3.39,1017
58.8,569.03,17.83,3.18,1018
47.02,334.68,18.02,3.8,1019
57.29,316.71,10.88,3.6,1020
35.37,466.43,17.32,4.1,1021
49.89,271.51,20.44,3.24,1022
50.69,286.27,13.02,2.31,1023
20.94,663.42,15.11,4.49,1024
29.7,300.4,19.99,4.65,1025
27.37,375.22,21.2,3.63,1026
33.08,141.3,24.53,4.91,1027
37.92,416.14,29.82,5.07,1028
32.86,266.1,19.53,3.67,1029
13.36,551.26,11.49,4.82,1030
45.0,507.51,21.19,4.92,1031
54.19,528.88,19.93,4.11,1032
55.07,744.9,18.47,2.77,1033
18.47,936.76,13.72,5.02,1034
17.16,805.11,14.9,5.49,1035
27.7,642.25,16.58,3.77,1036
44.18,695.73,21.62,4.63,1037
57.26,532.7,28.58,5.71,1038
20.64,452.79,17.12,5.88,1039
31.87,771.8,25.84,4.93,1040
41.37,476.75,13.95,3.95,1041
47.98,347.05,27.99,3.54,1042
55.83,245.05,14.14,4.67,1043
40.92,739.24,20.94,3.53,1044
50.05,339.78,23.34,2.44,1045
28.74,342.33,19.06,3.45,1046
42.31,990.14,26.6,5.99,1047
27.58,674.23,21.99,4.41,1048
58.53,926.06,28.5,4.6,1049
53.11,488.65,26.33,2.26,1050
56.57,726.45,28.45,4.46,1051
17.96,711.62,11.34,3.78,1052
48.71,917.7,27.34,2.53,1053
38.91,851.86,14.06,2.2,1054
47.63,729.95,28.91,5.71,1055
45.16,139.34,23.43,4.97,1056
40.73,624.86,26.73,2.87,1057
36.1,904.84,27.83,2.5,1058
53.82,503.05,12.4,4.88,1059
47.22,593.04,20.16,5.92,1060
40.66,894.09,13.55,3.25,1061
29.05,472.28,15.23,3.52,1062
43.81,875.74,17.57,5.5,1063
20.72,346.34,17.53,4.26,1064
38.53,327.08,19.22,4.19,1065
43.53,185.69,18.37,2.44,1066
43.25,305.9,23.77,2.93,1067
19.24,991.92,16.07,3.21,1068
49.45,806.98,24.78,3.07,1069
50.33,744.5,25.81,5.43,1070
56.4,298.27,25.05,2.88,1071
16.73,677.08,11.36,2.14,1072
26.17,414.03,21.4,2.11,1073
14.29,183.88,10.3,3.62,1074
53.12,102.85,22.04,5.29,1075
58.05,716.54,25.96,5.63,1076
37.12,291.55,22.08,3.48,1077
32.19,379.42,24.0,2.55,1078
56.55,594.29,25.36,2.58,1079
24.2,100.05,22.86,4.89,1080
47.52,977.35,22.81,3.28,1081
45.98,946.77,15.48,4.01,1082
24.35,890.75,15.41,5.46,1083
52.37,536.16,16.76,3.24,1084
51.42,871.07,17.62,5.89,1085
41.2,627.88,28.79,4.96,1086
27.24,449.5,12.09,5.88,1087
17.34,344.72,13.97,5.84,1088
21.44,570.69,17.42,2.15,1089
29.67,843.88,26.41,3.43,1090
36.66,145.86,13.59,3.01,1091
22.79,821.45,19.62,5.98,1092
27.48,982.8,20.2,3.9,1093
43.88,134.87,19.56,4.03,1094
46.75,376.16,16.5,4.24,1095
55.45,822.89,22.24,4.53,1096
41.05,282.56,29.36,3.58,1097
44.76,931.73,24.52,5.66,1098
55.11,389.48,19.97,4.56,1099
58.57,836.57,11.75,4.5,1100
23.5,547.49,13.14,4.6,1101
23.77,421.66,18.38,5.19,1102
41.12,872.03,27.43,3.56,1103
44.89,499.72,18.11,4.93,1104
23.45,925.0,18.64,4.14,1105
34.84,878.14,28.69,5.49,1106
36.12,972.19,17.77,5.64,1107
55.03,142.32,27.65,2.98,1108
49.77,163.87,28.42,2.76,1109
22.31,327.26,14.86,2.84,1110
58.88,782.76,24.68,5.43,1111
56.76,798.3,29.04,5.44,1112
29.17,325.72,14.4,4.8,1113
35.67,949.93,10.42,5.72,1114
41.36,656.08,22.05,4.4,1115
31.13,397.96,13.5,2.12,1116
31.31,537.52,22.65,5.97,1117
28.63,484.28,27.35,5.86,1118
55.87,940.77,25.57,4.95,1119
52.97,122.26,18.26,5.44,1120
17.65,650.87,10.05,2.36,1121
22.24,811.32,16.84,5.36,1122
56.84,205.71,16.82,3.51,1123
35.11,238.36,11.87,4.53,1124
34.43,475.44,20.18,4.95,1125
45.15,380.55,19.43,2.05,1126
23.33,777.34,16.14,2.21,1127
48.17,233.9,14.52,3.97,1128
34.35,178.82,12.62,2.84,1129
50.97,967.96,16.88,3.42,1130
59.97,659.05,28.84,4.01,1131
36.55,315.3,27.52,2.68,1132
45.75,360.43,27.17,5.91,1133
27.21,226.0,19.28,5.4,1134
43.42,943.21,14.3,2.53,1135
20.93,167.33,19.66,5.75,1136
42.89,636.03,20.71,3.53,1137
39.66,185.43,20.14,4.9,1138
27.33,742.57,25.93,3.17,1139
51.57,553.95,13.29,3.72,1140
34.2,922.84,25.72,3.36,1141
34.34,238.85,27.54,3.23,1142
37.54,746.5,11.25,4.35,1143
40.03,894.26,14.48,4.83,1144
43.8,546.48,26.23,4.91,1145
59.43,773.11,20.34,4.87,1146
52.77,649.09,14.96,2.87,1147
50.29,542.49,10.19,2.31,1148
39.86,692.92,20.3,5.82,1149
39.67,197.29,20.57,5.73,1150
52.56,911.25,26.22,2.23,1151
55.73,422.68,28.15,3.33,1152
40.18,240.52,15.44,2.4,1153
23.48,948.26,20.58,2.82,1154
30.24,369.56,21.64,4.3,1155
23.51,438.74,17.48,3.13,1156
32.64,878.83,11.46,4.34,1157
16.19,614.89,12.28,2.02,1158
28.36,648.25,26.89,2.03,1159
15.74,574.32,12.8,4.69,1160
50.1,617.83,23.16,3.26,1161
44.63,390.62,18.34,5.74,1162
34.07,385.17,25.45,2.57,1163
41.6,931.29,15.69,5.47,1164
36.72,856.39,14.85,5.85,1165
31.17,176.23,13.8,3.63,1166
28.13,510.98,24.92,2.01,1167
32.4,768.27,21.47,4.24,1168
20.53,308.08,11.58,5.1,1169
34.77,361.3,22.61,5.9,1170
47.09,394.99,29.98,3.85,1171
47.65,726.68,25.43,2.57,1172
31.23,853.07,29.41,4.83,1173
42.49,612.6,22.02,3.23,1174
30.16,204.33,10.43,4.37,1175
37.2,509.26,24.13,5.64,1176
58.47,464.41,11.01,5.08,1177
46.83,344.08,11.61,3.72,1178
57.37,207.0,26.78,5.76,1179
34.46,321.66,28.33,2.24,1180
49.55,779.46,13.65,3.71,1181
29.74,180.92,10.28,4.9,1182
40.93,589.85,14.99,2.46,1183
59.95,324.7,27.58,3.2,1184
53.79,405.28,26.81,3.27,1185
31.12,592.26,25.13,3.78,1186
28.05,770.71,16.34,3.83,1187
39.31,741.43,21.01,5.56,1188
45.63,620.71,21.78,4.39,1189
40.54,950.66,18.3,5.79,1190
22.59,429.22,15.7,2.63,1191
37.52,309.44,26.46,3.09,1192
15.45,623.22,10.78,3.54,1193
52.41,803.53,21.53,4.42,1194
36.05,189.95,10.05,2.23,1195
58.03,855.78,27.38,5.28,1196
47.97,225.15,27.62,5.48,1197
31.75,241.22,16.43,3.29,1198
36.59,613.77,14.35,3.96,1199
24.6,262.55,21.93,3.82,1200
39.62,393.32,10.38,2.67,1201
41.45,765.6,12.12,3.91,1202
37.82,401.96,27.09,3.45,1203
49.88,355.28,16.03,5.13,1204
56.01,585.93,16.53,4.28,1205
17.07,867.15,12.94,5.46,1206
52.21,556.23,23.81,5.14,1207
43.38,514.22,23.13,5.21,1208
53.33,534.6,12.04,2.66,1209
31.18,645.28,18.87,2.28,1210
36.22,548.61,11.71,3.57,1211
25.39,600.75,20.63,3.31,1212
38.67,330.72,27.57,3.59,1213
30.63,651.36,27.87,4.39,1214
50.21,996.16,24.75,5.54,1215
44.7,671.23,11.07,3.82,1216
23.33,807.7,15.8,3.0,1217
46.34,517.43,20.35,4.02,1218
43.02,677.27,24.81,4.04,1219
27.46,259.76,13.76,3.97,1220
34.75,902.35,29.57,5.12,1221
33.72,426.71,22.27,2.2,1222
57.69,400.59,28.94,2.6,1223
20.46,918.18,10.0,5.42,1224
20.17,606.67,11.4,2.42,1225
26.72,975.75,12.23,5.09,1226
54.82,499.22,29.62,4.45,1227
39.51,154.04,18.55,5.15,1228
55.77,792.75,10.8,4.84,1229
52.05,228.82,27.88,4.48,1230
55.22,610.8,17.06,4.54,1231
57.48,684.02,21.4,4.84,1232
47.61,889.28,13.38,3.92,1233
51.38,295.01,11.77,4.21,1234
46.77,907.4,28.96,3.59,1235
32.34,841.3,24.09,3.15,1236
49.32,515.31,29.19,4.36,1237
29.68,874.99,17.05,5.03,1238
57.0,388.39,23.57,4.71,1239
20.27,665.65,15.02,2.16,1240
49.72,280.78,22.8,5.3,1241
51.17,478.2,18.15,3.47,1242
40.72,583.78,14.12,3.93,1243
42.57,714.46,15.22,2.5,1244
30.06,212.73,13.46,4.25,1245
52.16,873.35,10.77,3.34,1246
26.65,751.92,16.12,2.33,1247
27.82,368.26,19.37,2.75,1248
56.06,877.03,21.34,2.26,1249
31.28,899.65,26.98,2.74,1250
43.79,538.24,14.53,5.92,1251
36.71,329.01,19.41,5.15,1252
44.65,837.05,17.92,3.84,1253
31.83,505.12,25.54,4.13,1254
40.76,248.13,14.68,2.69,1255
56.28,371.39,15.55,3.04,1256
47.92,910.08,24.38,3.14,1257
47.64,231.42,11.94,3.98,1258
54.57,754.84,13.19,5.77,1259
40.83,860.42,18.59,2.38,1260
28.02,637.51,19.4,4.29,1261
19.15,427.82,14.9,2.48,1262
34.92,898.1,17.71,5.62,1263
24.42,963.11,10.22,3.46,1264
23.39,474.23,13.22,3.0,1265
36.19,492.7,15.87,4.7,1266
50.52,467.07,15.59,4.61,1267
25.46,407.4,22.89,5.99,1268
47.0,827.75,25.88,2.78,1269
25.06,599.76,11.03,5.27,1270
36.68,758.41,17.37,3.38,1271
59.3,747.49,20.25,2.41,1272
46.73,730.57,15.8,4.47,1273
38.15,167.83,11.45,3.32,1274
34.61,965.26,29.94,5.96,1275
40.39,217.0,22.41,2.98,1276
26.25,998.17,20.65,5.14,1277
38.8,203.14,19.85,4.68,1278
57.78,655.32,11.95,2.64,1279
42.09,332.28,11.81,5.57,1280
32.49,143.15,12.56,2.7,1281
38.85,489.34,19.09,4.22,1282
27.69,493.82,25.41,5.25,1283
25.55,480.29,23.41,5.38,1284
28.57,637.9,18.92,5.05,1285
36.87,845.57,12.58,4.3,1286
53.99,319.91,18.41,5.52,1287
38.93,382.52,25.28,4.43,1288
50.65,565.86,19.7,3.69,1289
52.57,243.29,23.87,5.29,1290
51.87,304.95,25.87,2.81,1291
35.04,926.88,17.34,4.21,1292
34.17,599.03,18.08,5.48,1293
18.97,202.28,12.5,4.32,1294
33.26,196.42,23.36,2.1,1295
48.65,919.74,24.23,5.84,1296
33.92,759.69,18.77,4.2,1297
34.34,824.91,22.73,2.62,1298
49.8,937.16,25.2,5.8,1299
33.17,575.23,29.6,3.43,1300
44.29,817.5,25.0,4.78,1301
48.01,461.53,22.69,2.22,1302
53.7,433.35,23.93,2.41,1303
59.27,668.84,11.67,4.68,1304
52.76,124.74,12.44,3.88,1305
52.2,165.33,14.74,5.89,1306
48.8,460.43,23.32,3.07,1307
54.62,800.84,26.97,4.15,1308
44.56,944.3,17.45,3.71,1309
28.47,833.07,12.27,3.64,1310
29.27,723.95,24.56,3.76,1311
33.94,465.54,19.12,4.31,1312
40.61,354.01,16.15,2.3,1313
46.46,703.98,18.93,2.82,1314
41.16,199.42,25.79,5.68,1315
43.59,128.68,10.25,5.73,1316
25.31,456.92,10.56,5.37,1317
36.76,106.41,26.76,5.2,1318
49.68,314.77,19.01,3.87,1319
56.64,915.63,22.48,3.36,1320
58.05,224.12,22.2,4.48,1321
59.36,102.15,21.05,5.57,1322
42.48,566.91,29.45,5.18,1323
29.46,266.95,20.25,4.85,1324
34.06,762.98,10.72,2.09,1325
32.42,109.15,21.88,4.4,1326
22.68,930.23,13.45,2.95,1327
55.17,149.62,10.65,4.07,1328
55.54,722.98,29.39,2.85,1329
42.39,679.14,29.76,4.66,1330
38.27,981.28,27.24,4.37,1331
44.22,341.53,26.56,4.04,1332
37.99,709.05,10.61,4.56,1333
37.01,922.1,24.63,3.7,1334
37.55,442.97,28.63,5.08,1335
30.82,148.85,21.16,4.29,1336
58.25,694.79,17.93,2.88,1337
49.55,749.0,17.22,2.56,1338
49.26,958.6,22.95,5.11,1339
31.67,589.28,21.73,3.06,1340
30.0,164.88,21.56,2.51,1341
24.48,892.7,10.34,4.52,1342
58.44,791.78,15.14,2.91,1343
19.05,813.98,14.56,3.27,1344
20.24,909.61,12.7,5.69,1345
38.73,667.78,22.14,2.73,1346
44.32,756.32,10.13,2.34,1347
39.08,524.14,19.16,2.85,1348
27.94,607.71,12.32,5.9,1349
31.07,387.66,21.12,4.72,1350
24.02,445.08,19.32,6.0,1351
29.52,647.27,13.34,3.14,1352
47.39,724.38,26.63,4.45,1353
42.23,912.63,12.74,5.23,1354
29.25,119.9,18.18,3.66,1355
59.43,218.39,17.79,2.32,1356
33.82,383.77,20.07,5.66,1357
36.3,156.31,28.12,5.52,1358
58.64,883.07,11.18,4.75,1359
41.68,438.07,24.59,5.55,1360
56.28,621.25,29.63,4.59,1361
48.81,557.25,12.77,2.14,1362
51.37,846.21,20.42,3.3,1363
57.83,851.19,23.0,4.94,1364
45.83,513.62,20.28,5.41,1365
51.18,117.23,14.6,3.55,1366
31.3,761.83,28.22,2.64,1367
34.94,632.86,10.97,4.33,1368
26.54,190.38,21.14,2.43,1369
51.03,737.2,22.56,5.75,1370
24.11,985.51,14.93,2.94,1371
55.1,945.01,25.39,5.31,1372
29.47,978.83,17.28,5.59,1373
45.38,718.46,17.02,5.93,1374
32.67,775.45,13.89,2.13,1375
14.95,796.89,13.31,3.4,1376
55.11,181.27,28.6,3.5,1377
49.95,653.74,25.5,5.83,1378
47.92,151.66,16.87,3.35,1379
51.43,286.99,29.53,4.38,1380
59.88,200.32,15.46,3.75,1381
50.51,700.24,12.64,5.98,1382
52.59,233.32,19.69,3.61,1383
46.02,955.5,26.29,5.67,1384
42.64,160.6,23.09,2.25,1385
28.61,581.82,14.25,3.03,1386
45.82,192.87,12.52,2.66,1387
44.8,738.7,29.26,2.61,1388
38.34,415.14,16.99,3.05,1389
18.42,741.15,12.18,2.45,1390
55.31,123.53,20.05,4.77,1391
52.81,470.36,23.06,4.11,1392
17.26,869.67,12.15,5.82,1393
27.55,783.16,15.51,3.16,1394
31.75,363.98,29.78,4.74,1395
25.93,140.07,11.21,3.21,1396
56.86,710.3,10.17,2.39,1397
31.08,904.37,11.63,4.69,1398
32.94,232.49,16.01,3.87,1399
43.33,735.09,29.49,5.34,1400
44.81,901.63,29.14,2.04,1401
53.01,135.61,27.1,5.81,1402
22.58,435.6,20.8,3.13,1403
18.75,645.9,16.47,2.93,1404
30.71,580.11,27.26,2.75,1405
25.69,221.41,15.32,3.76,1406
31.52,640.53,23.28,5.61,1407
59.5,934.96,16.56,2.01,1408
57.09,155.32,21.69,4.25,1409
47.21,847.64,17.86,3.73,1410
33.87,687.83,17.95,5.0,1411
39.15,683.44,22.39,2.63,1412
36.4,209.6,28.53,4.46,1413
31.63,423.32,14.66,4.81,1414
50.16,176.63,22.6,2.68,1415
39.83,625.52,10.51,2.05,1416
44.77,526.17,14.09,4.58,1417
51.32,573.58,27.49,2.34,1418
38.34,417.98,29.73,4.0,1419
43.5,881.28,23.18,3.41,1420
28.42,459.04,21.92,4.98,1421
26.35,188.77,17.39,5.02,1422
51.56,834.25,18.44,3.29,1423
32.87,571.56,25.62,3.69,1424
27.56,819.07,19.27,5.32,1425
14.0,502.02,11.31,5.58,1426
29.94,221.68,26.83,3.34,1427
26.85,530.6,20.86,2.33,1428
31.7,408.73,29.31,3.99,1429
50.28,923.57,19.76,2.89,1430
39.99,472.67,29.22,3.19,1431
48.43,253.12,29.7,5.19,1432
42.38,984.04,21.32,4.32,1433
47.94,905.82,24.19,3.65,1434
41.35,257.98,14.71,5.01,1435
32.55,230.49,14.19,2.06,1436
49.57,780.17,23.63,4.43,1437
53.37,685.64,11.79,4.55,1438
45.05,809.92,23.23,2.79,1439
43.76,606.04,26.86,2.32,1440
26.97,578.43,23.45,5.58,1441
57.0,133.57,16.38,5.69,1442
42.09,974.53,14.58,4.26,1443
53.15,520.05,23.91,4.47,1444
58.76,524.07,25.07,3.11,1445
26.01,669.67,15.38,5.2,1446
31.18,897.22,26.09,2.06,1447
