pitch,l_tmrdl,w_tmrdl,h_tmrdl,dut_index
36.46,308.46,14.7,2.81,778
30.94,823.73,21.0,2.59,779
25.67,297.33,24.45,4.44,780
49.2,825.56,29.51,3.47,781
41.33,591.64,19.08,5.4,782
53.69,641.78,19.71,3.43,783
45.85,752.36,13.55,3.99,784
38.44,182.93,25.72,3.28,785
51.15,606.64,10.02,2.2,786
33.41,475.51,20.89,4.06,787
23.82,332.21,11.98,2.38,788
50.91,555.23,10.38,3.43,789
48.8,654.43,27.7,3.92,790
55.54,754.48,28.47,4.1,791
43.85,225.26,19.24,4.39,792
49.04,998.23,11.38,2.94,793
39.55,493.55,21.63,4.77,794
31.68,679.63,17.89,5.57,795
50.12,256.45,20.49,3.72,796
27.62,390.88,19.03,2.76,797
30.96,316.76,19.94,3.71,798
47.2,376.07,25.59,4.55,799
26.62,469.86,18.42,4.79,800
54.65,869.62,11.06,5.58,801
43.97,903.41,11.04,3.06,802
47.4,779.1,19.18,3.52,803
54.79,829.65,27.1,3.57,804
43.22,458.31,19.3,4.05,805
45.98,783.32,24.18,3.59,806
40.78,489.7,25.33,3.82,807
31.14,975.09,27.02,5.97,808
42.81,972.82,29.9,5.64,809
42.12,546.65,21.55,2.97,810
45.22,851.64,12.74,4.87,811
40.03,535.68,11.24,4.6,812
39.45,428.75,16.82,2.92,813
27.27,789.88,10.54,3.62,814
56.84,481.74,28.92,3.51,815
21.76,806.38,12.09,5.26,816
50.67,604.59,16.44,5.74,817
30.1,480.1,11.72,4.54,818
40.79,893.61,28.89,4.85,819
46.67,576.26,27.69,4.48,820
42.29,126.56,18.88,6.0,821
15.46,503.74,10.32,5.73,822
44.91,108.09,22.19,5.63,823
33.83,140.88,16.05,3.8,824
54.41,780.23,26.9,2.43,825
59.13,696.73,13.33,5.79,826
56.36,730.8,14.96,5.34,827
47.57,541.7,16.58,2.64,828
59.87,614.39,21.27,5.09,829
20.29,666.24,14.69,2.48,830
51.49,630.18,13.14,4.52,831
31.38,558.83,15.61,3.45,832
37.65,788.36,11.14,5.06,833
27.38,514.43,15.95,4.04,834
42.4,909.28,22.45,5.25,835
46.73,584.43,23.45,3.72,836
30.84,718.74,14.23,4.73,837
56.35,789.09,22.51,3.45,838
26.4,312.31,21.32,5.17,839
52.12,304.34,27.06,4.34,840
26.4,694.38,12.82,3.97,841
30.73,807.12,26.92,3.85,842
40.72,438.61,20.73,4.31,843
40.78,369.82,26.73,4.17,844
58.99,625.67,23.72,2.57,845
18.74,981.4,13.43,4.19,846
38.9,327.47,29.82,2.88,847
56.39,894.5,26.47,2.21,848
47.82,456.18,19.81,2.41,849
38.71,237.65,17.13,3.81,850
57.78,658.74,14.2,5.92,851
49.53,261.64,17.2,2.64,852
34.77,230.08,17.21,2.55,853
21.3,965.99,12.28,5.08,854
59.33,994.77,22.95,5.8,855
38.75,489.12,16.4,3.79,856
34.47,334.08,29.61,2.62,857
57.77,125.12,28.75,2.17,858
35.99,546.28,13.98,3.96,859
57.41,212.41,27.23,2.37,860
35.35,277.14,14.52,5.12,861
32.74,621.47,28.38,3.01,862
46.27,672.55,19.55,2.44,863
30.76,241.29,29.35,3.18,864
30.83,538.28,21.97,4.82,865
35.95,745.96,19.99,4.0,866
43.22,548.83,16.33,5.18,867
21.76,922.22,10.62,3.42,868
35.54,699.23,26.87,5.1,869
48.54,378.73,18.1,4.75,870
51.83,645.69,22.75,2.78,871
55.86,749.93,18.66,2.44,872
56.05,985.17,20.37,5.14,873
30.09,432.73,18.93,4.01,874
38.17,156.34,26.18,5.39,875
34.5,786.95,25.77,4.53,876
20.7,381.17,10.4,2.18,877
56.46,638.78,21.62,4.96,878
31.36,146.99,27.84,5.62,879
37.75,393.26,13.05,4.9,880
47.37,563.05,21.78,2.08,881
32.57,877.69,11.42,3.36,882
11.65,912.65,10.49,3.98,883
59.67,543.42,19.79,2.95,884
40.78,832.49,28.83,4.72,885
37.09,697.88,19.22,2.05,886
19.86,992.88,18.06,2.26,887
27.97,635.92,14.2,4.67,888
49.74,728.06,21.34,4.75,889
51.32,700.0,27.03,4.42,890
51.13,160.1,17.36,4.11,891
31.26,299.53,26.12,3.27,892
51.98,978.92,15.06,4.54,893
16.66,575.35,12.14,2.09,894
28.53,574.62,21.47,5.54,895
48.79,405.34,12.54,5.96,896
31.45,519.44,24.39,4.65,897
19.24,442.19,10.59,2.0,898
21.26,168.89,15.86,5.88,899
31.39,365.92,13.01,5.16,900
57.29,577.01,19.06,2.25,901
33.48,663.16,13.81,5.04,902
38.13,946.35,24.91,3.04,903
55.87,923.81,25.68,2.9,904
28.46,248.16,23.22,4.91,905
28.79,394.34,10.67,3.07,906
38.04,743.04,27.31,5.32,907
50.66,983.9,21.91,4.95,908
57.04,505.06,12.79,2.68,909
50.93,889.97,29.57,2.38,910
52.17,713.11,12.6,5.85,911
52.24,562.25,15.03,4.01,912
58.1,360.71,12.46,4.57,913
46.92,117.97,26.38,4.5,914
46.63,968.94,29.23,5.18,915
58.06,669.71,28.5,3.76,916
58.89,292.73,24.74,2.93,917
45.62,781.64,27.19,3.5,918
18.61,138.38,15.22,5.45,919
40.29,567.6,15.25,2.29,920
33.57,879.91,12.05,4.74,921
55.11,996.42,25.79,4.89,922
31.39,758.46,23.38,3.68,923
47.27,759.62,25.11,4.28,924
38.16,917.01,29.49,3.44,925
44.58,351.15,24.57,3.64,926
44.34,296.56,12.03,2.9,927
30.37,703.18,16.84,5.82,928
54.0,845.29,27.78,2.2,929
36.09,966.38,18.81,3.05,930
56.48,266.41,27.86,3.82,931
57.48,499.66,21.28,2.3,932
31.63,130.07,26.3,2.24,933
18.34,502.64,17.26,2.23,934
43.0,318.84,15.91,3.86,935
53.86,707.22,26.52,5.9,936
25.46,751.25,18.9,4.26,937
50.61,478.9,21.94,3.21,938
43.75,367.99,25.87,5.15,939
56.99,148.26,24.3,3.94,940
42.83,607.58,11.87,3.3,941
32.54,290.37,22.3,5.75,942
34.66,434.94,13.63,4.76,943
21.02,124.04,13.26,2.51,944
16.93,343.95,12.6,4.45,945
53.98,678.41,14.83,2.68,946
42.83,839.21,18.75,2.4,947
42.05,272.37,18.87,2.98,948
38.18,816.52,24.01,4.77,949
52.52,512.64,24.4,2.32,950
19.83,595.31,13.24,4.05,951
17.15,813.66,15.94,3.74,952
35.04,691.36,15.55,4.62,953
27.53,131.03,24.26,3.11,954
31.35,340.89,12.4,2.13,955
52.22,952.84,25.46,3.49,956
56.46,373.88,21.18,3.11,957
36.84,302.82,15.27,4.58,958
58.68,148.93,20.25,3.2,959
49.02,594.86,22.33,2.03,960
50.44,194.39,12.22,4.63,961
30.84,224.83,14.54,2.8,962
53.78,515.41,28.68,4.0,963
48.22,876.58,18.58,3.67,964
14.46,999.64,10.34,5.5,965
35.33,335.68,28.19,2.61,966
46.36,766.31,29.47,3.94,967
52.7,580.4,25.82,5.01,968
29.93,269.36,17.58,2.53,969
25.78,963.71,20.28,2.87,970
25.52,462.82,20.76,4.55,971
19.52,132.66,11.11,5.69,972
44.17,685.87,18.15,2.98,973
50.87,134.38,11.76,5.75,974
53.63,395.44,26.15,3.6,975
43.12,103.13,13.31,3.73,976
38.63,958.17,22.13,2.6,977
57.17,406.0,19.75,5.88,978
30.7,862.92,26.79,2.47,979
54.22,255.79,28.71,2.11,980
22.11,521.7,15.48,2.07,981
42.18,831.89,23.49,2.86,982
55.33,569.36,14.48,5.32,983
50.28,846.5,29.53,2.28,984
51.23,706.2,21.36,5.0,985
55.12,544.66,24.54,5.13,986
28.84,911.78,20.69,2.52,987
57.76,494.41,26.97,4.44,988
37.87,596.33,22.57,3.01,989
34.41,187.03,16.45,3.7,990
37.5,173.57,25.74,5.02,991
33.25,808.1,23.56,2.56,992
45.18,565.56,29.27,3.81,993
37.88,188.9,13.4,4.08,994
18.41,610.57,10.55,5.44,995
36.16,795.11,11.36,2.85,996
28.0,660.15,23.25,4.13,997
31.83,301.85,17.72,3.75,998
32.19,312.69,23.67,4.27,999
48.57,943.17,14.79,5.87,1000
42.61,195.44,24.82,4.32,1001
33.41,444.13,22.72,4.92,1002
26.97,853.28,12.68,4.32,1003
45.41,323.52,19.43,5.21,1004
48.93,842.01,27.65,5.76,1005
52.94,611.37,12.99,4.61,1006
32.93,154.51,10.22,5.05,1007
22.39,223.01,19.38,2.16,1008
35.1,802.64,27.27,2.31,1009
32.48,520.21,13.36,4.09,1010
40.73,218.68,22.4,4.94,1011
50.5,716.62,24.64,3.44,1012
28.18,430.17,24.17,2.6,1013
59.06,620.78,17.51,5.37,1014
33.62,362.56,10.43,5.24,1015
27.42,165.34,20.24,2.36,1016
22.23,859.1,20.6,3.29,1017
31.82,850.09,15.43,3.37,1018
37.84,346.07,19.87,2.7,1019
36.6,517.21,28.05,3.66,1020
59.99,532.12,14.45,2.91,1021
50.23,702.7,18.18,2.33,1022
56.01,461.99,18.37,2.58,1023
30.13,114.87,14.26,5.28,1024
40.18,918.44,15.63,5.29,1025
57.21,561.05,27.33,2.59,1026
51.96,652.06,17.83,3.56,1027
50.68,936.28,23.32,5.0,1028
20.8,352.78,10.13,4.14,1029
36.35,768.39,22.62,5.98,1030
31.74,676.47,21.86,3.56,1031
32.92,101.88,28.07,3.54,1032
51.76,693.93,29.76,5.35,1033
33.5,512.96,23.16,4.14,1034
56.65,418.2,22.46,4.69,1035
57.37,937.99,18.63,5.66,1036
50.49,267.62,13.85,4.15,1037
59.77,891.93,19.33,4.36,1038
48.61,738.25,15.75,4.27,1039
35.26,650.21,18.83,4.88,1040
54.46,709.58,21.81,5.83,1041
56.04,888.73,22.21,2.33,1042
40.2,800.58,24.36,5.41,1043
56.6,465.84,29.58,5.89,1044
36.6,444.65,27.94,5.86,1045
49.9,549.64,16.13,2.16,1046
45.72,305.82,26.8,2.1,1047
45.95,197.44,10.65,3.38,1048
33.83,114.07,29.89,5.05,1049
30.86,556.95,27.89,2.12,1050
55.13,570.38,21.48,3.65,1051
48.37,797.06,15.33,3.07,1052
57.12,740.11,20.06,4.06,1053
45.34,826.77,21.51,5.9,1054
55.76,962.77,25.5,5.7,1055
36.89,100.81,20.83,4.87,1056
15.41,944.83,12.91,5.35,1057
33.94,973.31,17.44,5.74,1058
36.88,137.88,12.02,5.56,1059
48.66,409.09,27.54,3.09,1060
38.55,897.97,19.9,5.55,1061
35.48,624.31,15.0,5.91,1062
32.15,287.6,19.02,4.51,1063
49.69,215.66,27.66,4.47,1064
28.25,530.6,26.56,3.71,1065
39.43,803.97,15.14,5.64,1066
27.08,333.39,12.76,5.57,1067
13.45,428.49,10.52,5.91,1068
35.47,954.18,18.55,2.41,1069
29.12,175.21,23.2,3.69,1070
51.05,662.04,17.75,4.4,1071
34.64,906.14,10.94,5.14,1072
32.64,836.32,29.94,2.89,1073
43.69,490.69,28.62,5.58,1074
36.78,916.37,20.31,2.36,1075
29.8,483.35,18.72,5.44,1076
54.76,627.27,22.81,5.87,1077
55.41,472.92,25.96,4.15,1078
16.98,856.95,15.17,3.23,1079
46.96,431.19,27.45,5.63,1080
49.23,248.53,26.99,2.15,1081
48.42,166.61,27.09,4.81,1082
17.67,354.24,11.97,2.02,1083
45.69,763.12,12.23,5.54,1084
41.98,599.99,27.15,3.03,1085
20.86,601.27,16.61,5.23,1086
51.24,914.53,20.05,4.97,1087
57.93,456.78,14.94,5.85,1088
36.16,466.93,28.99,5.39,1089
32.51,792.29,29.34,4.91,1090
58.3,421.95,23.65,5.12,1091
52.85,245.9,23.37,3.68,1092
47.79,686.43,18.38,3.58,1093
55.99,215.94,25.02,3.91,1094
53.86,837.17,26.25,5.98,1095
43.47,861.93,25.63,2.4,1096
34.85,811.73,15.67,4.41,1097
27.52,242.97,15.8,2.07,1098
39.05,955.74,25.99,4.5,1099
47.83,842.62,16.7,3.74,1100
34.07,566.38,15.75,2.06,1101
38.96,734.54,23.73,2.71,1102
49.13,364.05,26.27,3.9,1103
59.16,895.49,10.88,5.82,1104
48.65,874.58,23.77,4.64,1105
29.67,623.63,10.1,4.57,1106
42.23,747.83,28.48,2.27,1107
59.61,270.05,18.08,4.38,1108
53.2,407.31,28.26,4.52,1109
36.64,389.78,28.24,3.14,1110
34.52,633.56,28.94,2.51,1111
39.66,252.28,27.15,2.31,1112
29.45,587.8,14.86,5.79,1113
29.99,770.85,20.78,2.23,1114
38.3,255.17,22.68,4.68,1115
55.5,396.92,30.0,4.18,1116
42.36,960.63,14.42,3.47,1117
49.01,179.18,28.1,2.46,1118
36.36,816.83,24.22,4.93,1119
47.67,971.74,11.59,2.61,1120
54.92,900.74,15.69,4.96,1121
47.04,809.24,19.31,4.03,1122
54.1,232.14,14.81,3.52,1123
32.67,821.09,21.99,3.02,1124
39.19,356.18,16.89,2.5,1125
17.68,435.9,10.17,4.4,1126
25.47,162.92,16.86,3.12,1127
50.87,861.0,22.25,4.62,1128
54.68,884.02,23.53,4.94,1129
31.56,239.4,22.49,5.73,1130
36.3,711.81,18.46,5.15,1131
58.02,597.31,25.56,4.21,1132
57.88,473.77,16.55,3.88,1133
49.44,200.88,28.01,2.24,1134
29.87,572.94,16.0,5.93,1135
42.98,763.92,24.71,2.14,1136
55.1,907.19,21.6,5.94,1137
54.7,888.52,24.07,3.55,1138
44.56,242.03,23.83,2.22,1139
58.71,282.03,25.3,2.5,1140
31.12,660.34,16.41,3.13,1141
47.2,328.42,22.6,5.53,1142
23.52,585.29,21.71,2.96,1143
36.27,826.65,21.03,5.38,1144
37.48,801.23,18.31,2.67,1145
32.1,498.23,28.59,5.99,1146
44.9,864.61,11.89,5.28,1147
45.54,342.22,20.34,4.92,1148
52.89,197.99,18.61,2.74,1149
30.18,210.76,18.79,5.45,1150
38.26,970.34,18.28,4.36,1151
58.96,905.1,20.46,2.39,1152
44.76,426.77,13.52,3.2,1153
48.12,623.05,21.08,4.3,1154
54.09,866.07,10.73,4.1,1155
41.07,271.64,11.27,4.3,1156
41.31,172.7,25.61,4.02,1157
52.18,204.55,29.42,4.35,1158
33.86,795.39,20.95,2.82,1159
40.94,840.73,15.35,4.63,1160
22.21,176.52,14.16,5.96,1161
45.19,181.02,13.17,3.87,1162
34.14,590.73,23.51,3.0,1163
24.18,821.32,22.04,5.71,1164
38.26,371.66,28.22,5.51,1165
51.49,828.64,23.01,5.72,1166
40.2,765.19,26.67,2.84,1167
37.72,782.29,26.42,5.62,1168
20.04,402.92,10.85,3.08,1169
39.06,646.85,14.01,2.89,1170
30.6,933.55,14.32,5.47,1171
27.48,347.3,24.86,2.73,1172
55.59,237.03,24.68,2.7,1173
19.64,690.26,16.92,3.48,1174
52.81,695.97,29.7,3.85,1175
44.44,415.34,11.64,5.25,1176
51.75,293.65,19.97,4.23,1177
35.54,569.05,23.3,2.99,1178
59.49,934.95,13.21,3.19,1179
16.03,551.01,13.73,2.01,1180
47.1,997.23,27.38,2.72,1181
25.5,234.26,23.15,3.5,1182
57.33,326.55,12.85,5.84,1183
53.02,603.68,10.24,5.84,1184
27.6,418.98,13.91,5.7,1185
58.4,186.1,22.83,4.98,1186
22.74,993.53,18.97,3.58,1187
58.32,321.48,27.3,4.33,1188
38.41,317.62,21.1,4.2,1189
49.63,118.23,21.15,3.84,1190
35.29,878.64,10.99,3.7,1191
40.0,672.76,20.54,4.53,1192
55.18,136.66,29.32,2.34,1193
39.75,510.01,12.5,4.7,1194
45.26,420.05,20.08,3.28,1195
35.56,105.86,11.68,3.17,1196
26.49,964.79,11.75,2.12,1197
24.04,618.69,16.37,5.37,1198
22.55,267.82,13.39,3.93,1199
27.25,707.82,14.56,4.65,1200
38.93,111.87,11.61,3.77,1201
53.74,748.99,22.88,4.35,1202
59.41,167.96,16.3,4.99,1203
45.78,533.92,23.81,5.55,1204
23.79,188.04,15.2,3.26,1205
43.35,729.93,16.49,4.78,1206
37.26,164.5,25.19,4.46,1207
56.53,485.03,23.04,5.61,1208
30.36,907.92,16.99,5.41,1209
32.25,854.54,17.69,5.69,1210
36.19,484.34,11.91,5.68,1211
44.64,785.65,25.16,3.18,1212
35.82,976.61,17.67,2.32,1213
34.58,305.94,29.22,2.66,1214
34.82,113.36,22.74,5.72,1215
55.28,472.12,12.18,3.98,1216
54.72,107.09,25.27,3.24,1217
53.6,734.44,13.61,4.42,1218
33.36,185.42,18.68,5.78,1219
36.62,349.13,18.52,5.11,1220
31.38,588.88,27.46,3.34,1221
53.19,143.75,24.79,5.81,1222
20.12,411.87,17.98,2.82,1223
42.53,476.82,26.07,4.95,1224
31.24,534.67,21.66,4.84,1225
56.07,768.23,26.93,5.61,1226
26.95,209.4,13.49,5.99,1227
23.67,554.16,12.45,2.49,1228
36.3,324.46,25.94,3.29,1229
23.05,818.48,12.71,2.87,1230
54.17,542.6,16.8,3.78,1231
31.1,284.79,14.76,2.29,1232
57.89,926.83,28.29,2.42,1233
28.55,307.24,12.36,5.33,1234
54.04,524.25,14.92,4.25,1235
53.29,948.39,25.13,2.06,1236
20.47,486.52,12.51,2.86,1237
34.26,719.47,11.44,5.03,1238
32.33,499.05,17.17,3.25,1239
51.51,941.21,21.88,4.28,1240
19.35,523.82,10.29,2.58,1241
29.23,742.02,24.52,4.18,1242
44.44,310.11,15.42,3.48,1243
55.42,423.87,19.17,3.95,1244
51.05,683.37,21.83,3.6,1245
44.88,481.22,19.4,2.42,1246
58.07,314.65,14.08,3.46,1247
40.2,605.44,13.47,4.61,1248
48.53,799.49,21.21,4.51,1249
41.13,732.09,24.75,5.81,1250
32.25,609.02,20.44,2.04,1251
41.2,192.79,15.46,5.3,1252
29.77,264.67,27.37,2.81,1253
29.55,213.81,26.36,3.77,1254
32.68,374.73,12.66,4.43,1255
43.34,775.91,27.22,2.63,1256
46.82,350.33,29.1,5.95,1257
55.96,325.97,13.77,3.49,1258
30.95,743.62,21.69,5.06,1259
22.59,358.5,19.11,3.32,1260
53.54,163.61,21.15,3.41,1261
32.97,253.22,15.29,3.39,1262
21.18,228.04,18.45,5.46,1263
42.65,291.94,15.58,5.07,1264
42.68,421.06,20.94,5.19,1265
53.28,987.56,13.65,3.89,1266
44.37,947.23,26.0,2.26,1267
37.31,769.7,26.53,3.22,1268
54.24,221.93,15.38,3.08,1269
14.74,976.37,12.12,3.33,1270
59.58,977.81,22.26,4.41,1271
56.84,504.71,19.66,4.31,1272
42.55,648.36,22.29,2.75,1273
57.09,370.74,10.91,2.18,1274
48.19,968.33,24.97,5.89,1275
47.41,819.72,29.68,4.67,1276
29.65,135.56,23.26,5.68,1277
23.68,692.03,17.4,2.3,1278
15.87,387.78,12.56,2.04,1279
23.18,425.26,19.15,3.97,1280
50.55,866.35,25.04,4.16,1281
30.34,526.09,16.07,2.65,1282
32.29,219.26,27.74,4.59,1283
48.67,470.54,26.71,5.86,1284
37.71,805.29,17.65,2.92,1285
37.3,726.81,17.29,2.78,1286
25.33,859.79,19.83,4.25,1287
51.85,716.49,11.01,5.67,1288
22.24,932.23,10.25,5.23,1289
43.35,528.43,23.59,2.57,1290
34.07,344.63,26.22,2.37,1291
50.02,413.55,13.12,4.76,1292
43.35,834.72,24.1,4.8,1293
51.29,784.69,27.41,2.54,1294
54.52,872.39,28.43,2.15,1295
13.23,233.7,11.83,5.31,1296
29.74,298.65,22.93,5.16,1297
53.33,527.05,15.7,3.8,1298
36.09,656.44,20.71,3.24,1299
28.37,681.8,16.51,4.86,1300
25.95,668.58,16.28,3.19,1301
54.87,144.28,26.84,5.04,1302
45.76,321.75,22.1,4.46,1303
28.48,910.96,22.37,4.13,1304
59.94,721.8,28.54,4.33,1305
42.21,952.18,16.24,3.62,1306
56.02,663.75,22.41,2.28,1307
32.05,260.8,22.54,3.66,1308
30.02,830.92,22.17,3.69,1309
47.73,150.92,10.8,3.09,1310
28.58,941.74,14.61,3.91,1311
36.52,675.78,28.63,3.61,1312
50.81,617.2,23.6,4.22,1313
53.95,391.72,23.79,2.69,1314
36.83,262.23,16.1,4.69,1315
14.59,492.03,11.3,4.07,1316
37.06,857.24,10.37,4.88,1317
36.42,170.16,11.16,2.47,1318
45.76,259.57,11.81,2.79,1319
49.04,539.3,29.44,3.4,1320
35.88,509.32,16.1,3.15,1321
26.7,572.06,22.87,5.65,1322
53.03,583.62,27.77,4.08,1323
28.52,276.41,18.24,5.42,1324
19.98,956.79,12.26,3.1,1325
48.98,487.88,19.58,5.36,1326
47.44,385.89,15.12,3.9,1327
25.12,631.07,16.96,4.85,1328
46.95,397.16,23.46,4.68,1329
34.97,634.97,24.23,3.57,1330
55.54,448.93,10.04,2.52,1331
31.62,760.83,14.73,2.02,1332
24.43,441.46,16.27,5.66,1333
46.22,722.23,13.78,2.75,1334
32.31,617.97,25.42,3.92,1335
32.68,522.03,11.34,3.25,1336
41.07,280.61,10.07,5.71,1337
41.12,688.28,13.97,3.4,1338
42.9,452.04,27.98,5.51,1339
51.05,627.69,21.44,3.23,1340
24.19,288.97,18.15,3.61,1341
48.09,732.64,17.56,3.38,1342
29.51,540.66,16.93,3.87,1343
50.58,235.98,17.49,3.99,1344
52.89,680.75,23.95,2.84,1345
45.44,310.72,14.28,2.74,1346
15.11,876.05,12.89,5.31,1347
47.31,713.31,23.9,2.14,1348
35.57,116.05,11.22,4.82,1349
43.34,812.63,29.28,5.27,1350
34.6,111.22,20.87,2.65,1351
35.84,495.04,20.67,5.65,1352
29.73,939.9,25.54,3.41,1353
14.54,203.36,10.19,2.46,1354
43.83,251.36,23.69,3.63,1355
33.89,477.62,26.62,5.78,1356
38.82,337.16,13.04,2.77,1357
49.2,927.01,25.05,3.78,1358
42.9,263.8,23.33,3.33,1359
42.51,930.4,17.07,5.24,1360
57.83,359.5,24.13,4.86,1361
56.06,901.15,17.87,2.43,1362
46.7,720.3,19.65,5.2,1363
42.22,199.56,24.34,4.73,1364
52.69,195.86,14.38,4.04,1365
55.36,921.11,20.1,3.64,1366
42.99,892.94,18.57,2.62,1367
34.6,244.02,19.52,4.03,1368
38.75,847.15,25.37,5.47,1369
49.35,158.59,19.49,4.64,1370
17.13,564.29,13.69,2.55,1371
38.08,919.77,17.11,5.95,1372
47.85,724.43,14.11,3.26,1373
36.53,177.85,24.03,3.75,1374
35.41,868.76,17.45,2.67,1375
38.11,465.35,27.8,2.45,1376
58.8,206.64,23.05,5.08,1377
37.69,552.56,17.3,4.02,1378
58.69,684.43,22.08,5.36,1379
29.36,123.13,20.18,3.53,1380
45.47,500.83,25.5,3.46,1381
51.2,633.1,11.32,2.39,1382
49.12,673.82,27.52,2.96,1383
20.56,531.82,10.75,4.98,1384
26.24,551.66,20.61,2.94,1385
30.18,105.54,24.5,4.21,1386
58.37,410.83,15.02,3.65,1387
48.74,991.01,13.71,3.89,1388
21.86,517.48,20.39,2.77,1389
22.24,637.56,16.53,2.35,1390
48.47,279.26,26.03,5.52,1391
45.96,153.7,11.79,5.22,1392
58.1,150.31,22.66,2.83,1393
17.55,886.25,14.05,4.29,1394
28.38,400.79,22.05,4.23,1395
44.25,464.0,28.42,4.48,1396
36.79,638.89,25.24,4.39,1397
51.25,773.55,15.54,3.42,1398
45.79,438.95,22.0,5.13,1399
48.95,357.52,26.63,3.63,1400
58.4,205.16,18.98,4.74,1401
14.31,642.91,11.1,3.31,1402
47.71,740.59,28.1,4.19,1403
42.68,745.43,18.49,2.72,1404
33.25,555.77,21.01,4.56,1405
24.71,709.77,10.97,3.59,1406
46.6,176.06,13.55,5.59,1407
32.53,171.42,29.78,4.16,1408
30.05,756.68,21.77,4.09,1409
49.77,399.55,26.44,5.38,1410
47.79,868.29,26.68,5.26,1411
20.09,226.06,13.18,3.34,1412
33.64,793.44,19.27,5.29,1413
59.83,934.7,18.34,2.35,1414
27.12,449.89,19.62,2.91,1415
58.13,980.8,26.08,2.73,1416
23.65,212.85,13.29,4.84,1417
53.42,109.2,27.6,3.55,1418
50.71,190.48,29.01,4.93,1419
56.47,300.98,18.0,4.83,1420
16.06,959.05,12.42,3.35,1421
52.32,127.81,23.11,3.93,1422
31.55,285.68,16.2,4.66,1423
34.33,320.05,23.42,5.11,1424
47.29,990.18,15.99,3.39,1425
47.0,559.78,16.64,4.37,1426
42.18,103.48,29.87,2.03,1427
31.16,372.61,25.44,3.12,1428
42.57,383.64,17.97,3.03,1429
19.44,628.89,14.45,5.48,1430
39.66,704.82,10.78,2.83,1431
59.06,121.3,20.55,5.09,1432
44.84,644.55,29.96,2.63,1433
46.54,448.63,11.56,4.79,1434
34.65,723.49,29.06,3.04,1435
51.86,913.57,28.35,3.17,1436
43.91,446.54,19.77,2.21,1437
32.77,329.6,21.74,2.34,1438
41.67,201.73,21.06,3.36,1439
29.3,579.3,24.11,2.27,1440
46.92,506.97,25.4,5.53,1441
58.69,613.26,15.9,3.96,1442
40.24,762.42,28.34,4.89,1443
46.54,424.97,19.7,2.8,1444
57.45,382.13,25.67,2.99,1445
52.82,615.49,29.65,4.72,1446
58.05,714.48,16.67,2.22,1447
58.3,120.06,28.15,2.85,1448
