pitch,r_tsv,h_tsv,l_tmrdl,w_tmrdl,h_tmrdl,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
52.62,2.29,83.33,319.6,28.25,5.08,567.75,21.76,4.83,391
56.0,13.26,85.19,475.96,19.64,5.69,338.77,15.02,4.48,392
39.95,4.86,96.75,880.76,24.83,3.4,936.96,18.36,5.21,393
33.3,6.62,91.34,742.07,13.57,3.06,145.52,16.91,3.04,394
43.28,7.79,59.98,813.03,27.1,3.28,433.53,23.62,2.32,395
42.5,2.13,85.99,677.96,17.55,5.54,984.6,28.63,5.71,396
36.1,9.52,60.28,164.38,18.17,4.19,754.41,24.61,3.1,397
45.97,4.94,86.94,886.29,18.53,2.26,680.33,21.98,3.11,398
49.8,5.49,90.28,864.61,21.34,5.71,144.47,24.38,4.6,399
36.94,13.18,90.58,358.53,12.79,3.76,331.2,29.05,5.99,400
35.33,7.24,70.96,194.13,24.95,5.43,910.4,10.17,3.64,401
51.58,13.96,64.45,982.6,11.67,5.24,254.39,29.45,4.69,402
27.3,2.89,93.73,686.82,13.07,2.82,454.4,15.26,5.63,403
51.82,4.55,56.69,231.58,17.36,2.14,408.51,20.6,5.11,404
31.81,3.39,84.07,397.62,21.1,4.14,743.39,27.13,4.12,405
47.62,8.68,61.77,396.55,29.21,3.75,291.31,12.23,3.75,406
52.37,3.07,56.93,342.16,14.46,4.64,612.8,29.13,5.42,407
39.91,6.47,62.4,822.97,13.28,4.34,626.4,18.92,4.23,408
33.72,14.18,82.73,965.77,11.91,5.96,497.29,23.71,2.94,409
24.72,7.33,67.42,486.16,17.31,3.9,816.94,23.07,2.89,410
58.24,4.09,70.29,108.03,27.0,5.59,789.67,29.33,5.06,411
30.14,6.86,51.7,493.2,14.91,5.39,682.1,18.98,2.7,412
42.41,2.21,92.48,432.07,11.26,5.99,950.18,17.73,2.22,413
45.58,10.34,85.62,708.5,29.3,3.87,585.35,24.99,4.1,414
37.61,5.13,59.07,386.79,18.38,5.37,668.9,13.41,4.5,415
50.51,7.07,81.84,335.23,27.68,3.38,381.01,17.13,4.65,416
44.56,11.99,88.71,113.76,13.36,4.88,837.94,11.38,2.9,417
42.92,10.81,80.68,437.05,29.58,3.14,240.09,23.76,2.6,418
43.27,4.65,86.29,259.31,16.42,4.98,987.93,26.19,3.38,419
35.85,13.39,51.34,126.04,18.32,2.71,319.43,29.93,5.79,420
51.45,7.03,50.88,789.05,20.79,3.98,965.18,28.48,5.95,421
31.06,8.77,53.33,312.47,24.48,2.78,233.2,25.2,4.43,422
52.97,8.11,74.29,833.95,26.2,3.25,352.3,28.84,5.47,423
58.96,13.74,61.39,702.56,27.87,2.26,494.63,27.18,4.0,424
53.75,6.03,56.31,999.61,22.56,2.87,851.64,13.09,3.42,425
26.06,2.45,52.55,838.2,23.6,4.48,252.77,18.78,5.22,426
47.34,6.31,71.17,379.9,27.48,3.24,691.3,18.44,3.12,427
28.4,10.61,63.38,718.25,26.57,2.95,237.12,24.11,5.64,428
27.98,6.09,75.34,406.66,18.5,2.76,340.83,13.84,3.95,429
47.97,3.92,54.93,538.82,27.63,5.14,413.85,12.93,5.85,430
28.44,11.45,64.76,651.98,22.4,3.12,634.66,18.74,4.32,431
38.51,7.99,92.67,695.56,19.59,5.93,117.99,26.79,4.18,432
51.41,9.11,81.42,596.57,13.42,5.92,978.47,15.31,5.45,433
59.1,8.34,70.5,896.42,22.0,5.68,100.58,11.41,5.33,434
26.04,5.28,52.39,216.56,16.01,2.57,966.89,24.87,3.31,435
29.16,11.11,95.88,645.46,24.2,5.68,343.54,10.85,3.66,436
29.19,13.17,89.59,924.66,25.62,2.51,305.51,16.87,5.94,437
36.69,10.12,57.23,448.79,21.16,3.32,561.62,18.12,4.99,438
58.3,12.86,58.25,585.16,17.96,3.48,813.45,16.09,5.2,439
45.64,12.69,86.64,837.33,21.99,3.89,298.49,25.52,2.79,440
50.73,13.55,78.9,277.4,22.48,5.29,170.33,22.44,5.08,441
59.95,11.59,92.91,270.0,11.49,4.12,460.19,28.33,5.03,442
58.45,11.49,79.45,385.44,17.69,4.36,756.48,27.32,2.92,443
39.66,4.96,70.75,391.8,29.99,4.57,639.42,25.93,4.12,444
43.11,11.78,73.29,615.7,26.37,3.68,732.51,25.76,4.02,445
25.1,7.76,60.61,130.15,20.6,5.58,604.44,16.75,5.97,446
30.98,9.69,93.05,195.71,28.33,4.92,972.29,21.23,2.56,447
50.42,12.24,82.84,293.53,25.87,3.0,719.98,16.35,4.2,448
34.95,9.84,54.47,321.12,28.53,3.47,587.28,20.05,5.72,449
50.5,5.84,93.59,923.29,27.09,5.12,175.66,16.63,4.58,450
39.45,6.4,88.23,615.13,14.44,4.53,179.29,28.57,4.16,451
57.69,12.57,71.81,792.65,21.47,3.1,249.04,21.36,5.66,452
55.94,14.64,89.7,738.32,12.87,2.14,287.41,10.07,2.97,453
31.67,9.87,58.67,518.3,12.82,4.5,899.63,21.64,2.11,454
51.88,4.0,71.3,467.88,29.25,5.41,218.88,25.36,3.01,455
18.57,2.63,72.7,973.45,14.64,5.38,189.39,15.37,3.14,456
32.25,13.67,73.08,146.68,26.78,2.01,134.81,20.19,3.98,457
40.26,14.68,93.83,933.33,22.8,3.88,702.04,18.25,5.75,458
46.59,12.07,94.65,184.87,13.0,5.12,246.28,29.49,2.76,459
51.61,3.66,88.6,766.82,10.71,4.49,429.41,24.55,2.76,460
33.48,8.64,99.55,388.36,17.22,5.34,655.02,12.71,3.49,461
29.1,4.22,88.29,318.14,27.36,2.33,212.56,12.1,2.79,462
41.45,12.49,66.16,187.18,24.12,4.58,118.99,22.17,3.84,463
39.08,7.6,87.34,668.23,20.14,3.37,929.99,22.9,2.17,464
58.72,9.49,69.39,487.23,24.86,5.28,993.34,21.92,3.25,465
28.95,12.16,77.99,365.82,20.87,2.74,149.69,12.52,2.58,466
37.09,8.5,97.77,300.75,19.73,4.17,619.4,19.68,2.26,467
28.86,8.5,67.73,936.05,14.76,2.84,573.91,11.32,5.82,468
52.43,9.92,94.86,586.2,21.41,2.86,564.51,17.06,3.84,469
48.46,10.24,51.83,784.35,27.7,3.31,264.56,11.26,5.54,470
54.05,14.45,63.36,879.16,15.55,4.06,387.94,15.64,5.78,471
33.39,13.87,56.01,227.66,18.72,4.65,524.66,29.39,5.24,472
49.52,9.74,50.72,310.79,26.25,3.8,722.79,17.69,5.92,473
54.83,7.5,78.24,563.09,11.11,3.38,538.9,15.9,5.34,474
36.03,9.23,54.78,211.13,23.32,5.26,156.38,11.96,4.29,475
57.89,10.53,98.46,987.75,20.3,2.66,200.49,26.85,4.97,476
52.64,11.92,62.97,469.33,16.7,4.76,407.51,18.52,5.84,477
24.29,6.43,71.92,710.18,14.75,2.56,795.31,20.2,5.87,478
33.34,3.84,61.36,349.8,20.23,4.05,558.95,12.41,5.22,479
35.82,7.4,75.38,883.2,14.83,4.52,479.28,27.46,5.06,480
41.64,10.01,61.56,915.7,26.5,4.69,312.93,24.1,3.07,481
54.18,6.33,58.42,179.99,23.38,4.67,472.25,25.42,3.82,482
34.39,13.41,96.21,348.33,15.76,2.97,716.88,14.02,5.41,483
45.53,6.21,60.23,229.8,25.81,5.83,114.92,14.71,4.04,484
55.34,11.66,54.29,299.18,15.24,3.52,208.92,17.43,3.48,485
33.27,10.87,50.57,364.32,15.69,2.15,803.61,16.31,2.1,486
44.16,5.56,55.11,778.69,26.67,4.81,569.61,29.85,2.18,487
49.51,13.51,73.97,422.22,27.59,3.43,229.57,29.19,3.54,488
35.22,11.33,72.96,874.61,27.81,3.54,105.83,17.25,3.79,489
56.55,8.81,62.32,151.94,14.23,3.74,195.92,15.89,3.2,490
35.82,3.27,99.74,868.17,16.18,4.95,147.43,14.07,2.65,491
19.91,6.27,57.37,906.82,15.53,5.22,480.58,18.88,2.59,492
30.69,6.77,87.95,775.95,26.92,4.59,436.65,19.49,2.21,493
22.16,6.26,87.21,424.49,10.98,5.01,559.38,11.75,5.58,494
25.78,10.37,91.11,139.75,20.38,5.95,975.75,10.21,3.36,495
37.08,8.38,76.78,700.07,10.91,5.24,397.56,17.75,2.74,496
24.63,4.82,81.23,664.85,22.26,3.18,373.67,10.72,2.48,497
46.11,8.91,65.99,979.2,23.99,2.22,728.19,24.21,2.07,498
50.93,2.46,91.44,733.5,18.2,3.49,845.53,11.79,4.56,499
47.37,2.38,79.6,954.5,16.45,5.81,452.15,23.16,4.85,500
50.6,14.53,94.95,716.23,29.53,2.31,185.84,15.46,3.05,501
50.7,4.6,66.51,545.27,11.19,3.09,616.01,25.61,3.7,502
39.53,14.3,72.01,271.1,27.95,5.55,627.31,24.35,5.73,503
54.45,7.65,83.9,671.9,19.14,4.36,778.1,23.97,5.59,504
23.96,11.25,91.94,901.83,16.95,2.54,669.87,20.92,2.24,505
35.94,5.94,70.22,151.6,18.09,3.35,939.2,16.72,4.43,506
54.28,3.29,93.37,189.57,28.96,2.7,658.48,14.9,3.27,507
39.65,10.62,85.01,282.89,20.96,2.06,185.45,19.2,4.68,508
55.57,4.27,87.44,491.07,23.12,3.94,793.52,28.53,2.62,509
55.48,3.45,99.27,452.94,16.86,5.81,808.64,20.33,5.5,510
46.38,8.55,64.01,496.91,19.92,4.57,656.6,13.2,4.53,511
36.56,5.4,89.47,928.43,17.93,2.62,449.15,25.69,3.93,512
41.55,2.49,52.89,474.57,23.91,4.46,811.42,24.18,3.51,513
30.2,9.99,68.45,604.99,19.23,3.47,908.74,19.29,4.54,514
54.9,6.52,91.85,513.46,21.27,3.55,112.71,27.67,2.99,515
47.28,3.22,58.31,252.91,27.0,5.02,665.7,12.6,4.49,516
40.78,5.35,79.17,278.71,19.87,2.24,660.6,28.25,3.01,517
27.51,7.82,72.84,135.39,17.43,4.91,609.83,24.85,5.38,518
33.28,2.01,85.65,171.72,10.81,4.25,832.57,22.46,3.58,519
45.6,2.66,90.2,806.76,16.12,4.22,784.41,26.7,4.13,520
28.21,13.03,74.04,100.34,16.37,3.78,527.93,22.31,2.43,521
41.34,12.91,84.36,721.32,25.36,5.78,474.22,22.67,3.15,522
51.42,6.95,67.82,750.15,19.83,4.24,294.06,18.68,2.65,523
39.72,5.08,52.66,893.09,14.58,5.09,940.27,11.21,4.71,524
21.2,4.06,74.77,937.93,10.62,2.28,132.03,12.67,4.49,525
38.76,7.72,96.71,447.1,16.56,2.63,872.86,28.05,2.9,526
55.71,10.06,86.86,174.48,13.66,2.54,486.36,17.63,4.08,527
33.84,12.79,77.36,603.58,10.25,4.45,439.99,12.34,4.9,528
29.21,6.89,78.61,861.17,27.9,2.51,221.16,11.07,4.39,529
37.37,11.85,58.93,325.11,21.88,3.95,375.89,11.9,4.06,530
28.7,5.04,73.51,239.03,15.96,2.73,333.49,13.96,3.88,531
52.2,11.62,81.63,502.5,26.08,3.46,345.98,14.3,4.32,532
46.03,5.92,82.32,610.77,18.77,3.71,491.95,26.64,5.52,533
38.27,10.83,81.01,121.34,23.28,5.26,177.38,22.28,3.09,534
53.06,3.65,90.38,416.55,14.02,5.16,263.34,20.98,4.41,535
42.07,13.82,56.54,290.24,11.77,2.32,891.04,29.76,5.62,536
54.55,2.76,89.33,678.54,20.63,2.57,334.35,23.65,2.93,537
46.85,10.7,84.6,962.81,22.81,2.07,698.4,15.57,2.15,538
31.62,14.27,94.1,728.47,28.67,4.09,205.94,29.28,5.89,539
41.54,8.42,75.82,332.16,26.86,2.49,632.65,10.5,2.25,540
30.72,13.65,83.69,647.11,13.78,3.42,677.08,27.52,3.14,541
49.12,7.37,97.49,537.42,17.62,5.3,623.01,29.22,4.82,542
39.08,5.62,80.86,323.66,29.67,3.62,309.55,14.18,4.09,543
29.98,9.21,53.86,849.69,15.1,4.14,930.7,22.64,3.32,544
22.11,3.34,59.34,118.37,17.73,3.52,367.45,17.49,3.56,545
34.6,7.29,86.18,626.81,29.11,4.96,801.04,17.54,3.76,546
55.62,8.15,72.45,951.27,17.07,2.67,405.15,27.93,4.46,547
26.44,4.16,54.25,220.41,12.53,4.65,767.49,23.38,4.86,548
36.92,8.46,75.5,907.94,27.33,5.86,699.51,20.78,4.69,549
49.19,14.95,75.92,303.89,17.51,4.0,548.22,14.46,2.46,550
47.09,8.95,82.22,212.96,12.0,4.93,323.62,14.52,5.0,551
57.26,9.38,98.23,941.29,22.64,4.27,642.05,29.64,5.48,552
45.42,8.99,84.83,655.71,28.6,2.38,546.17,26.9,2.13,553
44.55,4.41,73.4,483.91,21.14,3.6,181.22,19.07,3.93,554
40.33,6.1,80.31,576.51,27.27,4.88,232.55,14.95,3.98,555
37.71,13.36,57.72,569.62,14.14,5.34,867.85,14.67,3.34,556
33.23,7.96,99.13,518.96,18.41,5.73,745.63,13.3,2.19,557
48.09,4.78,78.66,178.2,13.98,5.05,223.93,25.73,5.25,558
44.48,13.83,95.87,825.78,29.19,2.45,136.12,11.66,3.9,559
57.85,14.61,57.83,174.18,11.24,3.56,871.46,11.12,3.6,560
42.0,3.49,85.76,629.82,15.61,2.98,553.16,28.74,5.18,561
48.37,14.05,68.51,947.73,12.38,4.66,788.41,17.01,5.35,562
52.07,10.08,76.26,704.51,10.5,3.44,500.57,13.32,5.43,563
57.07,8.33,97.57,852.74,17.29,4.16,675.39,22.04,3.28,564
43.73,11.36,55.76,573.03,26.74,4.85,396.68,24.74,5.51,565
19.58,5.44,62.23,577.09,17.9,5.66,399.83,16.11,4.99,566
28.86,3.16,57.46,553.62,19.99,3.21,713.65,18.64,2.96,567
36.48,11.3,99.49,201.47,21.7,2.82,594.88,28.66,4.24,568
54.5,12.31,80.0,796.04,21.54,5.8,600.99,11.02,3.61,569
38.94,10.58,77.83,736.66,12.18,2.38,290.6,25.56,2.1,570
58.76,10.31,71.46,590.82,15.3,4.21,161.22,12.65,5.29,571
34.37,10.46,78.49,280.49,24.29,2.42,439.71,19.62,3.88,572
31.06,11.75,93.13,394.22,15.38,5.88,152.63,10.47,2.36,573
59.85,5.23,74.94,339.11,28.49,3.0,275.17,16.27,5.78,574
34.12,14.15,53.9,688.4,27.79,5.62,530.99,19.0,3.96,575
59.38,12.11,76.14,336.4,21.83,5.03,272.88,21.07,5.04,576
59.74,6.72,98.5,462.91,27.24,5.63,191.66,16.97,3.56,577
39.55,12.38,58.8,314.01,18.64,4.19,297.52,23.88,5.74,578
37.41,2.95,62.55,919.06,10.13,2.99,571.41,13.79,4.21,579
47.39,9.63,60.98,160.03,12.59,5.42,750.1,13.59,4.05,580
41.6,3.75,67.1,454.32,22.71,5.87,834.57,21.53,5.3,581
28.02,12.45,61.65,439.18,10.89,5.67,125.43,19.32,3.19,582
50.11,12.85,57.01,669.54,25.03,4.01,810.87,13.71,4.26,583
56.65,10.74,75.2,821.37,14.54,4.28,499.39,17.19,2.27,584
32.39,9.26,74.42,131.74,13.12,3.69,792.36,16.69,4.17,585
25.31,9.15,98.86,944.06,15.17,4.84,542.22,23.54,3.4,586
52.98,4.33,54.12,248.57,16.31,2.76,858.77,28.3,3.16,587
45.28,6.02,95.03,845.4,26.43,3.04,512.1,11.52,5.12,588
55.73,11.16,59.75,327.31,23.48,5.57,983.73,17.92,2.67,589
55.64,2.34,71.54,223.05,24.56,5.17,212.01,16.48,4.37,590
58.15,5.28,87.51,771.33,24.05,2.06,850.8,15.2,3.1,591
48.7,14.84,84.47,305.47,25.16,4.23,954.29,21.75,3.0,592
32.16,12.94,95.36,441.58,11.89,4.72,581.88,12.75,3.3,593
41.99,12.42,96.39,870.68,21.94,2.69,826.4,18.23,5.68,594
45.97,4.75,86.02,147.93,23.18,4.72,924.88,10.01,4.9,595
45.16,11.41,51.59,590.06,16.93,3.96,882.41,21.26,4.35,596
41.72,10.65,97.14,515.49,22.68,4.81,417.63,23.43,5.4,597
33.32,14.72,74.73,429.32,13.54,5.04,140.76,20.51,3.92,598
54.66,9.43,51.05,247.55,13.03,5.0,913.07,10.38,4.85,599
26.96,12.75,54.63,582.41,20.44,2.19,416.38,12.48,3.2,600
39.37,7.14,63.11,116.95,29.87,2.3,947.32,12.36,2.71,601
39.84,10.72,55.45,644.09,25.76,5.53,892.4,20.3,5.93,602
35.46,14.37,71.74,208.3,28.7,5.44,781.07,25.82,5.65,603
35.34,12.21,81.52,508.8,28.88,4.84,740.02,26.99,2.35,604
45.04,5.6,51.2,659.43,18.28,4.11,775.14,19.8,4.36,605
52.65,2.09,92.59,123.77,29.05,4.77,139.22,26.1,2.81,606
49.28,8.05,73.86,142.77,14.37,2.95,764.24,27.81,3.97,607
54.35,2.25,62.69,739.59,15.31,3.53,154.91,20.84,3.22,608
57.5,6.14,65.49,990.54,21.03,5.05,596.96,25.5,3.78,609
49.2,11.46,92.83,541.71,15.95,5.98,759.9,26.25,4.75,610
50.15,14.93,73.13,661.89,13.2,2.29,843.21,25.07,3.6,611
28.35,9.64,85.25,465.77,11.52,3.11,962.16,19.78,2.41,612
46.7,14.39,78.01,445.98,16.64,5.85,731.07,30.0,2.4,613
25.87,9.08,95.74,910.88,10.05,4.55,158.77,12.99,5.25,614
44.93,5.09,55.3,745.64,10.22,2.92,244.56,16.53,4.0,615
29.88,5.98,98.0,927.77,15.44,4.86,805.3,24.44,3.53,616
22.25,9.29,66.46,528.76,12.9,3.29,276.28,10.1,3.44,617
34.17,11.09,50.85,297.59,11.01,3.73,752.04,27.6,3.06,618
23.07,7.19,99.76,607.45,17.13,2.94,464.38,15.08,2.52,619
52.09,13.58,68.06,361.6,20.01,2.19,378.14,23.33,4.39,620
52.24,14.65,63.51,994.53,17.82,2.47,259.94,14.64,4.73,621
41.33,5.67,89.11,570.38,15.86,2.04,526.54,22.36,2.85,622
56.35,4.2,63.92,181.18,16.09,3.71,123.23,12.27,5.82,623
23.14,8.97,97.94,957.95,19.25,4.31,534.28,15.41,5.7,624
27.74,9.95,61.03,157.48,13.2,4.32,329.35,26.52,4.66,625
31.56,7.75,60.78,242.98,19.33,3.81,686.12,17.24,3.78,626
53.6,10.2,82.97,904.11,22.95,2.48,830.92,18.18,4.27,627
33.36,5.68,64.16,420.78,11.95,4.94,517.52,21.58,2.45,628
58.55,11.7,80.5,217.4,13.84,5.17,763.6,19.38,2.78,629
35.79,14.87,87.76,505.05,22.43,5.23,269.98,19.7,5.1,630
53.38,2.19,98.74,872.87,29.72,5.38,886.07,15.54,3.3,631
42.15,4.53,89.84,104.5,13.61,3.65,651.55,12.87,5.28,632
59.47,13.71,87.7,254.69,14.35,2.34,876.05,28.15,4.15,633
41.74,8.88,51.38,859.02,21.65,5.46,360.18,19.9,4.62,634
54.4,6.5,61.93,917.67,29.94,5.18,349.92,12.02,3.46,635
38.67,3.58,80.96,620.31,25.25,3.84,364.12,25.98,4.11,636
45.99,2.85,95.42,759.58,15.8,3.18,708.17,24.47,2.59,637
41.71,10.42,84.89,287.01,28.57,3.42,866.96,27.29,2.51,638
49.81,3.59,96.9,459.81,26.15,2.66,973.23,10.41,5.94,639
38.01,4.29,65.54,461.36,29.37,2.2,551.28,10.29,5.01,640
51.87,13.29,87.01,534.77,29.5,4.07,860.83,22.88,2.88,641
39.83,12.37,64.25,707.44,23.02,5.32,203.88,27.41,2.82,642
56.53,12.04,86.39,206.98,23.4,2.9,863.06,26.73,3.18,643
44.72,3.13,50.06,981.44,27.41,3.86,410.8,15.74,5.83,644
51.85,9.79,62.01,428.4,18.89,5.14,533.2,26.5,3.67,645
45.79,11.01,70.79,524.16,24.66,4.04,482.54,17.82,4.56,646
40.79,3.97,79.11,549.92,12.41,4.16,515.7,22.72,3.64,647
55.33,14.11,99.94,256.83,21.56,5.08,458.88,20.36,4.63,648
34.13,5.32,84.13,128.02,20.83,2.08,738.07,14.36,4.88,649
34.07,14.32,72.14,204.78,20.54,3.63,876.74,26.83,4.34,650
41.8,12.67,55.92,374.68,18.8,3.89,423.34,16.03,3.02,651
40.75,14.55,69.56,932.07,18.94,5.49,129.63,22.12,2.83,652
40.66,3.55,55.57,693.72,12.62,4.41,620.08,19.53,5.58,653
43.72,10.28,94.14,403.19,24.19,4.08,445.03,13.01,5.17,654
40.49,13.31,64.74,758.0,11.35,5.51,932.62,27.07,4.31,655
32.98,6.56,58.56,956.08,24.62,5.93,216.37,23.5,5.76,656
38.39,12.18,50.4,783.56,19.07,4.93,336.9,15.84,2.02,657
54.97,2.53,76.92,747.05,25.54,5.74,163.64,28.99,4.18,658
59.14,3.41,53.44,268.22,28.27,4.6,368.77,16.55,2.21,659
49.35,3.33,52.2,768.67,25.24,2.04,597.53,27.78,5.15,660
41.09,2.4,68.31,142.01,25.34,4.42,968.52,29.84,2.86,661
54.28,11.22,97.37,898.86,29.65,3.84,300.8,14.85,5.88,662
47.69,11.17,89.14,600.75,18.02,2.43,920.33,20.49,2.01,663
