pitch,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
25.21,275.78,10.15,2.97,657
20.06,960.25,18.53,2.6,658
23.0,610.42,12.74,4.88,659
34.73,607.42,24.98,5.59,660
40.47,534.89,13.12,5.77,661
46.84,311.05,11.67,5.29,662
37.68,284.24,17.58,3.41,663
46.97,792.51,21.44,2.48,664
28.81,158.77,27.48,2.16,665
34.49,810.53,26.35,5.33,666
33.48,579.86,16.04,2.82,667
31.11,363.69,27.35,5.57,668
48.83,976.64,17.85,2.99,669
40.81,191.78,17.23,4.89,670
53.02,525.42,17.17,2.02,671
55.18,467.35,13.23,2.77,672
53.59,850.8,17.74,5.78,673
36.21,577.5,10.1,5.23,674
46.81,944.06,14.66,3.09,675
58.69,411.81,29.1,3.69,676
57.01,511.47,26.83,2.78,677
56.23,203.35,26.67,2.07,678
18.88,548.11,15.17,3.32,679
52.02,853.03,12.42,5.83,680
24.09,764.38,20.05,4.97,681
25.98,824.51,18.67,3.76,682
43.98,775.97,13.56,3.27,683
26.69,207.61,16.24,4.02,684
38.42,506.71,13.94,6.0,685
56.57,399.69,10.67,5.46,686
44.32,359.73,21.5,5.04,687
25.89,616.21,24.61,3.44,688
13.8,229.63,11.55,2.87,689
52.97,693.06,27.71,5.03,690
58.57,421.43,24.84,3.97,691
22.35,124.42,19.67,4.4,692
46.03,112.56,29.14,5.97,693
51.78,874.64,17.46,5.58,694
55.04,956.87,26.61,5.61,695
31.35,786.32,24.93,3.9,696
32.18,719.98,20.34,3.73,697
33.77,138.75,25.82,5.97,698
50.18,623.2,21.78,2.87,699
