pitch,r_tsv,h_tsv,dut_index
54.15,2.14,53.18,432
57.31,14.78,69.21,433
46.65,11.36,84.64,434
39.03,6.3,96.08,435
19.72,4.0,67.1,436
58.94,7.48,97.76,437
40.65,6.24,65.15,438
43.82,2.71,88.52,439
35.27,10.19,89.47,440
58.53,9.61,58.13,441
55.83,13.29,70.34,442
55.98,14.56,50.33,443
36.21,11.78,84.55,444
27.5,12.89,73.95,445
19.3,7.9,65.71,446
40.3,8.08,71.06,447
15.7,4.09,62.84,448
53.92,11.31,76.78,449
40.68,13.99,86.03,450
33.21,14.86,70.57,451
51.53,6.34,90.11,452
57.4,8.01,60.98,453
18.71,6.17,66.96,454
39.42,6.42,83.47,455
44.51,11.57,79.14,456
59.17,3.9,89.25,457
36.78,8.82,69.4,458
52.56,3.28,54.07,459
29.25,14.02,53.87,460
18.19,6.71,85.72,461
56.72,8.04,64.73,462
48.07,12.79,72.04,463
46.26,8.86,56.91,464
43.33,3.46,96.25,465
38.26,10.26,92.18,466
30.1,2.45,54.82,467
32.76,6.04,79.84,468
42.08,2.42,61.01,469
54.13,11.19,86.92,470
39.89,4.4,87.49,471
27.65,9.57,92.1,472
17.28,2.56,78.13,473
47.57,10.23,82.16,474
57.36,7.0,66.15,475
55.62,10.99,82.12,476
47.84,10.17,92.74,477
36.42,3.79,60.39,478
27.99,4.41,80.43,479
36.04,11.4,67.68,480
39.67,7.09,60.14,481
21.8,6.58,51.36,482
28.33,12.12,69.57,483
57.29,5.02,97.67,484
28.51,5.03,81.34,485
44.75,9.88,99.96,486
32.41,3.53,99.31,487
34.08,11.82,51.8,488
16.65,2.32,85.77,489
35.68,13.89,55.34,490
36.08,9.67,96.58,491
38.38,6.57,69.96,492
18.21,7.76,74.22,493
30.15,11.22,55.62,494
52.59,10.59,72.84,495
7.95,2.94,85.55,496
28.38,13.65,59.4,497
30.68,7.51,95.07,498
39.94,9.06,89.96,499
10.29,2.01,73.73,500
17.65,4.78,85.06,501
22.8,8.79,72.63,502
28.65,13.38,54.6,503
44.2,8.15,84.95,504
39.13,13.68,87.87,505
57.76,5.69,58.57,506
30.12,14.03,54.73,507
56.16,9.37,62.5,508
39.8,5.76,58.94,509
54.38,12.74,75.7,510
39.2,14.32,79.46,511
51.66,12.86,95.87,512
33.76,7.37,51.74,513
44.35,10.96,98.72,514
52.06,12.61,98.34,515
19.44,2.82,81.11,516
24.92,3.02,65.01,517
55.93,7.54,81.73,518
28.62,13.56,54.34,519
22.97,7.75,60.0,520
37.17,3.2,74.74,521
56.27,6.45,56.6,522
59.92,13.22,89.59,523
12.89,4.91,78.27,524
27.06,10.09,81.62,525
21.94,2.18,93.23,526
41.33,12.57,87.08,527
46.02,7.57,95.29,528
55.91,10.84,85.24,529
33.3,3.08,81.85,530
48.7,2.9,66.58,531
45.88,3.38,75.17,532
9.5,2.21,93.64,533
37.81,7.7,50.73,534
48.22,9.33,80.03,535
25.86,8.96,87.98,536
39.42,3.93,77.66,537
31.16,13.34,91.26,538
47.73,6.55,80.97,539
59.63,10.01,68.24,540
15.59,5.79,65.38,541
28.3,8.3,95.62,542
34.54,5.93,65.53,543
44.28,5.54,99.6,544
39.07,14.51,62.03,545
31.87,10.52,86.25,546
30.54,7.88,91.13,547
58.24,12.32,84.49,548
49.78,9.73,96.28,549
32.02,12.77,76.98,550
13.69,5.44,99.11,551
45.82,9.25,91.42,552
23.37,6.1,61.97,553
28.58,7.62,63.85,554
52.48,12.68,78.72,555
45.3,11.48,73.16,556
52.46,14.7,86.61,557
25.15,10.15,77.41,558
50.73,13.46,70.64,559
53.48,11.53,82.25,560
51.74,5.47,91.9,561
53.55,8.35,58.78,562
51.74,4.26,62.26,563
39.7,8.6,71.72,564
44.13,8.84,61.28,565
49.79,2.49,60.62,566
38.34,12.95,86.4,567
28.96,13.6,56.63,568
50.78,11.95,55.15,569
28.07,11.89,50.91,570
24.03,3.84,84.12,571
46.55,10.12,88.31,572
20.43,6.83,71.4,573
20.63,8.18,69.37,574
30.14,6.47,58.44,575
33.01,3.06,91.74,576
21.01,3.69,76.39,577
25.71,7.33,88.22,578
34.12,5.84,61.42,579
47.77,12.56,95.69,580
49.02,12.15,54.4,581
33.66,11.09,53.04,582
14.75,5.82,71.24,583
52.85,14.26,57.48,584
18.62,8.58,68.32,585
50.39,12.48,75.84,586
39.97,6.97,57.27,587
57.17,12.84,99.65,588
33.64,11.79,51.22,589
31.07,6.65,52.37,590
24.07,4.85,88.87,591
22.66,6.81,82.86,592
48.37,9.01,71.8,593
46.34,6.62,53.7,594
59.38,8.38,90.2,595
20.29,7.34,73.3,596
33.48,13.05,69.03,597
13.21,2.06,67.53,598
27.38,6.37,65.27,599
59.1,8.74,74.77,600
43.49,14.65,91.83,601
55.71,5.48,83.88,602
53.15,14.76,59.6,603
23.39,5.38,77.8,604
35.65,10.03,74.3,605
44.62,12.09,80.2,606
51.11,7.68,89.27,607
36.29,8.63,76.02,608
29.58,11.86,55.07,609
29.79,3.26,90.45,610
55.3,13.26,94.28,611
18.28,7.62,74.97,612
28.04,4.96,80.84,613
54.56,6.93,68.79,614
58.81,7.15,60.28,615
49.18,9.66,88.63,616
35.83,4.82,97.37,617
35.2,5.56,65.98,618
38.9,11.02,91.06,619
29.97,3.8,94.17,620
33.41,9.25,92.9,621
33.15,4.51,52.81,622
18.29,5.39,66.8,623
37.87,6.51,74.03,624
44.37,10.85,83.01,625
58.41,3.57,70.99,626
43.86,13.9,81.2,627
28.25,10.63,79.06,628
35.35,13.14,71.3,629
42.18,10.32,83.37,630
48.72,8.48,70.19,631
59.84,5.94,92.47,632
49.45,4.12,98.6,633
34.82,11.62,79.96,634
54.46,8.41,66.72,635
49.68,14.95,59.75,636
19.22,2.34,56.38,637
54.77,11.75,62.21,638
47.33,8.69,59.87,639
46.59,12.65,90.68,640
39.98,14.61,77.26,641
44.58,12.97,78.45,642
57.8,14.61,98.78,643
29.19,13.01,90.94,644
25.44,7.06,75.91,645
24.21,10.67,92.55,646
20.47,8.25,51.44,647
38.99,12.44,95.97,648
52.38,5.23,62.72,649
52.28,11.35,67.48,650
12.44,2.77,92.35,651
42.8,13.42,57.78,652
46.37,2.85,95.46,653
50.23,13.49,84.76,654
36.01,9.47,51.01,655
34.07,7.4,89.08,656
37.93,9.74,75.26,657
29.61,3.23,85.46,658
27.64,12.07,96.87,659
20.33,9.49,56.83,660
55.84,9.17,85.93,661
44.49,7.22,66.49,662
33.59,13.73,82.69,663
28.76,11.51,79.61,664
55.59,3.32,59.18,665
27.82,3.63,68.91,666
28.69,7.82,93.86,667
49.9,12.41,89.79,668
44.19,9.99,83.71,669
42.73,12.26,52.57,670
24.35,5.1,69.73,671
44.45,4.35,94.97,672
50.38,5.6,66.07,673
44.98,9.55,84.27,674
20.65,7.97,97.21,675
44.61,8.89,50.1,676
31.33,5.64,53.35,677
37.05,14.14,78.87,678
57.76,13.77,83.55,679
51.73,10.78,50.78,680
57.58,10.73,79.26,681
41.26,5.28,55.39,682
36.92,2.24,97.56,683
24.65,5.19,64.95,684
55.71,10.93,62.97,685
56.82,6.22,86.86,686
36.79,14.93,93.08,687
28.75,9.14,67.84,688
43.56,14.37,73.01,689
13.93,5.06,98.39,690
57.44,9.91,87.3,691
43.12,9.77,78.11,692
20.93,3.97,55.81,693
16.85,7.2,81.48,694
59.54,10.45,72.19,695
15.52,2.67,94.12,696
51.27,11.43,92.87,697
46.39,9.19,51.52,698
41.26,11.6,59.26,699
