[train / TSV_RDL - Task 2] result exists, skipped.
[test / TSV_RDL - Task 162] result exists, skipped.
[test / TSV_RDL - Task 164] result exists, skipped.
[test / TSV_RDL - Task 167] result exists, skipped.
[test / TSV_RDL - Task 169] result exists, skipped.
[test / TSV_RDL - Task 171] simulation started.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Initializing new Desktop session.
PyAEDT INFO: AEDT version 2026.1.
[train / TSV_RDL - Task 0] result exists, skipped.
[train / TSV_RDL - Task 3] result exists, skipped.
[train / TSV_RDL - Task 5] result exists, skipped.
[train / TSV_RDL - Task 8] result exists, skipped.
[train / TSV_RDL - Task 11] result exists, skipped.
[train / TSV_RDL - Task 14] result exists, skipped.
[train / TSV_RDL - Task 17] result exists, skipped.
[train / TSV_RDL - Task 20] result exists, skipped.
[train / TSV_RDL - Task 23] result exists, skipped.
[train / TSV_RDL - Task 26] result exists, skipped.
[train / TSV_RDL - Task 29] result exists, skipped.
[train / TSV_RDL - Task 32] result exists, skipped.
[train / TSV_RDL - Task 35] result exists, skipped.
[train / TSV_RDL - Task 38] result exists, skipped.
[train / TSV_RDL - Task 41] result exists, skipped.
[train / TSV_RDL - Task 44] result exists, skipped.
[train / TSV_RDL - Task 46] result exists, skipped.
[train / TSV_RDL - Task 50] result exists, skipped.
[train / TSV_RDL - Task 53] result exists, skipped.
[train / TSV_RDL - Task 56] result exists, skipped.
[train / TSV_RDL - Task 59] result exists, skipped.
[train / TSV_RDL - Task 61] result exists, skipped.
[train / TSV_RDL - Task 64] result exists, skipped.
[train / TSV_RDL - Task 67] result exists, skipped.
[train / TSV_RDL - Task 70] result exists, skipped.
[train / TSV_RDL - Task 73] result exists, skipped.
[train / TSV_RDL - Task 76] result exists, skipped.
[train / TSV_RDL - Task 79] result exists, skipped.
[train / TSV_RDL - Task 82] result exists, skipped.
[train / TSV_RDL - Task 85] result exists, skipped.
[train / TSV_RDL - Task 88] result exists, skipped.
[train / TSV_RDL - Task 90] result exists, skipped.
[train / TSV_RDL - Task 92] result exists, skipped.
[train / TSV_RDL - Task 94] result exists, skipped.
[train / TSV_RDL - Task 96] result exists, skipped.
[train / TSV_RDL - Task 98] result exists, skipped.
[train / TSV_RDL - Task 100] result exists, skipped.
[train / TSV_RDL - Task 102] result exists, skipped.
[train / TSV_RDL - Task 104] result exists, skipped.
[train / TSV_RDL - Task 106] result exists, skipped.
[train / TSV_RDL - Task 108] result exists, skipped.
[train / TSV_RDL - Task 110] result exists, skipped.
[train / TSV_RDL - Task 112] result exists, skipped.
[train / TSV_RDL - Task 114] result exists, skipped.
[train / TSV_RDL - Task 116] result exists, skipped.
[train / TSV_RDL - Task 118] result exists, skipped.
[train / TSV_RDL - Task 120] result exists, skipped.
[train / TSV_RDL - Task 122] result exists, skipped.
[train / TSV_RDL - Task 124] result exists, skipped.
[train / TSV_RDL - Task 126] result exists, skipped.
[train / TSV_RDL - Task 128] result exists, skipped.
[train / TSV_RDL - Task 130] result exists, skipped.
[train / TSV_RDL - Task 132] result exists, skipped.
[train / TSV_RDL - Task 134] result exists, skipped.
[train / TSV_RDL - Task 136] result exists, skipped.
[train / TSV_RDL - Task 138] result exists, skipped.
[train / TSV_RDL - Task 140] result exists, skipped.
[train / TSV_RDL - Task 142] result exists, skipped.
[train / TSV_RDL - Task 144] result exists, skipped.
[train / TSV_RDL - Task 146] result exists, skipped.
[train / TSV_RDL - Task 147] result exists, skipped.
[train / TSV_RDL - Task 149] result exists, skipped.
[test / TSV_RDL - Task 151] result exists, skipped.
[test / TSV_RDL - Task 153] result exists, skipped.
[test / TSV_RDL - Task 155] result exists, skipped.
[test / TSV_RDL - Task 157] result exists, skipped.
[test / TSV_RDL - Task 159] result exists, skipped.
[test / TSV_RDL - Task 161] result exists, skipped.
[test / TSV_RDL - Task 163] result exists, skipped.
[test / TSV_RDL - Task 165] result exists, skipped.
[test / TSV_RDL - Task 166] result exists, skipped.
[test / TSV_RDL - Task 168] result exists, skipped.
[test / TSV_RDL - Task 170] result exists, skipped.
[test / TSV_RDL - Task 172] result exists, skipped.
[test / TSV_RDL - Task 173] result exists, skipped.
[test / TSV_RDL - Task 174] result exists, skipped.
[test / TSV_RDL - Task 175] simulation started.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Initializing new Desktop session.
PyAEDT INFO: AEDT version 2026.1.
PyAEDT INFO: New AEDT session is starting on gRPC port 3905.
PyAEDT INFO: New AEDT session is starting on gRPC port 3904.
PyAEDT INFO: New AEDT session is starting on gRPC port 3903.
PyAEDT INFO: Starting new AEDT gRPC session on port 3905.
PyAEDT INFO: Launching AEDT server with gRPC transport mode: TransportMode.WNUA
PyAEDT INFO: Starting new AEDT gRPC session on port 3904.
PyAEDT INFO: Launching AEDT server with gRPC transport mode: TransportMode.WNUA
PyAEDT INFO: Starting new AEDT gRPC session on port 3903.
PyAEDT INFO: Launching AEDT server with gRPC transport mode: TransportMode.WNUA
PyAEDT INFO: Electronics Desktop started on gRPC port 3905 after 10.7 seconds.
PyAEDT INFO: AEDT installation Path C:\Program Files\ANSYS Inc\v261\AnsysEM
PyAEDT INFO: Electronics Desktop started on gRPC port 3904 after 10.8 seconds.
PyAEDT INFO: AEDT installation Path C:\Program Files\ANSYS Inc\v261\AnsysEM
PyAEDT INFO: Electronics Desktop started on gRPC port 3903 after 10.7 seconds.
PyAEDT INFO: AEDT installation Path C:\Program Files\ANSYS Inc\v261\AnsysEM
PyAEDT INFO: Connected to AEDT gRPC session on port 3905.
PyAEDT INFO: Connected to AEDT gRPC session on port 3904.
PyAEDT INFO: Non-graphical mode detected. Disabling Desktop logs.
PyAEDT INFO: Non-graphical mode detected. Disabling Desktop logs.
PyAEDT INFO: Connected to AEDT gRPC session on port 3903.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: Parsing C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_175_1783473852_48356.aedt.
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: Non-graphical mode detected. Disabling Desktop logs.
PyAEDT INFO: Parsing C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_171_1783473852_33644.aedt.
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Returning found Desktop session with PID 8168!
PyAEDT INFO: Returning found Desktop session with PID 41988!
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: Parsing C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_train_TSV_RDL_87_1783473852_46308.aedt.
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Returning found Desktop session with PID 43608!
PyAEDT INFO: File C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_175_1783473852_48356.aedt correctly loaded. Elapsed time: 0m 0sec
PyAEDT INFO: File C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_171_1783473852_33644.aedt correctly loaded. Elapsed time: 0m 0sec
PyAEDT INFO: File C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_train_TSV_RDL_87_1783473852_46308.aedt correctly loaded. Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_175_1783473852_48356 has been opened.
PyAEDT INFO: Project temp_test_TSV_RDL_171_1783473852_33644 has been opened.
PyAEDT INFO: Project temp_train_TSV_RDL_87_1783473852_46308 has been opened.
PyAEDT INFO: Active Design set to TSV_RDL
PyAEDT INFO: Active Design set to TSV_RDL
PyAEDT INFO: Active Design set to TSV_RDL
PyAEDT INFO: AEDT objects correctly read
PyAEDT INFO: AEDT objects correctly read
PyAEDT INFO: AEDT objects correctly read
PyAEDT INFO: Modeler class has been initialized! Elapsed time: 0m 0sec
PyAEDT INFO: Modeler class has been initialized! Elapsed time: 0m 0sec
PyAEDT INFO: Modeler class has been initialized! Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_175_1783473852_48356 Saved correctly
PyAEDT INFO: Project temp_test_TSV_RDL_171_1783473852_33644 Saved correctly
PyAEDT INFO: Project temp_train_TSV_RDL_87_1783473852_46308 Saved correctly
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Solving all design setups. Analysis started...
PyAEDT INFO: Design setup None solved correctly in 0.0h 11.0m 42.0s
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Exporting Touchstone C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_175_1783473852_48356_SNP/temp_test_TSV_RDL_175_1783473852_48356.s2p
PyAEDT INFO: Touchstone correctly exported to C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_175_1783473852_48356_SNP/temp_test_TSV_RDL_175_1783473852_48356.s2p
[test / TSV_RDL - Task 175] simulation completed: C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\test\TSV_RDL\dut175.s2p
PyAEDT INFO: Desktop has been released and closed.
[test / TSV_RDL - Task 176] simulation started.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Initializing new Desktop session.
PyAEDT INFO: AEDT version 2026.1.
PyAEDT INFO: New AEDT session is starting on gRPC port 5674.
PyAEDT INFO: Starting new AEDT gRPC session on port 5674.
PyAEDT INFO: Launching AEDT server with gRPC transport mode: TransportMode.WNUA
PyAEDT INFO: Electronics Desktop started on gRPC port 5674 after 7.4 seconds.
PyAEDT INFO: AEDT installation Path C:\Program Files\ANSYS Inc\v261\AnsysEM
PyAEDT INFO: Connected to AEDT gRPC session on port 5674.
PyAEDT INFO: Non-graphical mode detected. Disabling Desktop logs.
PyAEDT INFO: Parsing C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_176_1783474584_48356.aedt.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Returning found Desktop session with PID 40572!
PyAEDT INFO: File C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_176_1783474584_48356.aedt correctly loaded. Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_176_1783474584_48356 has been opened.
PyAEDT INFO: Active Design set to TSV_RDL
PyAEDT INFO: AEDT objects correctly read
PyAEDT INFO: Modeler class has been initialized! Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_176_1783474584_48356 Saved correctly
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Solving all design setups. Analysis started...
PyAEDT INFO: Design setup None solved correctly in 0.0h 10.0m 44.0s
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Exporting Touchstone C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_176_1783474584_48356_SNP/temp_test_TSV_RDL_176_1783474584_48356.s2p
PyAEDT INFO: Touchstone correctly exported to C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_176_1783474584_48356_SNP/temp_test_TSV_RDL_176_1783474584_48356.s2p
[test / TSV_RDL - Task 176] simulation completed: C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\test\TSV_RDL\dut176.s2p
PyAEDT INFO: Desktop has been released and closed.
[test / TSV_RDL - Task 177] simulation started.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Initializing new Desktop session.
PyAEDT INFO: AEDT version 2026.1.
PyAEDT INFO: New AEDT session is starting on gRPC port 12969.
PyAEDT INFO: Starting new AEDT gRPC session on port 12969.
PyAEDT INFO: Launching AEDT server with gRPC transport mode: TransportMode.WNUA
PyAEDT INFO: Electronics Desktop started on gRPC port 12969 after 7.3 seconds.
PyAEDT INFO: AEDT installation Path C:\Program Files\ANSYS Inc\v261\AnsysEM
PyAEDT INFO: Connected to AEDT gRPC session on port 12969.
PyAEDT INFO: Non-graphical mode detected. Disabling Desktop logs.
PyAEDT INFO: Parsing C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_177_1783475254_48356.aedt.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Returning found Desktop session with PID 48528!
PyAEDT INFO: File C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_177_1783475254_48356.aedt correctly loaded. Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_177_1783475254_48356 has been opened.
PyAEDT INFO: Active Design set to TSV_RDL
PyAEDT INFO: AEDT objects correctly read
PyAEDT INFO: Modeler class has been initialized! Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_177_1783475254_48356 Saved correctly
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Solving all design setups. Analysis started...
PyAEDT INFO: Design setup None solved correctly in 0.0h 26.0m 43.0s
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Exporting Touchstone C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_train_TSV_RDL_87_1783473852_46308_SNP/temp_train_TSV_RDL_87_1783473852_46308.s2p
PyAEDT INFO: Touchstone correctly exported to C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_train_TSV_RDL_87_1783473852_46308_SNP/temp_train_TSV_RDL_87_1783473852_46308.s2p
[train / TSV_RDL - Task 87] simulation completed: C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\train\TSV_RDL\dut87.s2p
PyAEDT INFO: Desktop has been released and closed.
[test / TSV_RDL - Task 178] simulation started.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Initializing new Desktop session.
PyAEDT INFO: AEDT version 2026.1.
PyAEDT INFO: New AEDT session is starting on gRPC port 8841.
PyAEDT INFO: Starting new AEDT gRPC session on port 8841.
PyAEDT INFO: Launching AEDT server with gRPC transport mode: TransportMode.WNUA
PyAEDT INFO: Electronics Desktop started on gRPC port 8841 after 6.0 seconds.
PyAEDT INFO: AEDT installation Path C:\Program Files\ANSYS Inc\v261\AnsysEM
PyAEDT INFO: Connected to AEDT gRPC session on port 8841.
PyAEDT INFO: Non-graphical mode detected. Disabling Desktop logs.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: Parsing C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_178_1783475478_46308.aedt.
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Returning found Desktop session with PID 54296!
PyAEDT INFO: File C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_178_1783475478_46308.aedt correctly loaded. Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_178_1783475478_46308 has been opened.
PyAEDT INFO: Active Design set to TSV_RDL
PyAEDT INFO: AEDT objects correctly read
PyAEDT INFO: Modeler class has been initialized! Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_178_1783475478_46308 Saved correctly
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Solving all design setups. Analysis started...
PyAEDT INFO: Design setup None solved correctly in 0.0h 32.0m 42.0s
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Exporting Touchstone C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_171_1783473852_33644_SNP/temp_test_TSV_RDL_171_1783473852_33644.s2p
PyAEDT INFO: Touchstone correctly exported to C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_171_1783473852_33644_SNP/temp_test_TSV_RDL_171_1783473852_33644.s2p
[test / TSV_RDL - Task 171] simulation completed: C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\test\TSV_RDL\dut171.s2p
PyAEDT INFO: Desktop has been released and closed.
[test / TSV_RDL - Task 179] simulation started.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Initializing new Desktop session.
PyAEDT INFO: AEDT version 2026.1.
PyAEDT INFO: New AEDT session is starting on gRPC port 1872.
PyAEDT INFO: Starting new AEDT gRPC session on port 1872.
PyAEDT INFO: Launching AEDT server with gRPC transport mode: TransportMode.WNUA
PyAEDT INFO: Electronics Desktop started on gRPC port 1872 after 6.1 seconds.
PyAEDT INFO: AEDT installation Path C:\Program Files\ANSYS Inc\v261\AnsysEM
PyAEDT INFO: Connected to AEDT gRPC session on port 1872.
PyAEDT INFO: Non-graphical mode detected. Disabling Desktop logs.
PyAEDT INFO: Parsing C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_179_1783475844_33644.aedt.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Returning found Desktop session with PID 25292!
PyAEDT INFO: File C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_179_1783475844_33644.aedt correctly loaded. Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_179_1783475844_33644 has been opened.
PyAEDT INFO: Active Design set to TSV_RDL
PyAEDT INFO: AEDT objects correctly read
PyAEDT INFO: Modeler class has been initialized! Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_179_1783475844_33644 Saved correctly
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Solving all design setups. Analysis started...
PyAEDT INFO: Design setup None solved correctly in 0.0h 12.0m 29.0s
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Exporting Touchstone C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_177_1783475254_48356_SNP/temp_test_TSV_RDL_177_1783475254_48356.s2p
PyAEDT INFO: Touchstone correctly exported to C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_177_1783475254_48356_SNP/temp_test_TSV_RDL_177_1783475254_48356.s2p
[test / TSV_RDL - Task 177] simulation completed: C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS150_50_Connection2\test\TSV_RDL\dut177.s2p
PyAEDT INFO: Desktop has been released and closed.
[test / TSV_RDL - Task 180] simulation started.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Initializing new Desktop session.
PyAEDT INFO: AEDT version 2026.1.
PyAEDT INFO: New AEDT session is starting on gRPC port 6469.
PyAEDT INFO: Starting new AEDT gRPC session on port 6469.
PyAEDT INFO: Launching AEDT server with gRPC transport mode: TransportMode.WNUA
PyAEDT INFO: Electronics Desktop started on gRPC port 6469 after 4.4 seconds.
PyAEDT INFO: AEDT installation Path C:\Program Files\ANSYS Inc\v261\AnsysEM
PyAEDT INFO: Connected to AEDT gRPC session on port 6469.
PyAEDT INFO: Non-graphical mode detected. Disabling Desktop logs.
PyAEDT INFO: Python version 3.11.15 | packaged by Anaconda, Inc. | (main, Mar 11 2026, 17:12:15) [MSC v.1942 64 bit (AMD64)].
PyAEDT INFO: Parsing C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_180_1783476023_48356.aedt.
PyAEDT INFO: PyAEDT version 1.0.1.
PyAEDT INFO: Returning found Desktop session with PID 26184!
PyAEDT INFO: File C:\ffzhzh\LocalFiles\Ansys_Project_Files\temp_test_TSV_RDL_180_1783476023_48356.aedt correctly loaded. Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_180_1783476023_48356 has been opened.
PyAEDT INFO: Active Design set to TSV_RDL
PyAEDT INFO: AEDT objects correctly read
PyAEDT INFO: Modeler class has been initialized! Elapsed time: 0m 0sec
PyAEDT INFO: Project temp_test_TSV_RDL_180_1783476023_48356 Saved correctly
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Solving all design setups. Analysis started...
PyAEDT INFO: Design setup None solved correctly in 0.0h 13.0m 60.0s
PyAEDT INFO: Key Desktop/ActiveDSOConfigurations/HFSS correctly changed.
PyAEDT INFO: Exporting Touchstone C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_178_1783475478_46308_SNP/temp_test_TSV_RDL_178_1783475478_46308.s2p
PyAEDT INFO: Touchstone correctly exported to C:/ffzhzh/LocalFiles/Ansys_Project_Files/temp_test_TSV_RDL_178_1783475478_46308_SNP/temp_test_TSV_RDL_178_1783475478_46308.s2p
