h_tsv,r_tsv,pitch,l_tmrdl,w_tmrdl,t_tmrdl,l_bsmrdl,w_bsmrdl,t_bsmrdl,dut_index
63.64,6.51,51.29,459.31,17.59,3.8,696.46,12.43,2.73,24
82.86,10.61,40.88,409.74,24.94,4.43,200.43,14.98,2.91,25
91.32,14.66,48.45,639.53,24.06,4.31,164.71,11.61,3.65,26
88.29,14.24,45.37,697.82,20.37,4.99,338.0,16.71,4.89,27
68.96,10.47,58.72,113.37,16.33,4.35,482.46,14.58,3.68,28
77.04,7.53,46.09,207.15,15.92,2.17,573.72,23.24,2.49,29
66.47,6.17,53.36,350.56,22.33,3.81,275.13,28.86,4.41,30
62.82,10.91,45.64,289.31,26.39,3.77,169.61,19.26,4.3,31
95.53,5.39,55.62,287.71,29.34,3.39,645.23,24.39,4.23,32
72.94,9.17,55.48,127.64,23.82,4.47,161.9,26.86,3.25,33
90.5,12.13,58.33,535.1,24.34,2.34,686.06,19.64,4.08,34
92.84,12.11,41.88,264.26,27.57,3.72,301.6,26.36,3.8,35
66.01,11.64,50.47,236.39,27.1,4.58,656.96,23.4,4.56,36
65.69,8.84,59.78,488.39,26.56,3.19,619.38,21.69,2.51,37
84.33,6.58,44.61,240.85,29.25,2.58,666.16,14.47,2.47,38
61.82,12.58,41.02,558.43,14.3,4.38,387.14,25.05,4.86,39
62.28,8.35,51.91,224.13,26.17,3.08,655.86,13.7,2.35,40
64.71,12.38,42.76,642.94,17.99,3.56,689.14,16.43,2.66,41
53.01,7.65,46.49,494.75,28.96,4.44,606.76,16.58,3.98,42
78.75,8.51,56.3,466.65,26.71,3.36,577.1,19.88,2.41,43
54.56,13.36,47.32,293.27,25.11,3.91,108.05,18.33,4.3,44
97.0,5.81,44.35,656.42,18.73,2.02,467.16,25.39,3.66,45
56.93,6.82,41.64,595.61,11.64,4.89,468.35,20.08,4.68,46
51.64,5.76,41.18,347.18,19.14,2.81,261.54,21.24,2.74,47
97.79,9.53,57.05,470.23,16.82,2.73,426.98,10.59,4.74,48
94.62,9.24,54.82,579.25,23.87,4.63,498.62,29.84,4.1,49
85.24,6.33,58.53,584.02,27.65,4.98,351.14,10.74,4.03,50
55.98,7.49,49.43,513.91,21.33,2.35,266.76,19.84,3.82,51
50.14,5.95,48.38,253.4,22.74,4.19,621.46,22.22,3.16,52
81.57,8.75,58.06,477.93,18.12,2.49,248.56,18.03,3.85,53
57.74,14.0,56.21,245.39,27.22,4.08,217.24,12.09,4.76,54
64.26,11.7,56.93,436.39,25.91,2.63,363.62,13.92,3.77,55
70.4,13.44,47.63,690.35,24.19,4.04,505.62,24.52,2.14,56
72.25,14.82,49.98,545.37,16.63,3.21,205.54,26.78,2.03,57
59.84,10.98,55.2,232.0,11.4,4.9,456.11,24.07,4.81,58
84.68,5.92,55.4,154.07,22.95,3.74,661.05,15.79,4.12,59
55.14,7.74,47.16,324.57,25.3,2.41,580.94,28.1,3.18,60
72.66,13.17,48.74,310.62,22.61,3.12,413.92,25.57,2.31,61
98.61,12.0,58.83,316.38,19.68,3.25,299.53,22.69,2.27,62
60.62,13.62,57.97,374.55,12.85,4.07,120.05,10.03,2.86,63
63.03,5.45,42.49,597.83,19.75,2.05,309.68,26.42,4.36,64
85.69,5.32,53.69,480.54,27.05,2.01,136.49,18.46,2.78,65
98.13,6.31,45.12,339.12,26.91,3.61,366.84,13.21,4.06,66
87.35,5.56,54.08,607.57,22.16,4.15,430.23,23.98,4.33,67
99.01,7.03,46.85,506.74,21.83,4.41,373.09,20.85,3.39,68
52.82,10.45,44.13,553.22,18.49,4.59,643.22,19.0,4.14,69
62.42,14.8,48.15,396.73,15.57,3.05,492.63,27.91,3.34,70
83.87,5.53,51.45,104.28,20.92,4.86,359.14,12.91,2.09,71
68.58,10.38,57.7,334.66,24.47,2.14,343.82,14.69,3.91,72
94.77,7.13,52.18,194.11,11.58,3.5,560.17,10.92,2.85,73
88.53,6.0,42.37,527.32,17.03,2.79,286.86,29.31,2.39,74
89.13,12.61,54.99,213.34,23.3,2.47,568.02,15.67,2.38,75
58.87,12.05,45.84,417.85,11.99,3.16,629.23,27.38,3.7,76
67.64,14.41,57.8,388.66,29.78,2.37,478.35,12.23,2.88,77
97.33,11.44,41.8,358.93,15.85,4.26,154.64,20.35,3.49,78
61.12,8.62,52.51,274.6,10.25,2.1,226.91,17.86,2.2,79
73.93,10.04,49.17,111.2,17.18,3.44,463.3,24.64,3.87,80
98.67,12.49,45.9,661.06,13.98,4.66,268.21,12.73,2.98,81
70.7,7.42,42.62,563.64,20.63,4.01,148.19,23.68,4.0,82
74.63,14.39,49.55,500.21,16.08,3.93,231.39,25.11,2.59,83
93.57,6.75,57.56,530.68,14.81,3.84,325.99,11.07,3.26,84
56.14,10.83,53.98,165.38,28.23,3.02,411.04,13.34,2.54,85
73.08,9.89,48.11,693.72,14.97,2.84,382.43,27.5,4.65,86
87.2,11.1,53.55,565.43,18.14,3.48,566.52,21.12,3.75,87
85.61,12.47,40.27,251.26,20.01,2.08,289.77,17.53,3.05,88
76.53,14.6,57.11,452.38,21.13,4.18,403.51,28.69,3.9,89
71.12,13.1,55.3,377.96,28.78,3.97,673.14,11.5,3.08,90
76.25,8.43,46.79,430.77,13.31,2.45,491.03,28.27,2.92,91
81.78,10.58,40.66,381.7,23.69,4.48,245.22,13.09,3.13,92
94.11,11.36,50.72,442.06,16.14,2.61,671.6,13.51,3.43,93
92.37,11.76,52.79,330.58,17.44,4.7,186.64,10.35,3.57,94
97.57,12.27,53.03,635.88,13.71,4.22,320.48,21.81,2.17,95
90.16,5.08,44.2,627.08,19.4,2.97,484.28,12.56,4.59,96
56.4,8.6,51.17,448.28,19.51,2.64,232.13,14.09,4.87,97
76.94,9.59,48.88,171.71,25.51,2.74,314.8,21.06,4.02,98
84.55,7.96,54.59,486.26,15.16,4.39,294.01,29.56,2.23,99
57.52,7.9,56.44,188.37,25.86,4.8,500.84,28.53,2.46,100
52.04,5.15,44.42,177.7,29.93,4.52,192.87,17.01,3.3,101
73.54,10.11,59.44,571.4,21.03,3.27,509.67,14.81,3.53,102
60.22,13.54,50.8,118.75,10.41,3.03,118.77,22.41,2.29,103
90.93,7.32,43.81,542.6,12.42,3.36,126.53,23.16,3.01,104
95.05,12.71,59.66,574.34,15.4,3.99,146.43,21.57,2.83,105
78.16,8.16,49.67,235.57,21.53,3.67,608.83,16.28,4.39,106
83.15,6.72,50.1,415.62,13.49,4.21,472.52,25.73,3.11,107
69.3,6.43,42.25,268.47,12.78,3.28,255.94,15.39,4.2,108
79.29,15.0,59.54,600.52,18.91,4.94,695.47,22.56,4.45,109
51.93,13.06,58.14,387.03,27.9,2.68,447.27,16.14,4.99,110
67.12,6.96,42.92,199.57,12.11,3.58,530.25,29.1,3.79,111
50.99,8.22,54.25,550.35,27.38,2.94,130.54,22.37,4.52,112
55.47,14.04,45.51,135.16,10.35,3.7,550.59,27.68,3.22,113
87.86,13.8,49.2,610.38,15.23,3.86,279.56,18.85,4.75,114
82.52,14.1,42.13,304.62,29.68,3.4,353.34,12.39,4.62,115
83.63,10.73,43.1,181.42,26.0,2.23,434.41,17.24,4.28,116
89.52,13.51,43.06,589.94,19.22,3.88,176.24,22.85,3.45,117
58.28,10.18,43.32,279.91,23.6,2.82,679.69,29.62,4.49,118
80.62,8.7,56.61,650.89,14.65,2.21,377.78,10.95,4.84,119
75.57,9.62,46.18,687.45,14.45,4.04,395.0,20.55,4.43,120
65.1,12.8,50.16,175.67,23.43,4.79,453.29,11.78,4.24,121
93.98,7.86,45.27,677.72,28.65,3.15,281.37,16.84,2.97,122
79.86,11.27,47.56,371.26,16.49,2.88,536.97,14.22,2.64,123
88.81,8.87,44.96,312.05,13.76,2.68,213.42,11.24,4.8,124
59.6,5.22,55.99,403.48,15.6,2.54,627.7,25.8,2.55,125
59.21,9.05,51.6,355.17,23.2,4.87,451.69,24.78,2.77,126
68.22,7.09,47.77,433.45,19.93,3.84,237.53,15.25,2.65,127
69.95,12.94,53.11,683.68,11.29,2.32,525.91,15.18,4.9,128
74.04,13.79,49.85,666.04,25.46,3.74,368.29,28.97,2.2,129
91.92,5.73,43.35,186.69,29.52,3.63,347.97,27.0,2.69,130
53.35,13.31,57.24,221.31,25.6,4.73,593.02,24.27,3.03,131
58.47,9.29,50.36,141.98,12.25,3.65,222.39,14.4,2.07,132
51.29,9.38,53.8,655.23,10.87,2.6,114.32,26.19,2.33,133
86.79,11.59,57.38,144.19,17.72,4.61,443.84,15.96,2.02,134
71.82,5.05,43.63,538.06,20.44,3.45,132.77,13.77,3.41,135
96.63,6.07,46.36,136.76,18.58,3.95,329.87,17.37,3.15,136
96.27,9.77,41.42,406.17,16.67,2.39,198.26,17.7,4.07,137
75.11,11.28,52.01,130.94,21.72,2.88,639.04,26.02,4.62,138
64.6,12.75,48.0,261.29,13.45,2.19,257.63,25.93,3.59,139
80.86,11.14,54.4,517.14,12.93,4.64,518.23,10.23,2.06,140
86.57,13.67,52.84,361.3,24.66,2.76,422.51,27.28,3.22,141
99.87,9.11,47.43,509.17,11.76,2.91,143.42,29.92,4.52,142
86.05,14.29,50.6,201.99,24.85,3.49,614.32,28.57,3.63,143
91.38,12.91,47.01,615.81,17.75,4.3,512.62,20.53,2.42,144
50.66,14.91,52.36,619.62,22.48,3.33,407.47,28.14,4.55,145
70.29,8.05,41.55,156.37,11.11,4.77,682.05,21.98,3.33,146
78.61,11.01,40.49,102.73,18.94,2.95,159.02,19.52,2.81,147
99.5,11.84,48.59,283.26,10.71,2.71,211.78,29.44,4.95,148
53.94,8.13,41.3,446.36,20.75,4.12,597.92,17.08,3.47,149
