h_tsv,r_tsv,pitch,l_tmrdl,w_tmrdl,t_tmrdl,l_bsmrdl,w_bsmrdl,t_bsmrdl,dut_index
51.71,10.93,47.91,294.41,11.45,4.57,337.08,29.97,2.32,42
67.08,7.85,44.29,268.45,29.15,4.1,596.53,23.13,3.22,43
89.23,5.24,57.98,586.89,13.43,2.69,268.15,26.33,3.05,44
62.87,8.11,56.22,422.58,12.77,4.98,214.76,18.5,2.15,45
85.61,12.66,46.41,314.65,23.43,4.7,555.66,19.28,3.08,46
98.84,11.48,55.55,116.78,24.49,2.42,294.97,26.8,2.9,47
52.82,5.77,56.04,148.27,20.16,2.37,358.65,15.09,3.19,48
88.24,8.34,49.27,202.9,26.2,2.62,577.31,14.12,2.28,49
70.16,5.06,55.31,419.27,13.66,3.19,454.68,19.42,2.3,50
79.51,10.2,53.66,211.44,28.76,2.06,663.77,28.53,4.83,51
55.52,6.4,58.63,352.37,22.79,3.26,569.53,15.96,2.53,52
74.58,11.27,50.12,327.99,27.07,4.36,511.49,24.73,4.51,53
54.81,12.56,43.74,200.68,17.47,2.82,396.62,13.44,3.13,54
57.61,8.45,55.08,655.09,18.04,2.89,183.35,25.34,3.3,55
65.52,14.05,44.67,521.57,12.51,4.79,493.43,14.01,4.13,56
84.6,8.86,42.36,698.58,17.03,3.1,594.1,17.13,2.06,57
87.36,12.69,43.87,310.71,15.43,4.51,303.86,12.7,4.38,58
82.76,8.55,53.38,594.95,11.82,4.65,527.92,20.78,3.03,59
54.05,9.49,54.52,236.64,21.63,3.71,203.51,20.41,2.44,60
99.5,6.89,57.88,384.33,14.48,2.93,368.11,14.43,2.07,61
63.8,8.78,51.59,205.5,27.4,3.61,353.54,23.34,2.42,62
58.5,10.08,51.87,606.5,26.98,3.4,117.19,21.32,4.46,63
96.69,11.59,59.77,660.52,22.14,4.12,691.65,21.77,3.4,64
87.19,13.94,45.45,619.88,24.76,3.57,696.94,10.82,2.2,65
84.27,5.58,53.51,590.57,18.74,3.64,307.8,10.59,4.95,66
81.04,7.54,56.46,538.54,10.2,4.54,374.3,17.52,3.05,67
95.3,11.88,43.95,424.12,17.6,3.47,473.01,25.65,2.33,68
98.6,12.11,41.03,575.23,18.21,2.53,564.67,19.7,3.03,69
64.36,11.84,55.27,349.76,13.53,2.58,180.13,26.14,3.43,70
69.48,13.56,44.48,287.9,29.38,3.02,620.83,15.93,4.58,71
89.68,14.32,48.93,126.73,16.85,4.24,311.68,21.84,3.5,72
91.39,6.3,51.47,306.47,27.36,2.08,542.75,28.08,3.06,73
55.47,10.6,49.98,558.03,20.67,4.62,159.13,13.93,2.19,74
69.1,6.51,56.93,610.62,11.23,3.2,428.88,29.35,2.94,75
74.14,6.06,40.11,389.07,15.62,3.98,174.1,22.21,2.34,76
94.9,11.7,42.09,100.44,13.25,4.88,589.96,15.56,3.63,77
95.19,6.83,42.84,335.12,24.06,4.6,362.73,26.88,4.17,78
85.85,14.24,41.18,307.35,15.57,2.94,584.94,14.1,2.93,79
58.6,10.81,43.61,274.28,16.65,3.86,480.17,11.52,2.48,80
73.35,12.07,42.14,644.29,28.21,3.87,345.04,20.48,2.76,81
80.44,10.89,50.67,428.96,15.69,3.24,583.47,26.66,4.78,82
69.76,12.88,54.79,209.16,21.23,2.26,431.84,14.92,3.81,83
90.52,13.28,41.29,596.73,18.86,3.68,627.57,25.88,4.78,84
76.2,7.69,57.46,241.8,14.8,4.42,248.92,20.96,2.77,85
50.72,14.51,52.59,262.74,11.59,2.74,261.29,25.76,3.23,86
54.66,12.03,48.37,194.32,10.77,2.43,185.52,21.08,4.18,87
64.45,7.36,51.24,476.87,16.78,3.46,351.19,15.21,3.11,88
97.51,9.34,58.26,115.37,22.44,2.16,649.31,14.28,2.46,89
97.27,12.47,45.01,434.03,23.82,4.3,443.31,12.18,4.13,90
50.76,9.62,47.86,444.79,25.82,4.23,698.4,27.05,3.56,91
81.81,9.88,41.21,615.3,28.03,4.03,306.01,26.38,2.78,92
78.3,13.89,40.83,150.58,19.94,4.22,685.44,21.26,2.24,93
84.41,13.67,46.23,680.29,22.28,4.32,438.44,20.84,2.55,94
64.01,5.15,48.64,282.15,23.56,3.62,534.81,13.88,2.54,95
99.26,14.34,44.96,230.08,22.81,2.29,369.13,16.42,4.08,96
95.62,9.41,56.74,210.92,18.9,4.2,334.61,28.33,3.97,97
78.77,10.62,50.44,154.68,19.97,3.32,459.85,15.38,4.67,98
52.72,5.54,53.4,250.4,18.49,3.05,670.19,18.8,4.08,99
67.75,7.97,52.32,325.68,17.52,4.17,680.78,22.11,3.34,100
56.26,5.69,58.53,295.67,10.69,4.99,450.52,19.36,4.54,101
69.35,13.53,50.24,285.96,27.79,2.89,386.82,25.54,4.84,102
86.17,11.79,45.69,248.86,29.71,3.43,657.09,26.56,4.22,103
72.2,13.2,45.82,173.29,16.47,2.12,647.45,28.02,2.52,104
76.05,12.97,59.65,417.18,24.04,2.28,132.64,21.56,3.09,105
81.49,13.15,48.09,138.42,17.28,4.8,464.82,16.87,4.86,106
50.88,9.15,41.61,258.94,21.97,2.19,613.52,23.05,3.46,107
55.15,6.94,49.47,548.38,13.95,3.94,313.71,14.33,2.72,108
99.43,6.96,48.12,413.36,29.79,2.57,156.99,10.0,2.02,109
63.35,6.13,41.5,371.9,19.19,2.73,517.28,20.58,3.48,110
59.66,6.76,54.84,625.83,15.71,4.13,264.18,22.49,2.13,111
65.06,14.01,46.81,284.23,29.7,2.33,457.56,23.17,2.48,112
66.73,14.68,41.55,277.63,29.28,3.03,665.0,28.5,4.61,113
67.62,10.53,44.06,469.4,29.64,2.64,234.6,15.69,2.78,114
78.63,14.26,47.98,400.46,26.13,3.93,255.04,21.21,3.66,115
59.42,7.75,49.9,689.03,25.14,2.45,164.7,14.58,3.19,116
58.83,7.72,52.37,628.34,10.42,4.76,311.04,17.32,2.37,117
72.47,14.64,59.33,141.66,28.14,3.14,376.95,22.06,4.6,118
65.19,7.91,40.88,541.04,23.07,4.07,239.67,22.15,4.49,119
73.99,13.07,47.54,244.8,17.92,4.97,633.21,15.88,2.01,120
71.16,11.15,55.14,404.63,16.7,2.15,291.82,16.46,2.63,121
83.32,8.81,42.46,169.72,14.71,4.33,126.83,21.2,3.29,122
94.48,11.56,46.52,450.25,15.03,3.95,170.38,11.13,4.87,123
86.08,11.74,47.41,657.6,23.28,3.51,579.47,16.13,4.84,124
76.79,11.25,49.42,540.44,26.34,4.34,694.83,17.41,4.05,125
66.89,7.65,53.88,133.88,11.19,2.21,652.59,12.94,3.96,126
91.31,12.94,44.78,457.11,19.5,2.68,134.39,11.49,4.34,127
54.43,11.47,40.95,565.66,14.53,2.22,188.48,16.5,2.89,128
91.82,5.08,51.41,665.46,18.61,2.45,211.23,29.64,2.61,129
63.95,5.43,45.77,514.41,22.32,3.89,333.45,16.08,3.65,130
89.06,11.42,41.58,214.61,29.92,2.67,520.8,25.44,3.51,131
55.88,13.12,43.01,497.64,27.83,2.46,569.35,14.5,4.28,132
55.11,12.81,43.14,351.21,16.38,3.83,541.8,16.85,3.58,133
76.38,6.43,57.57,368.8,18.99,3.0,315.5,27.75,4.69,134
83.21,10.79,40.01,436.83,19.28,3.32,201.37,16.32,2.41,135
67.49,5.34,47.12,670.36,29.31,4.42,576.05,20.69,4.73,136
74.89,9.06,55.68,398.58,23.03,4.91,356.46,11.31,4.45,137
94.0,10.84,43.39,143.43,12.01,3.9,641.45,27.67,3.93,138
94.18,12.62,53.03,499.9,21.3,4.17,554.45,25.07,3.57,139
73.11,10.31,57.85,460.53,19.44,2.47,658.13,23.02,3.74,140
74.8,9.57,50.34,428.18,13.7,4.04,380.82,21.36,3.72,141
72.93,7.88,46.97,677.77,24.17,2.8,208.86,15.01,2.38,142
59.24,8.03,43.67,527.78,25.77,2.35,332.11,24.29,4.62,143
97.76,14.94,50.16,158.13,18.19,2.02,178.22,26.01,2.86,144
77.0,11.01,46.93,632.76,18.14,2.71,281.16,27.04,4.03,145
83.58,14.42,54.32,346.29,24.54,4.83,466.22,21.02,3.37,146
76.61,8.46,48.53,471.17,26.01,2.14,492.29,18.44,4.09,147
85.0,10.71,44.65,393.14,26.68,3.3,525.49,21.49,3.84,148
97.7,12.22,51.28,651.64,23.1,4.1,648.03,10.28,2.16,149
78.51,8.08,43.45,518.02,16.98,2.29,135.93,17.71,2.04,150
93.28,14.29,47.16,623.01,29.0,3.39,375.24,27.65,2.74,151
90.33,8.29,53.14,355.4,10.23,4.94,138.42,20.26,2.1,152
50.48,14.57,50.78,231.25,14.56,4.89,393.76,15.63,4.3,153
82.17,10.52,55.43,385.63,19.9,2.86,690.3,21.89,3.69,154
82.96,10.07,54.39,488.87,29.46,4.0,617.4,28.99,2.11,155
69.25,8.14,41.67,613.42,21.57,3.95,440.62,18.26,3.65,156
56.42,7.63,53.24,631.17,18.56,2.76,634.22,25.71,4.71,157
68.95,10.65,45.07,448.65,28.28,4.31,675.36,20.32,2.25,158
53.33,7.34,48.32,132.97,14.16,2.37,215.93,21.54,3.76,159
60.14,11.03,59.67,698.1,20.93,3.89,150.81,22.77,2.3,160
71.33,7.58,50.95,494.9,26.79,4.77,588.09,10.77,2.5,161
60.56,10.03,58.86,487.8,12.34,2.5,669.22,25.14,2.83,162
58.11,5.11,44.04,106.19,10.37,2.98,666.34,14.67,4.55,163
57.92,5.04,51.74,102.33,13.34,4.76,463.15,24.16,4.38,164
66.49,14.83,59.71,151.9,14.24,3.01,453.97,28.18,3.93,165
95.45,10.55,52.51,481.7,25.4,2.66,443.71,29.51,3.81,166
53.69,9.67,54.47,572.9,16.41,2.54,157.92,24.56,3.04,167
52.05,12.26,50.39,407.76,10.32,4.7,668.44,23.54,2.81,168
78.24,8.2,56.66,577.7,18.4,4.84,160.41,24.67,2.42,169
75.49,9.85,46.04,465.36,22.64,2.94,402.97,17.37,3.43,170
98.99,8.62,59.02,620.51,15.82,3.79,427.58,22.57,4.64,171
75.1,7.62,45.1,186.82,28.93,3.75,574.05,26.05,3.5,172
93.13,14.07,49.51,175.94,21.77,3.77,536.59,11.81,3.94,173
75.15,11.43,47.47,510.96,16.27,3.28,283.69,28.14,3.44,174
59.95,8.69,57.71,320.62,10.08,3.21,522.54,17.94,4.81,175
56.83,5.37,55.51,378.44,10.98,2.49,106.47,23.75,4.43,176
58.97,6.16,54.97,305.34,27.9,4.46,595.18,18.6,3.54,177
53.11,7.0,44.15,279.98,20.38,4.11,155.08,28.21,4.07,178
85.2,6.19,45.62,240.32,13.9,4.56,426.73,28.8,4.88,179
86.31,7.93,45.23,486.11,19.21,4.74,544.9,25.3,4.55,180
51.06,12.44,54.24,219.31,24.1,4.16,250.57,18.08,3.62,181
55.66,10.48,53.64,639.84,15.05,2.95,676.28,12.77,2.93,182
78.99,5.2,43.34,144.63,13.86,3.11,606.94,15.73,2.05,183
93.03,8.55,53.94,324.06,11.36,4.04,483.3,28.61,2.35,184
61.2,6.49,54.93,666.44,19.76,2.96,121.75,22.84,2.72,185
60.73,12.76,55.2,366.61,10.84,3.13,142.88,11.08,2.5,186
89.59,7.41,56.52,153.1,21.94,2.17,223.61,27.17,2.71,187
68.76,9.9,46.78,491.83,22.36,3.7,592.33,21.42,4.25,188
96.41,12.98,41.45,254.45,26.2,3.62,400.43,16.58,4.98,189
65.89,7.15,57.51,686.88,19.5,2.31,301.12,29.09,2.95,190
66.79,8.66,58.22,669.73,14.69,4.55,456.21,12.31,4.35,191
50.25,11.87,40.25,112.11,13.75,4.28,336.5,18.17,4.69,192
89.4,9.76,52.63,125.42,20.4,3.68,218.89,11.91,4.11,193
61.84,8.24,41.13,564.23,23.47,2.14,590.87,10.98,3.78,194
71.57,10.1,44.94,187.3,21.43,2.23,116.49,23.24,2.97,195
57.28,6.11,45.6,442.52,18.69,4.05,436.42,21.95,4.29,196
61.35,6.67,52.99,421.26,10.48,4.27,630.78,27.51,3.23,197
87.6,12.74,52.04,695.97,13.06,3.07,172.77,22.68,2.86,198
63.52,8.63,48.7,200.24,20.08,3.39,339.53,10.21,2.58,199
96.13,13.58,44.89,675.91,28.38,3.44,412.77,28.43,5.0,200
61.04,10.46,48.02,391.54,16.31,2.72,290.1,29.86,3.27,201
94.87,11.09,47.63,611.82,15.51,2.18,101.03,17.97,3.01,202
76.27,12.02,47.37,130.51,24.75,4.87,693.84,24.98,3.85,203
52.4,13.5,49.16,374.77,14.39,3.75,446.69,24.04,4.56,204
52.9,10.66,53.05,243.0,17.57,3.07,599.79,12.53,2.27,205
91.94,14.89,44.11,320.16,26.52,4.58,239.42,12.98,4.1,206
66.54,6.31,43.59,338.22,23.17,2.61,217.86,12.29,2.98,207
67.84,8.15,48.78,473.09,11.55,3.73,167.32,11.2,4.93,208
70.83,13.48,47.68,524.03,28.33,4.45,205.61,15.77,4.93,209
60.33,10.23,51.07,127.85,15.77,2.44,282.6,10.44,3.36,210
51.54,8.42,44.31,381.8,28.49,4.84,112.69,22.9,3.52,211
90.09,9.97,51.13,299.09,20.1,4.45,330.01,15.53,2.99,212
89.34,9.17,47.81,217.29,26.29,3.3,198.74,16.04,3.29,213
86.53,6.71,58.11,322.45,26.0,4.94,586.41,18.56,4.25,214
56.0,13.71,51.84,607.17,18.44,2.7,474.29,22.41,2.81,215
68.7,7.18,58.18,316.78,13.6,3.72,286.33,13.23,4.49,216
83.41,6.73,42.76,641.72,21.05,3.53,114.49,10.45,3.78,217
56.18,11.35,53.49,467.93,15.27,2.2,110.15,13.78,4.28,218
85.93,10.87,49.81,479.08,12.96,4.44,560.39,26.91,2.62,219
69.68,12.16,43.27,359.94,25.59,2.47,662.06,23.26,4.4,220
96.93,9.69,59.09,356.92,24.26,2.65,323.63,24.32,4.02,221
77.49,14.21,40.66,343.31,27.56,2.41,532.08,10.16,3.83,222
56.67,5.57,57.3,397.22,24.35,4.55,263.05,10.64,2.04,223
71.99,13.02,51.54,689.74,21.5,2.58,243.77,22.28,4.41,224
88.54,7.09,40.52,160.77,17.16,4.21,565.75,16.78,2.67,225
60.98,13.75,58.59,224.29,27.89,4.15,175.34,28.3,3.83,226
68.25,10.13,55.98,291.99,24.67,2.59,470.42,21.69,3.7,227
97.5,11.3,45.33,226.85,11.28,4.96,598.82,20.63,2.29,228
80.53,7.85,45.18,302.65,16.02,4.99,222.47,14.99,4.52,229
99.8,7.21,47.77,580.87,22.49,3.88,540.43,10.69,2.84,230
60.49,13.82,46.7,511.56,23.88,3.27,225.44,13.56,4.15,231
99.05,6.33,49.1,181.67,19.06,4.22,434.54,24.05,2.49,232
88.37,8.71,51.34,342.89,16.17,3.34,229.85,25.22,4.91,233
92.61,12.79,46.61,659.13,21.65,4.92,124.18,16.61,4.74,234
94.71,5.39,42.19,247.73,16.65,3.97,529.77,25.92,4.05,235
88.48,9.04,50.85,120.1,24.63,3.51,388.77,22.02,2.35,236
77.54,7.17,45.4,636.9,19.04,3.83,325.61,20.73,3.98,237
51.48,9.5,55.15,637.19,27.34,2.28,130.33,28.72,4.98,238
71.78,9.09,54.08,190.39,18.25,2.77,524.33,26.25,3.47,239
76.72,13.45,47.01,691.03,27.52,2.92,500.19,11.35,3.79,240
54.61,12.24,41.98,232.06,10.71,4.39,560.51,22.96,4.97,241
83.96,10.69,40.27,603.7,17.21,4.41,279.67,15.31,4.6,242
61.57,13.4,55.04,188.58,10.9,4.26,203.2,25.96,2.11,243
80.99,12.19,48.9,674.35,28.74,2.1,389.65,12.11,2.7,244
70.7,13.74,43.08,447.13,23.61,2.05,253.54,13.68,2.26,245
64.98,8.49,44.52,238.92,28.09,4.95,460.09,20.1,4.77,246
96.27,5.74,40.49,618.75,28.44,3.41,567.19,23.65,2.39,247
94.01,8.25,57.13,571.25,13.58,3.58,385.84,11.88,4.63,248
92.48,12.92,46.36,576.22,27.64,2.4,526.82,21.11,3.9,249
83.11,9.44,42.03,396.82,20.49,2.81,514.35,23.43,4.91,250
85.34,7.43,56.61,438.03,12.61,3.48,478.85,23.89,4.24,251
57.24,12.7,40.55,403.43,29.85,3.43,103.95,24.48,4.21,252
90.77,13.44,48.97,390.45,11.71,3.8,384.13,23.94,2.57,253
56.61,13.23,51.69,601.43,15.97,3.76,547.78,11.67,2.31,254
62.7,5.47,58.43,269.9,26.81,4.68,308.58,13.35,4.53,255
60.1,6.9,41.3,364.7,10.94,3.31,378.25,23.7,3.49,256
58.34,7.26,56.76,555.83,12.36,3.54,241.71,27.27,3.85,257
92.95,8.74,46.13,195.34,17.79,3.6,366.33,29.13,3.52,258
69.93,10.73,45.44,508.58,16.86,3.13,498.67,18.87,2.99,259
59.84,8.32,46.29,432.56,27.12,3.59,502.12,10.72,3.82,260
70.02,7.4,49.21,348.55,15.24,3.28,680.04,29.94,3.99,261
70.99,14.82,58.7,430.61,29.42,2.84,322.99,19.65,2.21,262
54.89,10.3,45.98,191.7,26.45,2.84,181.37,27.98,4.37,263
57.48,11.37,56.12,182.86,14.6,2.98,562.24,14.22,3.8,264
96.08,9.46,59.45,110.91,14.1,3.49,380.27,17.49,4.66,265
55.85,9.7,51.37,145.58,29.54,3.65,632.44,11.96,3.71,266
75.31,9.02,52.73,551.22,13.11,3.52,146.56,21.98,3.98,267
88.84,5.16,41.89,108.7,16.21,2.11,347.92,11.59,2.25,268
97.0,14.71,56.42,420.03,14.91,4.41,535.72,27.8,3.31,269
53.6,13.26,43.81,568.68,15.0,4.63,107.68,26.44,2.0,270
81.63,5.99,49.04,225.62,17.7,2.13,260.34,10.3,4.99,271
95.85,11.12,57.63,345.74,28.69,3.69,353.41,24.52,4.19,272
90.66,5.79,50.59,646.61,21.74,3.25,607.47,24.13,3.47,273
98.29,5.18,58.37,592.05,25.25,3.91,149.28,25.58,3.15,274
58.66,11.95,57.66,533.15,14.07,4.47,699.02,12.21,2.1,275
85.4,9.74,45.94,682.67,24.83,3.56,104.62,15.27,3.21,276
53.98,14.49,58.97,570.52,28.17,4.53,184.36,16.21,2.44,277
62.32,10.01,45.27,271.13,25.65,2.91,406.8,26.26,3.59,278
92.72,13.09,56.39,652.2,18.76,2.04,612.32,22.51,2.91,279
61.92,6.64,48.81,185.38,22.96,3.46,413.96,11.02,4.67,280
87.81,7.98,52.14,490.67,12.91,4.93,421.56,12.61,4.68,281
70.32,5.91,54.42,330.67,26.92,4.81,445.95,18.12,2.33,282
64.67,7.47,47.72,376.07,19.11,3.93,602.85,20.87,3.87,283
80.8,6.56,49.87,497.22,11.04,4.5,102.48,23.39,4.75,284
81.98,11.91,54.87,264.82,29.59,4.29,120.11,22.87,2.87,285
63.38,9.2,50.51,299.91,14.89,3.15,687.74,13.63,4.89,286
84.0,8.88,56.17,338.7,15.2,3.45,287.76,29.03,3.53,287
79.02,9.81,46.58,206.73,15.87,4.62,360.4,27.46,3.13,288
53.45,14.74,49.67,156.78,25.5,2.78,604.71,26.45,3.17,289
52.3,10.44,51.78,251.7,21.15,4.18,277.89,19.23,4.9,290
59.59,10.27,47.3,695.11,19.33,4.36,129.05,18.71,3.25,291
54.29,9.59,54.56,272.55,25.27,4.69,611.03,26.96,4.65,292
65.5,7.52,56.58,331.99,16.06,3.81,486.92,24.4,4.01,293
74.08,13.96,47.59,280.39,23.35,2.32,285.86,22.65,4.82,294
72.63,9.79,54.25,504.99,26.62,2.68,128.17,18.91,3.12,295
53.83,8.77,41.83,534.54,11.63,4.74,510.94,29.59,2.4,296
82.05,5.93,52.92,474.88,22.91,4.71,391.5,19.14,2.85,297
66.07,9.32,58.48,644.61,22.71,3.85,471.71,23.59,4.32,298
87.44,10.39,59.17,519.33,12.27,2.88,439.52,17.77,2.59,299
57.65,10.41,55.4,525.66,26.57,2.34,177.64,14.15,3.58,300
92.18,13.68,40.43,463.46,12.22,3.59,624.76,26.51,3.56,301
91.03,11.98,40.16,394.79,10.52,4.02,495.09,13.54,2.82,302
55.35,10.33,44.4,135.67,29.98,3.82,327.66,19.05,3.25,303
89.92,9.93,55.93,453.55,23.54,2.55,551.26,17.24,2.06,304
77.28,7.02,42.26,259.81,11.99,4.14,491.17,17.05,4.11,305
87.99,8.35,50.75,312.26,20.56,2.42,195.83,26.61,4.72,306
74.26,5.84,58.68,166.7,23.38,3.04,257.06,17.06,2.56,307
68.23,5.49,43.54,668.05,12.2,2.52,673.33,29.84,2.17,308
63.01,6.53,53.25,163.2,25.86,3.09,481.62,20.92,2.85,309
75.84,14.15,59.46,170.83,15.12,4.38,397.05,19.91,4.33,310
93.84,14.19,43.77,599.9,25.03,4.08,678.29,17.7,2.66,311
76.0,7.1,58.33,121.1,17.13,4.73,164.09,19.06,3.75,312
64.55,9.35,42.33,410.0,24.6,3.09,488.81,22.71,2.08,313
65.87,12.39,46.67,512.96,16.56,4.83,141.28,22.32,3.42,314
96.79,5.96,55.79,529.28,20.77,4.75,425.49,21.7,3.88,315
89.79,6.82,52.05,480.23,29.05,4.48,275.6,10.94,4.02,316
51.26,14.78,53.81,260.73,29.86,2.07,552.33,10.51,4.65,317
91.55,13.31,60.0,566.76,17.41,2.24,245.09,17.87,3.67,318
50.62,12.33,51.62,535.42,14.83,3.42,580.5,20.15,2.79,319
76.99,12.14,43.22,516.62,20.86,2.96,236.55,13.99,4.92,320
99.96,13.62,40.35,118.47,26.38,4.88,382.28,10.08,4.27,321
72.27,9.26,57.0,336.71,11.11,3.36,434.37,24.22,4.88,322
71.65,11.96,41.76,413.81,10.63,3.22,538.84,17.0,3.35,323
51.13,11.21,46.18,462.03,15.95,2.48,328.4,28.4,2.96,324
88.09,11.66,42.96,526.06,16.93,4.86,660.11,19.45,3.45,325
77.63,10.91,56.87,676.03,19.71,2.56,618.51,29.66,2.56,326
67.2,12.35,58.07,609.71,11.89,3.34,350.21,18.04,4.42,327
92.3,10.76,52.82,297.8,17.32,2.87,231.85,13.85,2.59,328
99.7,6.1,56.32,129.81,19.69,2.23,145.28,29.43,4.31,329
62.61,14.45,48.29,552.77,20.81,3.42,549.93,27.86,2.67,330
60.78,5.62,44.42,466.12,22.85,2.79,509.41,23.72,2.17,331
73.48,6.6,53.34,587.95,27.95,2.25,531.17,29.2,4.5,332
96.6,6.6,49.64,123.32,19.82,4.67,220.79,18.39,4.71,333
64.82,6.05,52.77,663.84,11.42,4.19,267.14,17.19,3.39,334
74.4,13.15,42.85,505.16,25.74,2.99,602.06,15.18,4.19,335
50.37,11.29,58.91,590.18,22.51,3.67,419.19,26.79,3.89,336
82.39,8.96,41.06,684.05,29.2,2.39,318.07,28.89,3.68,337
58.18,13.63,52.87,292.98,15.49,2.18,672.89,27.78,3.14,338
65.72,14.36,42.64,147.09,12.67,4.85,170.61,16.27,4.57,339
88.95,14.61,46.06,361.29,10.01,2.75,518.92,20.01,4.48,340
77.78,13.19,48.6,373.32,27.26,4.01,398.76,11.74,4.26,341
84.82,12.48,46.47,547.0,20.73,2.76,342.16,23.48,3.02,342
71.08,10.0,46.3,578.79,26.87,4.97,506.93,13.11,3.89,343
79.32,12.42,42.74,406.51,20.65,2.78,265.98,10.86,3.67,344
51.81,13.04,57.18,235.23,28.56,3.02,504.37,14.54,2.2,345
80.24,9.19,45.71,256.53,14.3,3.21,653.67,23.98,4.95,346
57.76,14.53,59.85,137.38,17.71,3.16,357.52,15.12,3.16,347
87.12,8.21,50.81,197.09,23.21,2.3,484.81,29.48,2.8,348
79.89,7.05,51.9,333.68,23.66,2.1,343.08,24.82,4.22,349
86.96,5.52,48.22,640.74,20.32,3.23,123.0,19.55,3.61,350
94.59,7.79,44.22,549.88,28.89,4.67,347.33,24.38,3.26,351
82.65,6.69,50.02,174.73,22.23,3.56,361.03,15.42,3.91,352
92.86,8.92,56.99,177.59,23.99,4.38,408.45,12.44,3.6,353
86.86,9.65,40.64,197.69,14.02,2.01,341.41,27.12,3.18,354
52.6,5.28,53.77,484.33,29.19,2.5,364.28,17.83,4.76,355
81.21,13.99,56.1,506.66,20.28,4.53,515.82,25.83,3.95,356
88.72,6.24,59.12,386.86,25.48,3.1,505.92,19.81,2.6,357
94.35,11.07,50.09,435.98,13.02,2.02,192.8,18.77,2.02,358
66.22,5.31,41.4,649.09,27.48,4.81,274.7,11.42,4.53,359
66.34,6.26,51.19,455.09,17.87,3.77,162.13,27.34,3.73,360
74.7,11.75,41.75,302.11,22.19,2.09,416.63,17.29,3.21,361
50.05,9.3,44.55,662.09,14.29,3.71,639.91,12.6,2.68,362
91.24,5.27,59.58,309.05,21.05,4.01,292.86,19.34,2.75,363
