pitch,l_tmrdl,w_tmrdl,t_tmrdl,dut_index
45.43,548.35,25.38,3.05,58
41.82,493.13,17.09,4.47,59
51.63,148.57,18.98,2.68,60
44.48,694.01,13.78,3.42,61
57.4,265.54,17.55,2.53,62
56.98,201.95,20.17,4.53,63
52.14,660.32,23.19,4.8,64
54.76,546.29,27.88,4.6,65
48.74,511.2,11.16,4.45,66
40.2,472.51,15.07,4.19,67
47.6,643.61,23.77,3.62,68
48.21,683.21,24.22,4.38,69
43.53,272.32,23.68,3.25,70
59.38,333.73,27.13,2.94,71
46.85,576.17,28.63,2.13,72
57.36,596.69,12.59,3.03,73
50.67,165.68,21.19,4.29,74
41.23,329.2,13.01,4.55,75
45.62,389.73,12.11,3.45,76
43.25,638.83,23.4,2.0,77
54.06,642.3,13.66,3.18,78
45.57,530.16,28.49,3.04,79
46.65,203.23,21.62,2.87,80
58.21,380.26,24.13,4.72,81
45.69,465.26,21.79,3.64,82
51.23,337.07,25.76,2.55,83
48.86,586.2,26.57,4.48,84
44.8,414.46,15.39,2.71,85
41.59,108.67,29.02,2.81,86
40.77,155.87,24.06,2.47,87
46.78,273.38,14.73,3.88,88
52.44,670.17,18.68,2.08,89
53.82,667.28,24.94,3.67,90
55.82,109.17,19.24,3.72,91
58.03,481.7,19.77,4.58,92
49.94,439.54,27.79,2.25,93
52.28,512.89,27.33,4.9,94
53.56,268.07,10.3,2.91,95
52.81,691.11,28.68,2.65,96
48.9,647.39,18.82,2.55,97
49.97,445.27,21.24,2.27,98
48.49,132.64,11.08,2.75,99
47.52,312.97,15.94,3.13,100
40.69,175.11,11.37,2.98,101
57.79,332.26,27.05,2.93,102
59.71,534.03,23.58,2.74,103
46.47,366.4,26.41,2.37,104
54.04,412.61,25.94,3.59,105
47.28,477.91,26.29,2.19,106
51.97,110.54,18.3,2.79,107
43.95,161.81,13.89,4.24,108
59.79,693.2,13.92,3.57,109
49.19,260.26,12.25,3.36,110
45.71,215.95,13.52,4.63,111
59.7,280.71,28.02,2.92,112
59.28,300.8,29.35,2.89,113
59.64,311.5,21.07,3.85,114
56.13,443.59,28.52,3.5,115
55.14,212.99,15.51,4.95,116
40.42,205.94,15.44,4.64,117
58.14,369.67,29.29,2.21,118
53.07,282.26,15.81,4.21,119
47.92,387.85,26.15,2.72,120
46.7,353.92,22.3,3.52,121
44.71,499.83,17.63,2.35,122
45.03,633.78,23.12,3.75,123
53.28,532.97,23.47,4.79,124
56.34,421.44,22.49,4.2,125
41.19,302.73,15.3,2.17,126
49.5,595.75,25.89,3.79,127
44.53,153.19,22.93,4.33,128
48.61,601.78,10.16,4.83,129
52.32,267.4,10.85,4.07,130
59.92,568.76,22.83,2.57,131
57.83,170.59,26.25,3.99,132
46.38,161.36,25.61,3.26,133
48.99,416.56,12.87,3.34,134
49.28,498.51,21.58,3.68,135
59.31,309.84,10.68,4.85,136
53.03,398.71,18.11,3.49,137
42.01,628.0,21.67,2.22,138
51.3,630.13,25.23,4.0,139
49.44,377.35,20.61,3.8,140
43.7,397.6,19.15,3.64,141
54.17,375.18,15.76,4.89,142
55.77,210.83,16.06,4.14,143
48.19,673.08,29.88,2.29,144
48.14,424.03,22.01,4.66,145
54.54,503.0,28.85,3.23,146
56.01,419.27,16.93,3.86,147
56.68,520.01,21.42,3.47,148
53.1,672.39,24.45,4.76,149
46.98,442.09,16.16,4.09,150
59.0,619.36,28.57,4.62,151
40.23,583.96,16.58,3.28,152
44.56,105.81,29.15,2.66,153
49.9,486.1,21.04,3.43,154
59.46,495.5,20.15,3.94,155
51.57,330.97,16.29,4.57,156
48.56,177.06,15.27,4.66,157
58.28,327.37,21.29,3.74,158
44.16,139.92,14.68,2.16,159
50.93,221.66,22.05,4.99,160
56.79,355.92,15.17,3.97,161
42.34,226.71,20.05,3.94,162
40.37,197.32,10.22,2.03,163
43.34,195.03,10.07,2.01,164
44.24,297.9,29.65,2.26,165
55.4,645.41,21.1,3.91,166
46.41,144.28,19.33,4.36,167
40.32,124.63,24.52,3.54,168
48.4,438.93,16.39,4.39,169
52.64,405.83,19.7,3.83,170
45.82,687.92,17.25,4.6,171
58.93,401.24,15.24,2.43,172
51.77,617.55,28.13,2.38,173
46.27,401.83,22.85,4.05,174
40.08,219.39,17.38,3.1,175
40.98,181.98,10.75,3.39,176
57.9,207.69,12.33,3.03,177
50.38,137.27,13.99,2.9,178
43.9,522.42,12.38,2.7,179
49.21,535.72,15.87,3.93,180
54.1,112.68,24.89,2.6,181
45.05,167.95,20.95,4.7,182
43.86,447.87,10.41,2.22,183
41.36,616.36,17.11,3.12,184
49.76,234.37,12.98,4.83,185
40.84,228.73,25.52,3.33,186
51.94,575.02,14.81,2.27,187
52.36,325.07,19.8,3.96,188
56.2,656.96,25.96,2.77,189
49.5,290.68,14.29,4.93,190
44.69,301.46,17.32,4.85,191
43.75,102.97,23.73,2.06,192
50.4,572.77,19.52,2.13,193
53.47,242.06,16.48,4.32,194
51.43,358.84,20.2,2.44,195
48.69,187.37,12.22,3.71,196
40.48,236.17,13.35,3.61,197
43.06,551.23,25.48,4.98,198
50.08,262.22,17.25,2.5,199
58.38,653.52,27.16,4.88,200
46.31,232.48,20.91,3.46,201
45.51,638.48,22.19,4.56,202
54.75,415.28,24.03,2.15,203
44.39,128.82,27.01,3.37,204
47.57,134.81,21.31,2.72,205
56.52,603.25,29.79,3.1,206
53.17,298.47,12.63,3.19,207
41.55,314.05,16.3,3.87,208
58.33,349.99,26.96,4.12,209
45.77,223.91,20.46,2.14,210
58.49,118.45,16.84,3.41,211
50.1,581.02,19.94,3.0,212
56.29,572.12,18.33,2.59,213
56.0,538.4,13.42,3.11,214
48.44,172.03,27.43,4.54,215
43.6,324.43,14.36,3.08,216
51.05,500.97,13.45,4.71,217
45.27,174.11,22.69,3.84,218
42.96,531.17,21.74,3.9,219
55.59,336.13,24.31,3.3,220
54.26,663.13,19.38,3.28,221
57.56,429.86,28.43,3.22,222
54.35,180.03,11.15,3.49,223
51.5,363.86,26.04,4.95,224
47.16,562.48,14.19,2.3,225
57.89,231.81,27.51,2.62,226
54.67,319.01,20.26,2.96,227
41.28,669.96,22.6,2.63,228
46.02,466.33,15.7,3.01,229
52.49,697.57,14.42,4.4,230
53.88,225.9,27.64,4.06,231
49.06,688.55,12.66,2.41,232
46.17,560.45,17.42,3.21,233
51.65,611.28,25.57,4.8,234
46.65,636.58,10.79,2.74,235
54.63,561.71,18.09,2.1,236
49.04,430.46,14.33,4.68,237
57.34,117.73,19.0,4.69,238
48.25,361.32,18.19,2.45,239
57.52,420.66,26.9,4.96,240
40.71,155.28,24.47,2.66,241
47.21,507.55,21.37,4.52,242
40.9,238.89,26.8,2.44,243
58.74,471.84,24.38,4.87,244
53.61,348.41,27.48,3.74,245
58.09,279.75,16.99,2.69,246
58.44,655.2,11.48,4.59,247
43.58,628.13,16.5,4.36,248
57.64,609.79,25.84,4.38,249
50.49,497.29,18.88,3.48,250
42.61,524.06,14.86,3.69,251
59.85,186.84,25.41,3.52,252
41.71,589.19,26.88,3.45,253
45.97,179.38,26.45,4.51,254
56.81,252.42,10.93,2.85,255
40.94,221.21,13.81,3.32,256
42.36,200.11,14.53,4.28,257
47.79,615.44,17.47,2.48,258
46.86,339.14,21.45,4.04,259
57.12,218.13,16.63,3.66,260
45.24,340.25,14.79,3.24,261
59.42,351.84,29.65,3.65,262
56.45,158.65,20.59,2.46,263
44.6,189.78,22.75,2.41,264
44.1,652.98,18.93,2.05,265
59.54,170.21,19.4,2.23,266
43.11,403.73,18.04,4.26,267
46.21,566.11,10.32,2.04,268
44.91,664.05,29.43,3.6,269
45.0,143.2,26.52,4.34,270
47.7,479.57,11.99,2.63,271
58.69,650.25,22.25,3.23,272
51.74,587.86,11.58,4.73,273
55.25,679.48,10.35,4.46,274
44.07,203.87,23.9,4.17,275
54.83,524.8,19.47,4.91,276
58.17,147.78,28.98,4.35,277
55.65,247.88,20.02,2.86,278
48.76,612.65,26.17,4.76,279
52.96,243.03,13.28,2.43,280
42.91,553.75,15.96,3.95,281
56.92,343.9,11.81,3.15,282
49.11,276.09,14.95,3.38,283
41.04,469.61,13.12,3.99,284
59.59,483.78,23.81,2.82,285
44.89,260.6,18.41,3.0,286
45.2,508.06,17.77,3.19,287
45.87,448.23,19.63,2.53,288
55.5,141.43,29.47,2.28,289
51.15,127.63,20.88,2.76,290
49.33,215.07,20.54,4.98,291
55.27,151.52,19.19,2.86,292
46.06,285.96,15.04,3.16,293
53.35,388.94,27.93,2.9,294
56.62,371.53,19.58,4.02,295
41.63,145.97,17.54,4.17,296
52.91,484.62,11.86,3.87,297
52.71,292.78,18.64,4.72,298
42.27,549.33,20.79,4.1,299
56.57,191.81,20.82,4.13,300
42.22,606.21,27.35,3.82,301
40.52,592.3,23.97,3.47,302
59.98,164.16,20.66,2.18,303
53.54,578.99,19.87,3.77,304
41.99,427.36,14.05,2.8,305
50.56,555.87,16.7,3.06,306
53.38,391.13,11.68,2.33,307
42.2,318.74,10.99,4.84,308
55.86,256.07,13.05,2.32,309
45.12,410.05,28.29,2.35,310
55.03,626.14,28.37,4.5,311
47.13,411.99,14.2,2.11,312
54.6,274.62,18.7,3.55,313
46.56,290.48,24.78,4.06,314
50.77,661.51,11.92,4.15,315
59.05,577.47,13.63,3.9,316
59.86,115.07,29.56,2.8,317
47.41,598.6,26.62,4.33,318
44.83,107.4,24.66,4.18,319
50.86,423.91,24.28,4.08,320
56.38,699.47,27.23,2.09,321
41.11,367.28,18.53,3.18,322
40.63,359.85,23.91,3.57,323
45.95,113.53,22.43,3.81,324
46.93,557.07,23.33,4.13,325
49.71,431.54,21.81,4.88,326
41.89,306.39,24.7,4.55,327
47.32,607.54,21.52,2.99,328
49.69,696.36,12.2,2.15,329
50.81,251.32,28.89,4.26,330
52.85,229.36,11.24,3.83,331
57.95,381.75,13.19,4.44,332
49.82,659.19,13.21,2.12,333
41.42,277.83,12.09,4.82,334
55.74,392.8,26.31,4.03,335
52.51,104.47,22.58,4.45,336
59.2,488.68,17.93,4.92,337
45.49,198.17,27.27,2.96,338
42.67,288.62,28.71,2.24,339
40.01,567.44,29.23,3.31,340
57.26,433.36,26.37,3.37,341
50.73,517.82,24.96,4.23,342
56.87,352.96,20.0,4.39,343
50.65,451.82,24.83,3.53,344
58.56,121.76,26.08,2.68,345
44.3,462.94,18.37,2.78,346
47.71,193.15,29.05,2.19,347
53.21,545.48,16.42,2.49,348
53.66,458.7,14.11,3.17,349
50.32,543.5,11.03,4.7,350
58.89,635.1,15.59,4.25,351
52.23,491.75,13.38,2.37,352
53.99,614.36,17.83,2.39,353
44.02,542.37,19.3,2.49,354
59.19,131.21,10.57,3.92,355
50.28,474.53,27.97,4.03,356
55.48,564.64,12.48,3.43,357
43.02,632.15,22.15,3.68,358
57.48,294.61,10.63,4.75,359
47.87,296.06,12.52,3.78,360
52.19,396.43,23.51,3.01,361
44.29,100.62,18.6,4.81,362
51.05,594.94,10.53,3.05,363
58.95,150.04,12.41,4.53,364
42.55,315.06,20.35,2.52,365
48.0,382.77,25.69,2.3,366
47.1,666.36,14.62,3.78,367
54.35,450.35,17.05,2.31,368
43.48,378.99,29.82,2.4,369
42.41,491.06,25.73,3.29,370
57.22,284.19,18.76,3.73,371
50.52,519.06,15.61,2.95,372
46.12,690.3,10.02,3.79,373
49.6,408.79,15.11,4.42,374
51.83,551.99,30.0,3.32,375
41.91,237.78,23.37,4.62,376
42.89,624.9,28.95,3.7,377
54.22,675.61,17.96,2.02,378
54.95,406.83,27.69,4.49,379
52.55,241.0,25.3,4.48,380
49.37,677.41,25.18,4.27,381
46.53,264.55,25.07,2.93,382
45.35,371.33,24.19,3.92,383
54.43,640.74,13.74,4.19,384
44.43,138.11,12.92,2.73,385
41.09,345.15,18.23,4.86,386
54.86,373.06,27.57,4.67,387
40.28,680.9,20.39,3.09,388
48.3,335.11,14.1,2.6,389
58.6,185.32,28.24,4.16,390
57.69,270.38,16.01,4.01,391
58.81,651.63,13.58,4.65,392
43.16,456.41,14.56,3.34,393
49.56,208.16,23.61,4.31,394
42.06,528.83,29.3,4.9,395
53.93,478.44,21.93,2.64,396
41.78,385.08,29.16,3.07,397
51.88,126.89,14.99,4.97,398
56.44,510.12,26.68,4.28,399
