h_tsv,r_tsv,pitch,dut_index
67.8,13.33,42.53,205
93.0,7.32,42.98,206
60.1,6.96,42.29,207
78.8,6.12,41.2,208
90.8,6.76,45.77,209
57.29,8.04,40.44,210
97.29,5.21,52.9,211
90.9,8.83,45.53,212
71.6,6.65,46.04,213
98.94,13.11,48.56,214
61.73,11.24,52.41,215
78.74,8.11,43.23,216
75.57,5.24,40.45,217
53.32,5.17,43.78,218
90.61,12.67,56.91,219
57.89,14.37,53.26,220
60.83,8.73,54.32,221
56.79,12.2,40.16,222
92.42,7.72,40.64,223
59.68,7.4,52.28,224
86.87,12.76,46.78,225
85.87,6.26,58.3,226
59.85,11.17,51.69,227
99.37,13.31,50.63,228
99.87,7.04,44.99,229
81.28,12.34,40.69,230
71.19,7.09,43.56,231
86.96,10.58,54.05,232
72.33,7.16,55.22,233
98.69,5.4,46.61,234
82.87,12.16,55.92,235
75.18,9.81,52.02,236
80.55,8.76,50.73,237
54.7,5.51,58.72,238
62.86,12.07,56.25,239
65.35,11.67,41.35,240
89.82,12.68,52.96,241
90.16,7.99,45.31,242
87.61,6.72,55.96,243
51.6,9.83,42.11,244
50.86,7.56,43.68,245
99.2,11.0,50.1,246
73.46,12.79,53.65,247
76.33,9.76,41.88,248
56.64,12.11,51.11,249
63.52,11.91,53.43,250
74.74,11.31,53.89,251
73.89,5.07,54.48,252
79.96,9.74,53.94,253
79.37,12.46,41.67,254
94.73,8.48,43.35,255
71.85,9.64,53.7,256
75.72,7.36,57.27,257
76.67,9.44,59.13,258
68.84,11.64,48.87,259
76.53,11.7,40.72,260
71.38,14.67,59.94,261
63.94,8.72,49.65,262
64.02,6.36,57.98,263
66.33,12.7,44.22,264
74.77,9.67,47.49,265
77.44,13.87,41.96,266
75.29,5.78,51.98,267
51.87,9.13,41.59,268
90.11,12.26,57.8,269
93.81,5.13,56.44,270
52.1,7.67,40.3,271
78.13,9.22,54.52,272
70.78,13.46,54.13,273
81.84,5.82,55.58,274
91.13,14.98,42.21,275
75.99,5.08,45.27,276
92.17,6.41,46.21,277
65.18,10.11,56.26,278
50.61,13.54,52.51,279
74.26,10.23,41.02,280
98.85,10.36,42.61,281
96.88,10.77,48.12,282
82.09,13.38,50.87,283
91.62,5.04,53.39,284
88.13,5.34,52.87,285
69.14,14.8,43.63,286
74.22,8.13,59.03,287
93.65,9.34,57.46,288
62.99,13.41,56.45,289
86.33,7.96,49.23,290
89.42,5.48,48.71,291
94.77,13.52,56.96,292
80.19,11.45,54.4,293
55.29,8.1,52.65,294
61.38,5.47,48.91,295
95.7,11.85,59.59,296
95.15,9.86,49.14,297
80.84,11.2,53.59,298
64.65,10.66,47.77,299
55.67,6.29,44.15,300
76.49,13.75,56.51,301
83.7,11.58,43.54,302
80.32,8.79,49.05,303
59.16,12.52,47.24,304
85.66,11.52,47.05,305
57.01,6.6,56.61,306
67.34,7.62,47.06,307
58.59,14.56,59.84,308
68.22,11.36,50.92,309
89.63,9.95,49.91,310
84.72,14.64,47.7,311
95.43,6.07,49.06,312
68.09,11.48,52.71,313
97.2,5.69,52.32,314
95.79,10.42,51.7,315
91.27,7.93,40.94,316
51.19,12.54,40.51,317
54.02,7.42,47.87,318
73.71,13.01,50.15,319
65.92,7.28,43.99,320
98.01,9.7,40.08,321
72.65,10.57,54.22,322
70.29,12.31,47.0,323
58.07,8.81,58.4,324
97.66,14.34,49.45,325
59.31,13.64,59.66,326
72.39,9.17,48.04,327
64.51,7.2,43.85,328
53.8,5.75,59.43,329
73.6,12.5,57.86,330
63.23,11.82,53.72,331
54.16,12.19,59.2,332
94.43,7.01,48.39,333
86.45,7.79,47.19,334
66.57,13.37,45.18,335
77.8,10.32,56.79,336
56.56,8.63,58.89,337
52.96,14.55,57.78,338
97.54,6.18,46.27,339
62.47,11.98,50.01,340
83.53,9.98,41.74,341
62.67,9.04,53.48,342
99.54,11.78,43.11,343
63.05,7.77,40.86,344
67.0,11.74,44.54,345
70.1,14.23,53.98,346
69.35,9.29,45.12,347
55.08,11.41,59.48,348
51.63,9.05,54.82,349
70.42,5.38,49.55,350
94.52,9.12,54.38,351
76.03,9.35,45.42,352
89.6,10.14,42.44,353
50.19,9.02,57.12,354
58.39,9.4,47.83,355
92.09,11.93,55.83,356
68.38,11.77,49.81,357
50.41,6.55,48.77,358
96.81,7.91,41.42,359
79.44,6.04,57.34,360
51.47,10.28,47.29,361
78.45,14.0,42.6,362
83.5,8.21,49.34,363
75.78,13.58,59.79,364
93.46,13.96,50.4,365
72.52,12.6,54.86,366
84.34,6.85,57.92,367
72.91,13.65,44.38,368
55.44,13.48,48.24,369
60.68,7.25,49.99,370
89.25,8.41,42.8,371
63.75,7.86,41.76,372
79.66,8.69,50.53,373
77.21,11.88,46.95,374
77.52,14.03,52.37,375
55.94,6.62,48.52,376
81.11,6.5,58.66,377
91.44,6.55,49.87,378
71.0,14.19,57.55,379
91.65,7.83,43.04,380
98.51,12.87,55.46,381
51.06,8.67,42.72,382
83.13,5.87,58.83,383
65.06,11.04,42.46,384
85.38,14.06,46.72,385
98.35,7.43,54.62,386
96.3,8.33,43.06,387
61.02,12.9,42.05,388
88.09,13.04,51.63,389
77.63,14.27,46.66,390
50.05,14.82,43.48,391
94.03,5.66,42.87,392
60.0,13.71,48.35,393
69.59,14.73,56.74,394
88.61,7.89,45.48,395
84.8,8.28,57.35,396
59.02,6.13,40.11,397
75.43,13.8,43.74,398
56.38,11.26,49.53,399
