pitch,r_tsv,h_tsv,l_tmrdl,w_tmrdl,h_tmrdl,l_bsmrdl,w_bsmrdl,h_bsmrdl
57.48,14.73,68.96,726.15,19.22,5.22,166.83,10.72,5.96
34.76,5.29,56.95,844.6,27.29,5.49,765.54,29.8,2.02
30.32,11.42,78.28,146.23,21.41,5.63,854.28,28.03,4.47
34.14,9.11,90.39,618.35,12.96,2.15,651.16,25.43,3.41
38.86,10.47,66.93,256.26,18.58,4.11,156.28,14.59,4.49
57.84,6.91,73.41,239.02,19.4,2.03,465.86,29.29,2.83
48.45,7.98,74.76,393.39,21.38,3.05,552.9,18.41,3.23
41.59,6.26,57.95,218.2,17.99,2.05,213.03,12.55,5.39
46.2,7.36,85.14,580.49,11.86,5.64,296.31,16.51,5.48
34.07,12.13,70.05,327.5,21.87,5.73,450.84,21.82,3.56
27.57,13.05,83.44,467.1,20.2,5.38,408.12,14.85,3.04
45.01,11.96,98.95,311.84,16.08,3.3,915.83,26.1,4.36
46.69,11.7,97.85,274.05,19.12,5.78,437.59,17.35,5.32
29.09,8.83,67.16,554.5,12.8,5.85,401.93,24.46,4.05
36.03,12.33,51.6,995.86,24.31,3.58,831.79,23.78,3.28
51.93,10.89,72.43,496.76,25.07,3.23,268.96,10.95,3.3
58.64,2.11,69.85,772.97,14.55,3.43,183.91,20.45,4.98
35.04,6.1,87.17,645.35,16.93,3.79,589.49,22.81,4.12
57.61,6.52,86.04,433.18,19.92,3.7,304.51,19.19,2.42
31.32,13.82,50.07,980.8,16.3,3.66,715.19,26.52,3.48
41.82,10.6,94.64,885.81,12.39,3.53,824.81,23.42,3.03
52.99,13.36,99.17,732.12,28.46,2.43,979.03,20.76,2.88
35.56,14.97,52.91,397.8,20.03,4.89,860.86,25.78,2.34
54.49,4.38,77.44,172.99,28.06,5.29,226.95,13.86,5.56
57.45,7.46,90.95,293.64,14.78,4.26,205.46,14.34,2.56
54.22,5.45,84.65,626.93,14.04,3.84,993.26,18.33,3.7
41.36,12.45,75.88,599.77,14.26,4.64,285.23,17.01,5.7
58.64,3.32,56.47,780.21,29.51,2.22,695.41,14.71,5.74
26.26,3.24,76.68,833.26,22.75,2.94,117.95,23.28,4.56
50.26,11.09,65.9,573.3,25.47,3.38,517.64,27.86,5.88
36.94,6.72,80.96,561.73,26.96,3.25,493.97,20.9,4.17
29.64,3.5,58.48,900.56,21.75,2.74,963.7,27.61,5.65
48.86,7.68,69.18,944.28,11.57,2.97,905.43,18.96,2.3
48.15,12.88,96.17,335.08,17.54,5.02,926.3,23.9,5.1
41.68,4.52,85.78,827.88,29.25,5.96,988.29,26.29,5.42
34.7,6.6,72.98,636.03,24.69,5.41,808.63,12.4,2.62
55.79,13.66,78.54,299.9,10.4,2.31,940.38,16.99,5.05
37.84,7.2,80.06,111.67,29.89,2.46,664.37,21.69,4.93
46.76,10.0,91.87,318.58,22.4,3.01,579.68,14.14,5.27
40.47,11.11,95.95,384.96,18.73,4.75,602.39,16.39,5.49
42.98,3.08,50.89,805.69,20.48,5.55,629.13,29.58,3.17
59.84,9.26,81.39,719.1,27.7,3.8,970.09,16.69,4.85
59.08,13.27,61.83,950.9,16.72,3.13,638.45,15.98,4.11
35.64,11.56,76.4,428.58,10.85,4.56,798.98,18.69,5.03
30.73,9.33,86.75,512.27,10.64,2.33,892.23,27.27,2.45
47.93,2.14,60.56,375.17,27.9,2.66,370.91,13.42,2.16
35.6,10.41,87.63,524.26,19.73,4.21,255.56,22.1,3.6
53.15,8.7,94.48,369.35,17.16,4.84,361.02,11.34,5.59
35.67,14.08,51.48,901.7,26.61,4.94,607.35,24.83,4.42
53.14,5.05,93.62,667.63,21.05,3.75,129.29,12.81,2.12
42.1,6.02,53.06,850.92,28.68,5.45,683.5,10.11,4.91
29.25,4.33,57.13,962.35,15.42,5.07,947.33,13.23,2.77
51.12,3.9,70.85,163.65,22.96,5.26,934.27,19.26,5.29
50.99,8.35,61.26,412.82,22.56,2.36,388.43,24.11,2.89
37.97,5.69,58.76,758.45,18.88,3.5,344.09,22.31,4.81
