pitch,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
26.84,999.65,23.83,3.03,192
25.77,686.02,24.35,3.12,193
27.46,292.55,26.32,2.8,194
41.35,211.92,16.85,3.1,195
18.6,111.1,17.25,4.03,196
32.47,110.84,29.1,5.69,197
24.27,164.51,23.23,3.64,198
55.7,198.63,29.89,4.52,199
57.87,127.13,20.65,3.89,200
56.83,652.1,29.74,4.35,201
59.71,452.02,25.14,2.99,202
28.9,202.3,24.0,4.81,203
41.58,422.58,21.41,2.2,204
51.3,126.14,10.35,4.41,205
57.57,419.9,29.53,2.56,206
59.47,568.66,17.23,2.01,207
29.09,799.12,13.95,5.97,208
46.32,859.03,22.15,2.09,209
52.32,476.96,10.18,2.05,210
12.04,616.33,10.51,5.03,211
32.84,739.44,10.76,3.12,212
58.32,145.69,18.28,2.03,213
28.89,431.66,21.15,2.86,214
46.53,319.54,11.01,3.01,215
49.83,991.95,25.04,5.92,216
17.56,506.94,14.11,5.91,217
54.4,388.43,14.83,2.03,218
48.92,997.87,29.95,4.84,219
59.26,948.83,11.97,4.72,220
30.21,116.0,14.61,5.91,221
24.3,954.88,20.77,4.92,222
46.21,782.14,12.14,5.88,223
39.11,569.78,24.21,3.74,224
29.17,753.81,26.66,3.86,225
58.81,948.17,14.32,5.93,226
48.96,788.23,29.01,5.08,227
32.64,947.41,19.42,3.15,228
13.0,884.92,10.57,2.15,229
58.74,856.51,17.27,2.96,230
58.09,892.41,10.82,3.18,231
44.18,977.56,29.08,3.4,232
28.72,338.05,10.62,3.54,233
23.12,693.56,10.39,2.17,234
52.45,138.87,14.25,2.98,235
30.88,960.12,29.77,2.06,236
30.54,356.39,28.47,5.52,237
51.23,488.87,15.85,5.2,238
36.84,931.54,12.59,4.98,239
23.37,988.82,13.32,5.07,240
45.41,977.84,29.79,5.83,241
40.91,922.92,18.0,4.65,242
43.2,109.06,13.25,5.06,243
59.64,363.55,28.28,6.0,244
34.47,433.53,20.43,4.19,245
45.15,967.05,13.48,2.17,246
55.51,706.45,22.23,5.27,247
33.11,544.35,10.97,2.03,248
41.42,117.38,24.6,4.46,249
29.12,807.84,25.74,2.44,250
44.88,104.52,22.55,2.15,251
30.57,498.15,10.02,5.92,252
59.88,367.45,11.33,4.07,253
26.07,984.65,11.25,3.75,254
44.03,717.7,13.75,4.13,255
33.12,751.36,29.3,4.99,256
27.23,530.76,23.96,5.8,257
54.39,105.09,25.56,2.96,258
44.33,105.36,21.83,3.75,259
45.6,709.08,26.57,3.89,260
26.59,293.94,10.36,5.87,261
41.7,990.52,26.03,4.76,262
50.42,983.83,28.44,2.02,263
57.68,348.12,22.05,5.69,264
31.13,469.11,27.16,3.85,265
31.45,542.25,18.36,2.12,266
30.83,108.57,29.75,2.85,267
59.8,226.82,17.46,2.95,268
59.37,277.44,24.29,2.11,269
26.59,991.43,24.95,4.63,270
56.95,121.05,21.92,5.17,271
14.21,418.12,11.4,3.12,272
45.77,348.48,29.49,4.19,273
21.56,746.23,20.53,5.5,274
31.16,228.77,13.74,2.77,275
29.64,717.97,21.37,3.91,276
43.33,519.76,29.7,5.14,277
48.37,606.29,25.99,4.83,278
31.33,228.21,29.02,2.0,279
36.21,427.11,13.47,5.62,280
26.05,796.72,10.14,3.93,281
49.47,944.66,21.81,5.23,282
43.55,886.76,18.93,2.68,283
38.37,359.37,16.83,4.47,284
30.63,903.75,29.07,2.96,285
19.77,561.13,16.91,4.92,286
53.33,622.0,29.11,5.79,287
32.97,257.15,19.56,2.56,288
50.75,322.3,10.61,5.18,289
59.7,541.01,10.08,2.71,290
46.73,110.71,11.36,5.84,291
57.63,779.64,13.96,4.2,292
20.98,498.57,18.71,3.78,293
50.47,764.64,25.66,2.56,294
30.56,924.61,29.09,5.97,295
37.09,279.27,16.18,5.5,296
17.13,611.5,15.85,3.23,297
59.87,612.18,18.72,4.82,298
25.25,601.69,12.09,3.44,299
