pitch,r_tsv,h_tsv,dut_index
55.55,3.44,99.28,208
50.0,14.96,50.18,209
48.62,3.56,73.48,210
47.42,11.11,67.48,211
24.32,2.23,74.24,212
47.56,6.28,69.02,213
52.37,6.52,51.77,214
39.46,13.64,60.42,215
59.95,11.33,56.14,216
31.82,14.72,50.29,217
18.44,3.6,92.13,218
28.27,7.95,82.1,219
41.05,7.29,56.89,220
11.35,2.07,57.93,221
20.52,9.58,80.98,222
36.6,11.62,76.07,223
38.24,7.99,90.95,224
54.62,11.02,72.19,225
49.18,5.91,59.88,226
48.31,13.01,91.5,227
56.33,14.89,58.73,228
30.62,14.63,95.59,229
8.57,3.77,79.98,230
59.61,4.09,57.52,231
38.68,8.18,51.46,232
20.55,7.17,63.1,233
48.27,13.1,84.01,234
44.05,6.29,86.43,235
57.05,3.88,84.28,236
23.55,4.58,86.54,237
22.11,2.48,65.9,238
51.42,2.36,64.05,239
46.32,7.61,73.21,240
29.79,8.53,51.29,241
32.0,2.04,56.46,242
45.0,14.63,74.49,243
24.13,3.25,96.93,244
36.96,2.67,66.37,245
57.99,9.99,50.75,246
20.58,3.5,70.87,247
53.16,2.04,90.19,248
54.63,13.85,53.65,249
56.58,14.96,99.62,250
32.25,6.94,88.74,251
24.23,10.86,91.99,252
34.27,5.17,96.0,253
59.07,6.57,84.79,254
20.19,9.17,74.33,255
20.21,6.81,54.06,256
42.33,3.17,80.21,257
52.36,4.88,51.18,258
42.36,8.88,77.03,259
40.34,11.85,50.21,260
11.11,3.26,91.19,261
37.93,9.84,67.63,262
59.68,11.31,93.74,263
20.0,4.28,57.99,264
58.76,6.16,74.91,265
26.72,6.26,68.61,266
36.14,6.14,50.45,267
35.9,13.14,79.28,268
59.62,8.52,72.94,269
27.18,4.04,56.17,270
59.42,9.4,86.24,271
51.8,2.1,72.84,272
32.85,13.52,99.92,273
30.11,2.84,90.05,274
56.58,5.68,59.92,275
58.98,14.56,79.18,276
52.77,7.8,66.46,277
34.15,12.85,86.93,278
43.97,2.13,92.82,279
53.38,8.93,93.0,280
43.21,9.0,83.89,281
37.39,5.63,85.59,282
33.34,12.87,68.67,283
20.11,5.76,81.07,284
44.01,14.61,94.57,285
41.74,11.12,71.34,286
52.77,12.32,65.05,287
16.33,5.83,64.67,288
41.09,10.28,50.65,289
39.45,4.13,93.92,290
43.21,14.97,61.28,291
47.53,6.32,98.96,292
57.05,9.96,63.07,293
36.79,10.38,99.35,294
34.07,8.69,95.47,295
47.19,4.12,99.86,296
33.97,4.3,84.35,297
26.59,6.58,99.87,298
31.98,9.86,58.31,299
