output_path,split,design,idx,status,file
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,22,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut22.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,23,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut23.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,24,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut24.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,25,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut25.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,26,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut26.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,27,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut27.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,28,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut28.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,29,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut29.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,30,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut30.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,31,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut31.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,32,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut32.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,33,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut33.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,34,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut34.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,35,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut35.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,36,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut36.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,37,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut37.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,38,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut38.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,39,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut39.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,40,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut40.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,41,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut41.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,42,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut42.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,43,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut43.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,44,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut44.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,45,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut45.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,46,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut46.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,47,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut47.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,48,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut48.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,49,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut49.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,50,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut50.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,51,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut51.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,52,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut52.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,53,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut53.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,54,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut54.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,55,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut55.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,56,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut56.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,57,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut57.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,58,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut58.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,59,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut59.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,60,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut60.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,61,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut61.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,62,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut62.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,63,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut63.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,64,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut64.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,65,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut65.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,66,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut66.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,67,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut67.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,68,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut68.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,69,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut69.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,70,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut70.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,71,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut71.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,72,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut72.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,73,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut73.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,74,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut74.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,75,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut75.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,76,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut76.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,77,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut77.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,78,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut78.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,79,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut79.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,80,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut80.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,81,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut81.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,82,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut82.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,83,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut83.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,84,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut84.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,85,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut85.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,86,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut86.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,87,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut87.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,88,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut88.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,89,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut89.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,90,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut90.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,91,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut91.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,92,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut92.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,93,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut93.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,94,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut94.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,95,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut95.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,96,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut96.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,97,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut97.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,98,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut98.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,99,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut99.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,100,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut100.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,101,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut101.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,102,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut102.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,103,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut103.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,104,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut104.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,105,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut105.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,106,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut106.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,107,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut107.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,108,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut108.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,109,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut109.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,110,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut110.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,111,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut111.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,112,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut112.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,113,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut113.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,114,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut114.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,115,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut115.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,116,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut116.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,117,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut117.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,118,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut118.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,119,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut119.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,120,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut120.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,121,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut121.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,122,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut122.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,123,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut123.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,124,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut124.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,125,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut125.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,126,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut126.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,127,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut127.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,128,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut128.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,129,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut129.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,130,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut130.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,131,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut131.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,132,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut132.s2p
C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2,train,RDL,133,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS400_Connection2\train\RDL\dut133.s2p
